0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,87137.00,,60042.00,1662.00,2778.00,--,1797.00,2317.00,--,--,--,--,--,7192.00,11349.00,3629.00,14978.00,2723.00,12255.00,--,12255.00,2553.00,9702.00,--,--,9702.00,6339.00,--,--,,15.31,15.30,,15.31,15.30,,--,--,,,--,--,--,,--,--,--
Dec '19,--,86376.00,,61844.00,1841.00,91.00,--,1426.00,2551.00,--,--,--,--,--,8216.00,10407.00,3867.00,14274.00,2520.00,11754.00,--,11754.00,2169.00,9585.00,--,--,9585.00,6339.00,--,--,,15.12,15.12,,15.12,15.12,,--,--,,,--,--,--,,--,--,--
Mar '20,--,73956.00,,50447.00,2158.00,-1247.00,--,1506.00,2685.00,--,--,--,--,--,9749.00,8658.00,3946.00,12604.00,4161.00,8443.00,-4245.00,4198.00,1618.00,2580.00,--,--,2580.00,6339.00,--,--,,10.77,10.77,,4.07,4.07,,--,--,,,--,--,--,,--,--,--
Jun '20,--,47461.00,,29128.00,1367.00,195.00,--,1187.00,2174.00,--,--,--,--,--,8456.00,4954.00,4211.00,9165.00,4780.00,4385.00,4420.00,8805.00,-948.00,9753.00,--,--,9753.00,6445.00,--,--,,8.34,8.32,,15.25,15.21,,--,--,,,--,--,--,,--,--,--
Sep '20,--,56287.00,,39824.00,1613.00,-169.00,--,1064.00,2233.00,--,--,--,--,--,6308.00,5414.00,4164.00,9578.00,4819.00,4759.00,--,4759.00,-1787.00,6546.00,--,--,6546.00,6445.00,--,--,,10.16,10.04,,10.16,10.04,,--,--,,,--,--,--,,--,--,--
Dec '20,--,61263.00,,42533.00,1945.00,-513.00,--,1500.00,2209.00,--,--,--,--,--,7108.00,6481.00,3616.00,10097.00,3140.00,6957.00,-116.00,6841.00,-1787.00,8628.00,--,--,8628.00,6445.00,--,--,,13.39,13.13,,13.39,13.13,,--,--,,,--,--,--,,--,--,--
Mar '21,--,80656.00,,56777.00,2376.00,1097.00,--,1265.00,2562.00,--,--,--,--,--,8968.00,7611.00,2797.00,10408.00,3001.00,7407.00,--,7407.00,-210.00,7617.00,--,--,7617.00,6445.00,--,--,,11.82,11.59,,11.82,11.59,,--,--,,,--,--,--,,--,--,--
Jun '21,--,86147.00,,68230.00,2240.00,-6886.00,--,1337.00,2509.00,--,--,--,--,--,9766.00,8951.00,3588.00,12539.00,2351.00,10188.00,--,10188.00,1593.00,8595.00,--,--,8595.00,6550.00,--,--,,13.28,13.05,,13.28,13.05,,--,--,,,--,--,--,,--,--,--
Sep '21,--,96925.00,,71424.00,2619.00,-1367.00,--,1386.00,2705.00,--,--,--,--,--,10486.00,9672.00,3769.00,13441.00,2487.00,10954.00,--,10954.00,1726.00,9228.00,--,--,9228.00,6551.00,--,--,,14.09,13.89,,14.09,13.89,,--,--,,,--,--,--,,--,--,--
Dec '21,--,111152.00,,82584.00,2988.00,-788.00,--,1287.00,2597.00,--,--,--,--,--,11186.00,11298.00,3443.00,14741.00,2301.00,12440.00,--,12440.00,2273.00,10167.00,--,--,10167.00,6765.00,--,--,,15.39,15.22,,15.39,15.22,,--,--,,,--,--,--,,--,--,--
Mar '22,--,129479.00,,98614.00,2844.00,1079.00,--,1416.00,2465.00,--,--,--,--,--,10945.00,12116.00,3072.00,15188.00,1984.00,13204.00,--,13204.00,2110.00,11094.00,--,--,11094.00,6765.00,--,--,,16.40,16.40,,16.40,16.40,,--,--,,,--,--,--,,--,--,--
Jun '22,--,147534.00,,118669.00,2416.00,-10584.00,--,1405.00,2251.00,--,--,--,--,--,13620.00,19757.00,2531.00,22288.00,2616.00,19672.00,--,19672.00,4576.00,15096.00,--,--,15096.00,6765.00,--,--,,22.31,22.31,,22.31,22.31,,--,--,,,--,--,--,,--,--,--
Sep '22,--,137550.00,,101061.00,2368.00,2562.00,--,1416.00,2614.00,--,--,--,--,--,18156.00,9373.00,3335.00,12708.00,2916.00,9792.00,--,9792.00,2877.00,6915.00,--,--,6915.00,6766.00,--,--,,10.22,10.22,,10.22,10.22,,--,--,,,--,--,--,,--,--,--
Dec '22,--,125987.00,,90147.00,2382.00,2456.00,--,1433.00,2532.00,--,--,--,--,--,14535.00,12502.00,2579.00,15081.00,3349.00,11732.00,--,11732.00,3359.00,8373.00,--,--,8373.00,6766.00,--,--,,12.38,12.38,,12.38,12.38,,--,--,,,--,--,--,,--,--,--
Mar '23,--,118702.00,,81631.00,2808.00,-921.00,--,1444.00,2734.00,--,--,--,--,--,15670.00,15336.00,2785.00,18121.00,3745.00,14376.00,--,14376.00,555.00,13821.00,--,--,13821.00,6766.00,--,--,,20.43,20.43,,20.43,20.43,,--,--,,,--,--,--,,--,--,--
Jun '23,--,117136.00,,80833.00,2622.00,2197.00,--,1628.00,2819.00,--,--,--,--,--,13495.00,13542.00,2895.00,16437.00,3596.00,12841.00,--,12841.00,3115.00,9726.00,--,--,9726.00,6766.00,--,--,,14.38,14.37,,14.38,14.37,,--,--,,,--,--,--,,--,--,--
Sep '23,--,137380.00,,99429.00,3695.00,-2183.00,--,1884.00,4384.00,--,--,--,--,--,15364.00,14807.00,2934.00,17741.00,3239.00,14502.00,--,14502.00,3294.00,11208.00,--,--,11208.00,6766.00,--,--,,16.56,16.56,,16.56,16.56,,--,--,,,--,--,--,,--,--,--
Dec '23,--,127695.00,,94021.00,3789.00,-3280.00,--,1862.00,4567.00,--,--,--,--,--,13745.00,12991.00,2969.00,15960.00,2982.00,12978.00,--,12978.00,3054.00,9924.00,--,--,9924.00,6766.00,--,--,,14.67,14.67,,14.67,14.67,,--,--,,,--,--,--,,--,--,--
Mar '24,--,146832.00,,96259.00,3347.00,8584.00,--,1946.00,4856.00,--,--,--,--,--,16673.00,15167.00,3497.00,18664.00,3613.00,15051.00,--,15051.00,3768.00,11283.00,--,--,11283.00,6766.00,--,--,,16.68,16.68,,16.68,16.68,,--,--,,,--,--,--,,--,--,--
Jun '24,--,129898.00,,99679.00,3967.00,-4876.00,--,2156.00,4708.00,--,--,--,--,--,14657.00,9607.00,3502.00,13109.00,2963.00,10146.00,--,10146.00,2535.00,7611.00,--,--,7611.00,6766.00,--,--,,11.25,11.25,,11.25,11.25,,--,--,,,--,--,--,,--,--,--
