0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,2766.35,12877.86,,--,--,--,--,333.72,--,--,--,--,70.30,--,12073.13,400.71,11.92,412.63,--,412.63,--,412.63,-10.63,423.26,--,-293.42,129.84,1000.00,6961.92,--,,1.30,1.30,,1.30,1.30,,--,--,,,--,--,--,,--,--,--
Dec '19,4247.30,15941.81,,--,--,--,--,363.61,--,--,--,--,42.98,--,14815.71,719.51,12.84,732.35,--,732.35,--,732.35,5.14,727.21,--,-337.44,389.77,1000.00,7351.96,--,,3.90,3.90,,3.90,3.90,,--,--,,,--,--,--,,--,--,--
Mar '20,-6688.67,5174.31,,--,--,--,--,369.46,--,--,--,--,-107.26,--,5143.07,-230.96,491.20,260.24,--,260.24,--,260.24,-9.08,269.32,--,261.35,530.67,1000.03,7883.89,--,,5.31,5.30,,5.31,5.30,,--,--,,,--,--,--,,--,--,--
Jun '20,8677.68,16265.77,,--,--,--,--,353.69,--,--,--,--,-18.54,--,15224.07,706.55,8.72,715.27,--,715.27,--,715.27,-3.21,718.48,--,-327.59,390.89,1000.04,8275.57,--,,3.91,3.91,,3.91,3.91,,--,--,,,--,--,--,,--,--,--
Sep '20,5782.16,18640.11,,--,--,--,--,367.62,--,--,--,--,-1.27,--,17705.97,567.79,11.52,579.31,--,579.31,--,579.31,-0.16,579.47,--,-279.74,299.73,1000.05,8575.91,--,,3.00,3.00,,3.00,3.00,,--,--,,,--,--,--,,--,--,--
Dec '20,12951.36,26717.85,,--,--,--,--,398.44,--,--,--,--,-38.46,--,25840.86,517.01,10.10,527.11,--,527.11,--,527.11,63.16,463.95,--,-231.10,232.85,1000.06,8809.40,--,,2.33,2.33,,2.33,2.33,,--,--,,,--,--,--,,--,--,--
Mar '21,4733.31,20289.05,,--,--,--,--,371.23,--,--,--,--,-31.88,--,20994.14,-1044.44,836.57,-207.87,--,-207.87,--,-207.87,-30.47,-177.40,--,709.78,532.38,1000.07,9092.64,--,,5.32,5.32,,5.32,5.32,,--,--,,,--,--,--,,--,--,--
Jun '21,7691.60,16004.15,,--,--,--,--,387.15,--,--,--,--,0.52,--,15211.28,405.20,17.47,422.67,--,422.67,--,422.67,46.37,376.30,--,-153.14,223.16,1000.15,9320.21,--,,2.23,2.23,,2.23,2.23,,--,--,,,--,--,--,,--,--,--
Sep '21,10975.07,25635.71,,--,--,--,--,464.11,--,--,--,--,-24.37,--,24801.27,394.70,10.55,405.25,--,405.25,--,405.25,35.88,369.37,--,-122.75,246.62,1000.21,9571.45,--,,2.47,2.46,,2.47,2.46,,--,--,,,--,--,--,,--,--,--
Dec '21,2646.62,20671.96,,--,--,--,--,482.94,--,--,--,--,0.81,--,19719.85,468.36,9.62,477.98,--,477.98,--,477.98,45.70,432.28,--,-68.22,364.06,1000.28,9940.24,--,,3.64,3.64,,3.64,3.64,,--,--,,,--,--,--,,--,--,--
Mar '22,3237.71,20671.48,,--,--,--,--,482.17,--,--,--,--,84.90,--,20566.74,-462.33,994.67,532.34,--,532.34,--,532.34,52.98,479.36,--,192.79,672.15,1000.37,10415.07,--,,6.72,6.71,,6.72,6.71,,--,--,,,--,--,--,,--,--,--
Jun '22,-6229.87,4806.15,,--,--,--,--,477.76,--,--,--,--,-1.16,--,3901.04,428.51,11.14,439.65,--,439.65,--,439.65,4.57,435.08,--,-172.23,262.85,1000.48,10687.92,--,,2.63,2.63,,2.63,2.63,,--,--,,,--,--,--,,--,--,--
Sep '22,11239.89,27717.15,,--,--,--,--,499.48,--,--,--,--,-4.84,--,26951.22,271.29,11.31,282.60,--,282.60,--,282.60,60.21,222.39,--,154.35,376.74,1000.71,11080.07,--,,3.77,3.76,,3.76,3.76,,--,--,,,--,--,--,,--,--,--
Dec '22,7645.98,26816.78,,--,--,--,--,532.19,--,--,--,--,7.56,--,25760.49,516.54,12.99,529.53,--,529.53,--,529.53,42.35,487.18,--,-183.05,304.13,1000.83,1392.53,--,,3.04,3.04,,3.04,3.04,,--,--,,,--,--,--,,--,--,--
Mar '23,1398.66,21295.58,,--,--,--,--,536.92,--,--,--,--,10.57,--,19581.18,1166.91,15.16,1182.07,--,1182.07,--,1182.07,44.70,1137.37,--,-360.52,776.85,1000.89,11923.66,--,,7.76,7.76,,7.76,7.76,,--,--,,,--,--,--,,--,--,--
Jun '23,14790.93,27895.42,,--,--,--,--,548.88,--,--,--,--,0.94,--,26773.38,572.22,8.58,580.80,--,580.80,--,580.80,8.70,572.10,--,-191.06,381.04,1000.97,12309.70,--,,3.81,3.80,,3.81,3.80,,--,--,,,--,--,--,,--,--,--
Sep '23,8754.98,28804.64,,--,--,--,--,603.01,--,--,--,--,10.88,--,27580.81,609.94,11.52,621.46,--,621.46,--,621.46,43.89,577.57,--,-197.38,380.19,1001.09,12699.03,--,,3.80,3.79,,3.80,3.79,,--,--,,,--,--,--,,--,--,--
Dec '23,16716.08,39032.55,,--,--,--,--,647.82,--,--,--,--,-32.89,--,37813.20,604.42,18.25,622.67,--,622.67,--,622.67,48.20,574.47,--,-252.72,321.75,1001.24,13032.74,--,,3.21,3.21,,3.21,3.21,,--,--,,,--,--,--,,--,--,--
Mar '24,11138.72,36255.19,,--,--,--,--,598.58,--,--,--,--,11.33,--,36880.81,-1235.53,1639.33,403.80,--,403.80,--,403.80,40.33,363.47,--,447.33,810.80,1001.47,13590.01,--,,8.10,8.09,,8.10,8.09,,--,--,,,--,--,--,,--,--,--
Jun '24,19548.26,34653.74,,--,--,--,--,625.21,--,--,--,--,-20.54,--,33173.86,875.21,3.23,878.44,--,878.44,--,878.44,15.97,862.47,--,-342.95,519.52,1001.58,14118.14,--,,5.19,5.18,,5.19,5.18,,--,--,,,--,--,--,,--,--,--
