0,(a) Int. /Disc. on Adv/Bills,(b) Income on Investment,(c) Int. on balances With RBI,others,Other Income,EXPENDITURE,Interest Expended,Employees Cost,Other Expenses,Depreciation,Operating Profit before Provisions and contingencies,Provisions And Contingencies,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),ANALYTICAL RATIOS,a) % of Share by Govt.,b) Capital Adequacy Ratio - Basel -I,c) Capital Adequacy Ratio - Basel -II,EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,NPA Ratios :,i) Gross NPA,ii) Net NPA,i) % of Gross NPA,ii) % of Net NPA,Return on Assets %,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).,yrc
Sep '19,45242.45,16701.20,844.93,1523.81,8538.39,,39712.07,11302.59,7121.66,--,14714.46,13138.93,3484.30,5059.83,2048.10,3011.73,--,--,3011.73,892.46,--,--,,57.13,--,--,,3.37,3.37,,3.37,3.37,,161636.05,59939.22,7.19,2.79,0.33,,--,--,,,--,--,--,,--,--,--,201909
Dec '19,48063.33,17231.98,736.41,1660.27,9105.92,,39913.20,11455.62,7206.53,--,18222.56,7252.90,--,10969.66,5386.30,5583.36,--,--,5583.36,892.46,--,--,,56.92,--,--,,6.26,6.26,,6.26,6.26,,159661.19,58248.61,6.94,2.65,0.60,,--,--,,,--,--,--,,--,--,--,201912
Mar '20,42579.66,17316.46,948.87,1836.41,13346.11,,39914.48,12038.67,8340.58,--,15733.78,13495.08,2731.34,4970.04,1389.23,3580.81,--,--,3580.81,892.46,--,--,,56.92,--,--,,4.01,4.01,,4.01,4.01,,149091.85,51871.30,6.15,2.23,0.37,,--,--,,,--,--,--,,--,--,--,202003
Jun '20,44101.11,18705.48,1794.42,1899.37,7957.48,,39858.82,11865.06,6212.63,--,16521.35,12501.30,1539.73,5559.78,1370.44,4189.34,--,--,4189.34,892.46,--,--,,56.92,--,--,,4.69,4.69,,4.69,4.69,,129660.69,42703.63,5.44,1.86,0.42,,--,--,,,--,--,--,,--,--,--,202006
Sep '20,43377.57,20253.66,508.94,2673.94,8527.69,,38632.61,12570.15,7679.28,--,16459.76,10118.31,--,6341.45,1767.29,4574.16,--,--,4574.16,892.46,--,--,,56.92,--,--,,5.13,5.13,,5.13,5.13,,125862.99,36450.69,5.28,1.59,0.44,,--,--,,,--,--,--,,--,--,--,202009
Dec '20,43736.75,20472.07,648.24,1877.44,9246.15,,37914.56,13118.01,7614.92,--,17333.16,10342.39,--,6990.77,1794.55,5196.22,--,--,5196.22,892.46,--,--,,56.92,--,--,,5.82,5.82,,5.82,5.82,,117244.23,29031.72,4.77,1.23,0.49,,--,--,,,--,--,--,,--,--,--,202012
Mar '21,40213.71,20376.88,1365.93,3145.12,16225.32,,38034.64,13382.78,10209.39,--,19700.15,11051.03,--,8649.12,2198.37,6450.75,--,--,6450.75,892.46,--,--,,56.92,--,--,,7.23,7.23,,7.23,7.23,,126389.02,36809.72,4.98,1.50,0.58,,--,--,,,--,--,--,,--,--,--,202103
Jun '21,41143.53,20369.83,1035.07,3016.00,11802.74,,37926.00,12538.29,7928.06,--,18974.82,10051.96,--,8922.86,2418.86,6504.00,--,--,6504.00,892.46,--,--,,56.92,--,--,,7.29,7.29,,7.29,7.29,,134259.48,43152.52,5.32,1.77,0.57,,--,--,,,--,--,--,,--,--,--,202106
Sep '21,42316.89,21074.66,1231.31,4858.63,8207.60,,38297.59,12577.80,8734.62,--,18079.08,188.75,-7418.39,10471.94,2845.37,7626.57,--,--,7626.57,892.46,--,--,,56.92,--,--,,8.55,8.55,,8.55,8.55,,123941.77,37118.61,4.90,1.52,0.66,,--,--,,,--,--,--,,--,--,--,202109
Dec '21,43752.74,21593.07,1187.73,3144.58,8673.42,,38990.72,12471.48,8367.70,--,18521.64,6973.97,--,11547.67,3115.79,8431.88,--,--,8431.88,892.46,--,--,,56.92,--,--,,9.45,9.45,,9.45,9.45,,120028.77,34539.68,4.50,1.34,0.71,,--,--,,,--,--,--,,--,--,--,202112
