0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,4217.54,,--,--,--,--,250.51,35.60,--,--,--,660.65,--,232.79,3037.99,2.28,3040.27,2113.40,926.87,--,926.87,161.82,765.05,--,--,765.05,226.88,--,--,,33.72,33.72,,33.72,33.72,,--,--,,,--,--,--,,--,--,--
Dec '19,--,4286.04,,--,--,--,--,254.95,36.30,--,--,--,444.39,--,246.95,3303.45,2.16,3305.61,2119.29,1186.32,--,1186.32,307.16,879.16,--,--,879.16,226.88,--,--,,38.75,38.75,,38.75,38.75,,--,--,,,--,--,--,,--,--,--
Mar '20,--,4168.42,,--,--,--,--,272.27,35.71,--,--,--,1128.66,--,233.65,2498.13,4.62,2502.75,2158.85,343.90,--,343.90,120.52,223.38,--,--,223.38,226.88,--,--,,9.85,9.85,,9.85,9.85,,--,--,,,--,--,--,,--,--,--
Jun '20,--,4140.91,,--,--,--,--,189.24,36.00,--,--,--,1064.59,--,157.07,2694.01,3.79,2697.80,2267.22,430.58,--,430.58,110.52,320.06,--,--,320.06,226.88,--,--,,14.11,14.11,,14.11,14.11,,--,--,,,--,--,--,,--,--,--
Sep '20,--,4347.75,,--,--,--,--,239.06,32.04,--,--,--,655.46,--,241.35,3179.84,3.51,3183.35,2262.93,920.42,--,920.42,235.86,684.56,--,--,684.56,253.06,--,--,,27.79,27.79,,27.79,27.79,,--,--,,,--,--,--,,--,--,--
Dec '20,--,4438.37,,--,--,--,--,229.65,36.84,--,--,--,674.71,--,276.66,3220.51,4.75,3225.26,2236.26,989.00,--,989.00,261.28,727.72,--,--,727.72,253.06,--,--,,29.54,29.54,,29.54,29.54,,--,--,,,--,--,--,,--,--,--
Mar '21,--,4493.97,,--,--,--,--,248.30,32.48,--,--,--,723.64,--,267.58,3221.97,3.90,3225.87,2287.85,938.02,--,938.02,183.09,754.93,--,--,754.93,253.06,--,--,,30.65,30.65,,30.65,30.65,,--,--,,,--,--,--,,--,--,--
Jun '21,--,4648.12,,--,--,--,--,241.97,32.75,--,--,--,1439.69,--,204.30,2729.41,3.38,2732.79,2498.10,234.69,--,234.69,64.75,169.94,--,--,169.94,267.05,--,--,,6.64,6.64,,6.64,6.64,,--,--,,,--,--,--,,--,--,--
Sep '21,--,4697.86,,--,--,--,--,237.37,33.36,--,--,--,676.20,--,279.99,3470.94,4.95,3475.89,2435.24,1040.65,--,1040.65,269.41,771.24,--,--,771.24,268.78,--,--,,28.71,28.71,,28.71,28.71,,--,--,,,--,--,--,,--,--,--
Dec '21,--,4827.86,,--,--,--,--,242.87,34.66,--,--,--,984.27,--,249.99,3316.07,4.47,3320.54,2397.25,923.29,--,923.29,242.67,680.62,--,--,680.62,270.52,--,--,,25.26,25.26,,25.26,25.26,,--,--,,,--,--,--,,--,--,--
