0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,158.28,3373.29,,793.57,309.16,114.58,--,432.77,139.14,--,--,--,--,--,888.30,695.77,258.33,954.10,114.47,839.63,--,839.63,16.47,823.16,--,--,823.16,239.93,--,--,,3.43,3.43,,3.43,3.43,,--,--,,,--,--,--,,--,--,--
Dec '19,92.72,3013.55,,947.21,303.12,-145.17,--,423.97,144.40,--,--,--,--,--,778.61,561.41,15.36,576.77,98.76,478.01,--,478.01,9.25,468.76,--,--,468.76,239.93,--,--,,1.95,1.95,,1.95,1.95,,--,--,,,--,--,--,,--,--,--
Mar '20,85.67,2836.08,,767.12,318.88,94.28,--,419.34,142.44,--,--,--,--,--,1007.92,86.10,1218.65,1304.75,137.53,1167.22,--,1167.22,11.37,1155.85,--,--,1155.85,239.93,--,--,,4.82,4.82,,4.82,4.82,,--,--,,,--,--,--,,--,--,--
Jun '20,84.40,2963.04,,849.42,257.82,-55.29,--,466.19,142.79,--,--,--,--,--,722.88,579.23,21.19,600.42,68.90,531.52,--,531.52,-0.43,531.95,--,--,531.95,239.93,--,--,,2.22,2.22,,2.22,2.22,,--,--,,,--,--,--,,--,--,--
Sep '20,85.27,3292.51,,1002.72,269.73,-95.47,--,452.16,145.37,--,--,--,--,--,875.88,642.12,73.18,715.30,13.42,701.88,--,701.88,-22.93,724.81,--,--,724.81,239.93,--,--,,3.02,3.02,,3.02,3.02,,--,--,,,--,--,--,,--,--,--
Dec '20,22.01,3388.02,,832.81,303.52,206.18,--,455.48,146.89,--,--,--,--,--,843.79,599.35,20.98,620.33,71.93,548.40,--,548.40,-7.15,555.55,--,--,555.55,239.93,--,--,,2.32,2.32,,2.32,2.32,,--,--,,,--,--,--,,--,--,--
Mar '21,40.60,3159.64,,1124.16,368.56,-270.26,--,424.62,151.76,--,--,--,--,--,832.31,528.49,34.87,563.36,102.73,460.63,-89.56,371.07,43.68,327.39,--,--,327.39,239.93,--,--,,1.36,1.36,,1.36,1.36,,--,--,,,--,--,--,,--,--,--
Jun '21,13.41,3325.95,,993.95,382.34,-82.46,--,489.99,150.92,--,--,--,--,--,910.64,480.57,57.80,538.37,105.72,432.65,--,432.65,13.35,419.30,--,--,419.30,239.93,--,--,,1.75,1.75,,1.75,1.75,,--,--,,,--,--,--,,--,--,--
Sep '21,--,4143.15,,1092.30,285.44,48.42,--,509.07,333.64,--,--,--,--,--,1343.65,530.63,284.27,814.90,103.98,710.92,--,710.92,-98.15,809.07,--,--,809.07,239.93,--,--,,3.40,3.40,,3.40,3.40,,--,--,,,--,--,--,,--,--,--
Dec '21,--,3770.66,,1127.05,325.32,-25.10,--,501.79,355.24,--,--,--,--,--,1185.21,301.15,305.23,606.38,85.47,520.91,--,520.91,5.48,515.43,--,--,515.43,239.93,--,--,,2.10,2.10,,2.10,2.10,,--,--,,,--,--,--,,--,--,--
