0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,914.14,,547.20,13.10,-3.59,--,57.75,15.34,--,--,--,--,--,175.99,108.35,32.53,140.88,5.57,135.31,-1.50,133.81,34.11,99.70,--,--,99.70,63.11,--,--,,1.58,1.58,,1.58,1.58,,--,--,,,--,--,--,,--,--,--
Dec '19,--,1463.45,,601.49,309.21,-10.28,--,69.09,29.40,--,107.69,--,--,--,179.36,177.49,24.81,202.30,7.16,195.14,-0.84,194.30,51.31,142.99,--,--,142.99,92.16,--,--,,1.55,1.55,,1.55,1.55,,--,--,,,--,--,--,,--,--,--
Mar '20,--,1335.31,,527.09,287.42,-26.40,--,74.35,33.00,--,107.92,--,--,--,204.55,127.38,16.70,144.08,6.79,137.29,-41.41,95.88,24.95,70.93,--,--,70.93,92.16,--,--,,0.77,0.77,,0.77,0.77,,--,--,,,--,--,--,,--,--,--
Jun '20,--,1605.43,,603.91,340.15,5.62,--,71.77,29.59,--,56.49,--,--,--,201.81,296.09,45.70,341.79,6.53,335.26,-21.00,314.26,81.95,232.31,--,--,232.31,92.16,--,--,,2.52,2.52,,2.52,2.52,,--,--,,,--,--,--,,--,--,--
Sep '20,--,1736.14,,863.14,353.86,-87.74,--,77.45,30.84,--,90.04,--,--,--,185.66,222.89,33.57,256.46,6.46,250.00,-19.30,230.70,61.31,169.39,--,--,169.39,92.16,--,--,,1.84,1.84,,1.84,1.84,,--,--,,,--,--,--,,--,--,--
Dec '20,--,1962.73,,1061.64,367.97,-57.43,--,80.18,32.41,--,126.64,--,--,--,186.62,164.70,25.02,189.72,7.22,182.50,-6.37,176.13,40.01,136.12,--,--,136.12,92.16,--,--,,1.48,1.48,,1.48,1.48,,--,--,,,--,--,--,,--,--,--
Mar '21,--,1850.06,,892.96,363.65,22.65,--,92.18,33.37,--,123.66,--,--,--,212.91,108.68,28.72,137.40,7.92,129.48,-14.43,115.05,33.36,81.69,--,--,81.69,92.16,--,--,,0.89,0.89,,0.89,0.89,,--,--,,,--,--,--,,--,--,--
Jun '21,--,1965.89,,886.85,416.94,-20.11,--,88.36,34.88,--,86.14,--,--,--,233.79,239.04,146.23,385.27,7.66,377.61,--,377.61,73.87,303.74,--,--,303.74,92.16,--,--,,3.30,3.30,,3.30,3.30,,--,--,,,--,--,--,,--,--,--
Sep '21,--,1987.50,,826.54,403.04,19.05,--,88.87,36.09,--,--,--,--,--,381.29,232.62,31.05,263.67,7.65,256.02,-7.19,248.83,60.49,188.34,--,--,188.34,92.16,--,--,,2.04,2.04,,2.04,2.04,,--,--,,,--,--,--,,--,--,--
Dec '21,--,2030.48,,746.38,440.47,57.64,--,90.91,35.73,--,--,--,--,--,414.44,244.91,23.80,268.71,7.28,261.43,-9.41,252.02,64.54,187.48,--,--,187.48,92.16,--,--,,2.03,2.03,,2.03,2.03,,--,--,,,--,--,--,,--,--,--
