0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,87.15,10000.48,,5530.68,1304.17,644.83,--,1067.09,760.65,--,--,--,--,-306.44,2204.66,-1205.16,361.42,-843.74,497.92,-1341.66,71.67,-1269.99,11.98,-1281.97,--,--,-1281.97,679.22,--,--,,-3.78,-3.78,,-3.78,-3.78,,--,--,,,--,--,--,,--,--,--
Dec '19,174.47,10842.91,,5697.52,1280.99,1063.21,--,1018.27,853.46,--,--,--,--,-260.28,2082.67,-892.93,351.51,-541.42,478.54,-1019.96,-3.89,-1023.85,15.66,-1039.51,--,--,-1039.51,719.54,--,--,,-3.01,-3.01,,-3.01,-3.01,,--,--,,,--,--,--,,--,--,--
Mar '20,79.07,9732.87,,5542.12,1443.36,473.60,--,1149.61,984.13,--,--,--,--,-300.83,2367.81,-1926.93,268.92,-1658.01,557.05,-2215.06,-2570.77,-4785.83,85.22,-4871.05,--,--,-4871.05,719.54,--,--,,-13.54,-13.54,,-13.54,-13.54,,--,--,,,--,--,--,,--,--,--
Jun '20,52.73,2686.87,,1173.22,457.22,309.56,--,966.74,859.89,--,--,--,--,-177.70,820.85,-1722.91,134.33,-1588.58,552.80,-2141.38,-48.88,-2190.26,0.38,-2190.64,--,--,-2190.64,719.54,--,--,,-6.09,-6.09,,-6.09,-6.09,,--,--,,,--,--,--,,--,--,--
Sep '20,76.92,9668.10,,6107.98,1317.20,-174.86,--,1058.60,909.92,--,--,--,--,-201.99,1424.25,-773.00,241.98,-531.02,634.67,-1165.69,-46.36,-1212.05,0.40,-1212.45,--,--,-1212.45,719.54,--,--,,-3.37,-3.37,,-3.37,-3.37,,--,--,,,--,--,--,,--,--,--
Dec '20,123.10,14630.60,,9814.79,1656.30,-591.50,--,1105.89,947.64,--,--,--,--,-180.02,1970.17,-92.67,206.65,113.98,656.22,-542.24,-58.30,-600.54,37.50,-638.04,--,--,-638.04,719.54,--,--,,-1.77,-1.77,,-1.77,-1.77,,--,--,,,--,--,--,,--,--,--
Mar '21,219.33,20045.90,,12914.62,2058.95,387.76,--,1081.76,964.16,--,--,--,--,-257.82,2396.95,499.52,260.00,759.52,614.86,144.66,1545.62,1690.28,44.59,1645.69,--,--,1645.69,765.81,--,--,,4.37,4.37,,4.37,4.37,,--,--,,,--,--,--,,--,--,--
Jun '21,85.88,11904.19,,8813.14,1723.01,-1401.54,--,1180.41,959.36,--,--,--,--,-203.92,1747.70,-913.97,245.81,-668.16,621.10,-1289.26,-24.89,-1314.15,6.59,-1320.74,--,--,-1320.74,765.81,--,--,,-3.45,-3.45,,-3.45,-3.45,,--,--,,,--,--,--,,--,--,--
Sep '21,105.96,10996.02,,7256.09,1183.22,-26.29,--,886.25,432.68,--,--,--,--,-209.66,1682.81,-209.08,201.30,-7.78,530.94,-538.72,-33.16,-571.88,3.80,-575.68,--,-83.65,-659.33,765.81,--,--,,-1.72,-1.72,,-1.72,-1.72,,--,--,,,--,--,--,,--,--,--
Dec '21,93.76,12352.78,,8499.61,1342.76,-188.35,--,918.10,452.12,--,--,--,--,-233.09,1746.38,-184.75,138.74,-46.01,535.55,-581.56,-0.09,-581.65,53.84,-635.49,--,811.34,175.85,765.86,--,--,,0.45,0.44,,0.45,0.44,,--,--,,,--,--,--,,--,--,--
Mar '22,113.66,17338.27,,11036.46,1605.80,870.43,--,875.60,457.86,--,--,--,--,-261.85,2145.00,608.97,195.32,804.29,491.75,312.54,141.55,454.09,40.74,413.35,--,--,413.35,765.88,--,--,,1.07,1.07,,1.07,1.07,,--,--,,,--,--,--,,--,--,--
Jun '22,81.32,14874.44,,10525.85,1655.95,-919.23,--,1062.85,422.98,--,--,--,--,-243.87,2190.13,179.78,210.77,390.55,528.80,-138.25,-1.43,-139.68,41.35,-181.03,--,--,-181.03,765.93,--,--,,-0.47,-0.47,,-0.47,-0.47,,--,--,,,--,--,--,,--,--,--
Sep '22,95.81,14946.78,,9674.40,1513.01,349.83,--,964.43,446.13,--,--,--,--,-252.78,2145.02,106.74,195.06,301.80,549.35,-247.55,-4.04,-251.59,41.00,-292.59,--,--,-292.59,765.98,--,--,,-0.76,-0.76,,-0.76,-0.76,,--,--,,,--,--,--,,--,--,--
Dec '22,--,15793.98,,10115.98,1583.00,-65.25,--,972.28,430.18,--,--,--,--,--,1867.21,890.58,173.18,1063.76,503.43,560.33,-0.11,560.22,54.03,506.19,--,--,506.19,766.01,--,--,,1.31,1.31,,1.31,1.31,,--,--,,,--,--,--,,--,--,--
Mar '23,180.52,20142.13,,11910.58,1809.36,1119.34,--,1022.07,467.57,--,--,--,--,--,2226.12,1587.09,241.93,1829.02,465.93,1363.09,-277.24,1085.85,-1609.71,2695.56,--,--,2695.56,766.02,--,--,,7.03,7.02,,7.03,7.02,,--,--,,,--,--,--,,--,--,--
