0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,384.60,14871.18,,4843.12,307.44,-365.81,--,1277.98,970.33,--,--,--,--,--,5330.22,2507.90,103.47,2611.37,720.00,1891.37,-2.58,1888.79,-1949.02,3837.81,--,--,3837.81,1146.12,--,--,,33.00,33.00,,33.00,33.00,,--,--,,,--,--,--,,--,--,--
Dec '19,444.70,15262.04,,3929.42,280.25,1325.77,--,1035.48,979.87,--,--,--,--,--,4913.32,2797.93,51.45,2849.38,783.87,2065.51,349.23,2414.74,610.91,1803.83,--,--,1803.83,1146.12,--,--,,15.30,15.30,,15.30,15.30,,--,--,,,--,--,--,,--,--,--
Mar '20,--,14211.43,,3934.47,403.26,-980.06,--,1370.83,1002.26,--,--,--,--,--,5834.25,2646.42,71.36,2717.78,804.00,1913.78,-2009.48,-95.70,341.13,-436.83,--,--,-436.83,1146.13,--,--,,-4.24,-4.24,,-4.24,-4.24,,--,--,,,--,--,--,,--,--,--
Jun '20,--,9338.78,,2432.91,83.31,45.19,--,1309.71,969.29,--,--,--,--,--,4216.62,281.75,121.15,402.90,908.34,-505.44,2058.90,1553.46,360.19,1193.27,--,--,1193.27,1146.13,--,--,,9.98,9.98,,9.98,9.98,,--,--,,,--,--,--,,--,--,--
Sep '20,--,16361.98,,3758.10,198.53,1216.22,--,1195.69,1006.00,--,--,--,--,--,5368.77,3618.67,186.24,3804.91,855.74,2949.17,-9.17,2940.00,735.13,2204.87,--,--,2204.87,1146.13,--,--,,18.80,18.80,,18.80,18.80,,--,--,,,--,--,--,,--,--,--
Dec '20,296.13,17965.66,,3778.44,387.43,307.04,--,1340.87,971.08,--,--,--,--,--,5450.02,5730.78,140.74,5871.52,800.05,5071.47,-225.94,4845.53,1230.59,3614.94,--,--,3614.94,1146.13,--,--,,31.11,31.10,,31.11,31.10,,--,--,,,--,--,--,,--,--,--
Mar '21,384.86,21202.58,,3899.15,476.78,-104.33,--,1352.55,1040.95,--,--,--,--,--,6390.65,8146.83,189.76,8336.59,829.71,7506.88,949.26,8456.14,1862.60,6593.54,--,--,6593.54,1198.78,--,--,,57.03,56.69,,57.03,56.69,,--,--,,,--,--,--,,--,--,--
Jun '21,--,20798.31,,4046.00,477.25,-1016.12,--,1378.28,974.89,--,--,--,--,--,5707.89,9230.12,264.21,9494.33,668.52,8825.81,152.68,8978.49,2198.45,6780.04,--,--,6780.04,1203.04,--,--,,56.45,56.37,,56.45,56.37,,--,--,,,--,--,--,,--,--,--
Sep '21,--,32582.27,,7994.25,814.25,-627.52,--,1543.07,1351.98,--,--,--,--,--,9428.18,12078.06,382.12,12460.18,729.78,11730.40,-130.71,11599.69,2891.43,8708.26,--,--,8708.26,1203.46,--,--,,71.30,71.25,,71.30,71.25,,--,--,,,--,--,--,,--,--,--
Dec '21,--,31964.25,,9967.84,1062.04,-1692.67,--,1553.12,1360.20,--,--,--,--,--,8905.88,10807.84,279.94,11087.78,644.12,10443.66,-180.97,10262.69,2579.30,7683.39,--,--,7683.39,1222.33,--,--,,62.88,62.85,,62.88,62.85,,--,--,,,--,--,--,,--,--,--
Mar '22,--,36680.93,,11438.30,1208.41,1825.56,--,1723.17,1379.78,--,--,--,--,--,8251.24,10854.47,506.16,11360.63,645.59,10715.04,-76.45,10638.59,2799.13,7839.46,--,--,7839.46,1222.37,--,--,,64.14,64.12,,64.14,64.12,,--,--,,,--,--,--,,--,--,--
Jun '22,--,32021.09,,15391.43,1944.52,-4562.44,--,1540.15,1343.97,--,--,--,--,--,8139.41,8224.05,735.63,8959.68,722.35,8237.33,-54.80,8182.53,2068.36,6114.17,--,--,6114.17,1222.37,--,--,,50.03,50.01,,50.03,50.01,,--,--,,,--,--,--,,--,--,--
Sep '22,384.16,32244.99,,14994.74,1341.02,1498.57,--,1646.82,1348.93,--,--,--,--,--,7919.80,3495.11,1017.63,4512.74,958.17,3554.57,-19.43,3535.14,880.19,2654.95,--,--,2654.95,1222.37,--,--,,2.17,2.17,,2.17,2.17,,--,--,,,--,--,--,,--,--,--
Dec '22,--,30465.29,,12676.57,1921.44,451.24,--,1609.79,1370.54,--,--,--,--,--,8646.56,3789.15,906.95,4696.10,1073.25,3622.85,-5.57,3617.28,912.15,2705.13,--,--,2705.13,1222.37,--,--,,2.21,2.21,,2.21,2.21,,--,--,,,--,--,--,,--,--,--
Mar '23,477.18,34275.25,,10948.76,2260.32,1470.57,--,1819.53,1371.17,--,--,--,--,--,9645.85,6759.05,665.27,7424.32,1038.37,6385.95,-698.98,5686.97,1666.11,4020.86,--,--,4020.86,1222.40,--,--,,3.29,3.29,,3.29,3.29,,--,--,,,--,--,--,,--,--,--
Jun '23,--,32341.62,,11827.67,2882.45,-519.79,--,1565.45,1332.29,--,--,--,--,--,10126.78,5126.77,1642.07,6768.84,1015.61,5753.23,-11.22,5742.01,1471.31,4270.70,--,--,4270.70,1222.40,--,--,,3.49,3.49,,3.49,3.49,,--,--,,,--,--,--,,--,--,--
