0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Mar '04,--,--,,--,--,--,--,409.74,29.60,--,--,--,--,--,850.43,--,25.77,--,2.79,--,--,--,66.83,--,--,--,424.60,47.83,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Jun '04,--,--,,--,--,--,--,409.74,29.60,--,--,--,--,--,850.43,--,25.77,--,2.79,--,--,--,66.83,--,--,--,424.60,47.83,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Sep '04,--,--,,--,--,--,--,419.67,30.73,--,--,--,--,--,987.94,--,10.75,--,2.92,--,--,--,76.98,--,--,-196.47,342.19,48.01,--,--,,--,--,,--,--,,7.28,15.15,,,--,--,--,,--,--,--
Dec '04,--,--,,--,--,--,--,459.21,29.63,--,--,--,--,--,1001.35,--,123.06,--,3.08,--,--,--,82.78,--,--,--,643.81,48.01,--,--,,--,--,,--,--,,7.28,15.16,,,--,--,--,,--,--,--
Mar '05,--,--,,--,--,--,--,470.36,42.64,--,--,--,--,--,1122.13,--,-30.33,--,1.59,--,--,--,53.91,--,--,--,426.70,48.01,--,--,,--,--,,--,--,,7.28,15.16,,,--,--,--,,--,--,--
Jun '05,--,--,,--,--,--,--,504.28,46.61,--,--,--,--,--,1052.55,--,26.26,--,0.59,--,--,--,93.43,--,--,--,578.86,48.01,--,--,,--,--,,--,--,,7.28,15.16,,,--,--,--,,--,--,--
Sep '05,--,--,,--,--,--,--,989.37,56.33,--,--,--,--,--,759.09,--,11.24,--,0.08,--,--,--,90.54,--,--,--,620.32,48.01,--,--,,--,--,,--,--,,7.28,15.16,,,--,--,--,,--,--,--
Dec '05,--,--,,--,--,--,--,1086.86,63.25,--,--,--,--,--,808.59,--,7.74,--,1.24,--,--,--,88.34,--,--,--,679.65,48.01,--,--,,--,--,,--,--,,7.75,16.14,,,--,--,--,,--,--,--
Mar '06,--,--,,--,--,--,--,1232.45,75.41,--,--,--,--,--,982.97,--,6.95,--,1.22,--,--,--,50.05,--,--,--,750.06,48.93,--,--,,--,--,,--,--,,7.98,16.31,,,--,--,--,,--,--,--
Jun '06,--,--,,--,--,--,--,1429.75,68.70,--,--,--,--,--,1091.26,--,31.66,--,0.09,--,--,--,79.41,--,--,--,796.69,48.93,--,--,,--,--,,--,--,,7.98,16.31,,,--,--,--,,--,--,--
Sep '06,--,--,,--,--,--,--,1507.35,76.92,--,--,--,--,--,1087.91,--,19.40,--,0.16,--,--,--,80.21,--,--,--,931.32,97.86,--,--,,--,--,,--,--,,16.01,16.36,,,--,--,--,,--,--,--
Dec '06,--,--,,--,--,--,--,1599.59,87.19,--,--,--,--,--,1103.53,--,25.47,--,1.16,--,--,--,107.70,--,--,--,950.52,97.86,--,--,,--,--,,--,--,,17.14,17.51,,,--,--,--,,--,--,--
Mar '07,--,--,,--,--,--,--,1651.93,110.60,--,--,--,--,--,1204.26,--,103.48,--,2.02,--,--,--,146.07,--,--,--,1078.76,97.86,--,--,,--,--,,--,--,,11.68,11.94,,,--,--,--,,--,--,--
Jun '07,--,--,,--,--,--,--,1513.79,100.79,--,--,--,--,--,1560.29,--,155.75,--,0.11,--,--,--,86.91,--,--,--,1073.85,97.86,--,--,,--,--,,--,--,,19.46,19.88,,,--,--,--,,--,--,--
Sep '07,--,--,,--,--,--,--,1470.22,107.81,--,--,--,--,--,1807.37,--,104.62,--,1.10,--,--,--,147.88,--,--,--,1147.11,97.86,--,--,,--,--,,--,--,,19.73,11.72,,,--,--,--,,--,--,--
Dec '07,--,--,,--,--,--,--,1525.35,117.98,--,--,--,--,--,1998.72,--,107.11,--,1.10,--,--,--,119.34,--,--,--,1178.99,97.86,--,--,,--,--,,--,--,,21.74,22.22,,,--,--,--,,--,--,--
Mar '08,--,4942.49,,--,--,--,--,1505.83,132.20,--,--,--,--,--,2132.04,1172.42,78.47,1250.89,1.11,1249.78,--,1249.78,140.97,1108.81,--,--,1108.81,97.86,10806.95,--,,--,--,,--,--,,21.97,22.45,,,--,--,--,,--,--,--
Jun '08,--,5212.00,,--,--,--,--,1747.25,81.86,--,--,--,--,--,2182.30,1200.59,109.88,1310.47,0.41,1310.06,--,1310.06,106.05,1204.01,--,--,1204.01,97.86,--,--,,--,--,,--,--,,23.14,23.64,,,--,--,--,,--,--,--
Sep '08,--,5699.96,,--,--,--,--,1858.48,102.86,--,--,--,--,--,2240.24,1498.38,-179.17,1319.21,0.17,1319.04,--,1319.04,146.00,1173.04,--,--,1173.04,97.86,--,--,,--,--,,--,--,,23.14,23.65,,,--,--,--,,--,--,--
Dec '08,--,5875.48,,--,--,--,--,1942.92,114.52,--,--,--,--,--,2318.36,1499.68,-143.27,1356.41,4.57,1351.84,--,1351.84,139.95,1211.89,--,--,1211.89,97.86,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Mar '09,--,5616.56,,--,--,--,--,1821.44,118.22,--,--,--,--,--,2272.18,1404.72,-243.68,1161.04,2.29,1158.75,--,1158.75,51.48,1107.27,--,--,1107.27,97.86,13248.39,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Jun '09,--,5609.60,,--,--,--,--,1958.57,113.20,--,--,--,--,--,2096.80,1441.03,1.26,1442.29,1.44,1440.85,--,1440.85,164.41,1276.44,--,--,1276.44,195.72,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Sep '09,--,5744.40,,--,--,--,--,1988.72,118.97,--,--,--,--,--,2083.30,1553.41,-25.36,1528.05,1.42,1526.63,--,1526.63,179.03,1347.60,--,--,1347.60,195.72,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
Dec '09,--,5883.39,,--,--,--,--,1931.78,118.41,--,--,--,--,--,2103.24,1729.96,40.36,1770.32,2.51,1767.81,--,1767.81,213.61,1554.20,--,--,1554.20,195.72,--,--,,--,--,,--,--,,--,--,,,--,--,--,,--,--,--
