0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,7095.70,,--,--,--,--,2351.00,170.40,--,--,--,--,--,3656.70,917.60,580.10,1497.70,12.00,1485.70,--,1485.70,88.90,1396.80,--,--,1396.80,482.40,--,--,,14.44,14.35,,14.44,14.35,,--,--,,,--,--,--,,--,--,--
Dec '19,--,7699.10,,--,--,--,--,2357.90,166.90,--,--,--,--,--,4198.70,975.60,289.60,1265.20,15.70,1249.50,--,1249.50,326.30,923.20,--,--,923.20,482.70,--,--,,9.55,9.48,,9.55,9.48,,--,--,,,--,--,--,,--,--,--
Mar '20,--,7571.90,,--,--,--,--,2333.60,172.00,--,--,--,--,--,4779.60,286.70,1257.70,1544.40,26.90,1517.50,--,1517.50,125.70,1391.80,--,--,1391.80,482.90,--,--,,14.39,14.29,,14.39,14.29,,--,--,,,--,--,--,,--,--,--
Jun '20,--,7164.70,,--,--,--,--,2254.80,168.60,--,--,--,--,--,3892.60,848.70,271.50,1120.20,18.30,1101.90,--,1101.90,247.70,854.20,--,--,854.20,483.10,--,--,,8.83,8.78,,8.83,8.78,,--,--,,,--,--,--,,--,--,--
Sep '20,--,7404.40,,--,--,--,--,2309.00,170.10,--,--,--,--,--,3809.30,1116.00,157.00,1273.00,15.40,1257.60,--,1257.60,296.10,961.50,--,--,961.50,483.30,--,--,,9.93,9.88,,9.93,9.88,,--,--,,,--,--,--,,--,--,--
Dec '20,--,7565.00,,--,--,--,--,2400.90,165.90,--,--,--,--,--,3629.90,1368.30,286.30,1654.60,14.80,1639.80,--,1639.80,384.20,1255.60,--,--,1255.60,483.70,--,--,,12.97,12.88,,12.97,12.88,,--,--,,,--,--,--,,--,--,--
Mar '21,--,7506.80,,--,--,--,--,2197.90,157.70,--,--,--,--,--,3816.20,1335.00,207.00,1542.00,14.70,1527.30,--,1527.30,359.50,1167.80,--,--,1167.80,484.10,--,--,,12.06,11.96,,12.06,11.96,,--,--,,,--,--,--,,--,--,--
Jun '21,--,7931.50,,--,--,--,--,2601.90,153.50,--,--,--,--,--,4071.60,1104.50,239.70,1344.20,18.10,1326.10,--,1326.10,339.90,986.20,--,--,986.20,484.50,--,--,,10.16,10.09,,10.16,10.09,,--,--,,,--,--,--,,--,--,--
Sep '21,--,8464.87,,--,--,--,--,2695.92,157.62,--,--,--,--,--,4242.60,1368.74,650.05,2018.78,14.48,2004.30,--,2004.30,444.79,1559.51,--,--,1559.51,484.90,--,--,,16.05,15.94,,16.05,15.94,,--,--,,,--,--,--,,--,--,--
Dec '21,--,9010.80,,--,--,--,--,2811.30,153.30,--,--,--,--,--,4675.40,1370.80,405.90,1776.70,13.70,1763.00,--,1763.00,433.50,1329.50,--,--,1329.50,485.30,--,--,,13.67,13.57,,13.67,13.57,,--,--,,,--,--,--,,--,--,--
Mar '22,--,9318.90,,--,--,--,--,2945.10,195.50,--,--,--,--,--,5197.10,981.20,227.40,1208.60,17.30,1191.30,--,1191.30,153.30,1038.00,--,--,1038.00,485.90,--,--,,10.67,10.59,,10.67,10.59,,--,--,,,--,--,--,,--,--,--
Jun '22,--,9965.10,,--,--,--,--,3286.90,186.00,--,--,--,--,--,5439.90,1052.30,118.60,1170.90,25.10,1145.80,--,1145.80,263.60,882.20,--,--,882.20,486.30,--,--,,9.05,9.00,,9.05,9.00,,--,--,,,--,--,--,,--,--,--
Sep '22,--,10479.80,,--,--,--,--,3561.40,189.50,--,--,--,--,--,5970.30,758.60,771.90,1530.50,34.30,1496.20,--,1496.20,334.30,1161.90,--,--,1161.90,486.60,--,--,,11.91,11.87,,11.91,11.87,,--,--,,,--,--,--,,--,--,--
Dec '22,--,10987.60,,--,--,--,--,3818.10,105.20,--,--,--,--,--,5864.60,1199.70,368.60,1568.30,58.50,1509.80,--,1509.80,305.40,1204.40,--,--,1204.40,486.90,--,--,,12.34,12.29,,12.34,12.29,,--,--,,,--,--,--,,--,--,--
Mar '23,--,10938.50,,--,--,--,--,3936.80,202.10,--,--,--,133.70,--,5824.60,841.30,79.60,920.90,56.90,864.00,--,864.00,187.30,676.70,--,--,676.70,487.10,--,--,,6.93,6.90,,6.93,6.90,,--,--,,,--,--,--,,--,--,--
Jun '23,--,10697.20,,--,--,--,--,3921.90,204.70,--,--,--,--,--,5988.70,581.90,201.00,782.90,54.30,728.60,--,728.60,169.10,559.50,--,--,559.50,487.40,--,--,,5.72,5.71,,5.72,5.71,,--,--,,,--,--,--,,--,--,--
Sep '23,--,10439.70,,--,--,--,--,4029.20,206.20,--,--,--,--,--,6073.30,131.00,513.60,644.60,57.70,586.90,--,586.90,31.10,555.80,--,--,555.80,487.80,--,--,,5.68,5.67,,5.68,5.67,,--,--,,,--,--,--,,--,--,--
Dec '23,--,10551.40,,--,--,--,--,4113.20,199.60,--,--,--,--,--,5886.70,351.90,265.20,617.10,75.30,541.80,--,541.80,55.90,485.90,--,--,485.90,488.10,--,--,,4.97,4.96,,4.97,4.96,,--,--,,,--,--,--,,--,--,--
Mar '24,--,10411.00,,--,--,--,--,4018.00,204.40,--,--,--,89.60,--,5605.20,493.80,272.70,766.50,59.10,707.40,--,707.40,180.00,527.40,--,--,527.40,488.40,--,--,,5.39,5.38,,5.39,5.38,,--,--,,,--,--,--,,--,--,--
Jun '24,--,10629.60,,--,--,--,--,4103.20,202.30,--,--,--,--,--,5574.60,749.50,123.40,872.90,50.60,822.30,--,822.30,197.50,624.80,--,--,624.80,489.00,--,--,,6.38,6.37,,6.38,6.37,,--,--,,,--,--,--,,--,--,--
