0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,64.18,4435.00,,3830.44,902.37,-1595.01,--,265.65,73.70,--,125.43,--,--,--,392.93,439.49,30.68,470.17,40.75,429.42,--,429.42,109.26,320.16,--,--,320.16,88.78,--,--,,3.61,3.61,,3.61,3.61,,--,--,,,--,--,--,,--,--,--
Dec '19,100.27,6206.23,,2724.20,782.83,1155.71,--,285.05,77.70,--,141.24,--,--,--,381.60,657.90,19.66,677.56,40.49,637.07,--,637.07,167.12,469.95,--,--,469.95,88.78,--,--,,5.29,5.29,,5.29,5.29,,--,--,,,--,--,--,,--,--,--
Mar '20,58.65,4428.75,,2880.71,568.82,-351.74,--,244.01,90.17,--,75.94,--,--,--,407.36,513.48,40.09,553.57,37.94,515.63,--,515.63,158.84,356.79,--,--,356.79,88.78,--,--,,4.01,4.01,,4.01,4.01,,--,--,,,--,--,--,,--,--,--
Jun '20,611.00,1862.00,,655.00,62.00,761.00,--,222.00,82.00,--,16.00,--,--,--,392.00,-328.00,39.00,-289.00,46.00,-335.00,--,-335.00,-65.00,-270.00,--,--,-270.00,89.00,--,--,,-3.04,-3.04,,-3.04,-3.04,,--,--,,,--,--,--,,--,--,--
Sep '20,426.00,4318.00,,3212.00,412.00,-637.00,--,212.00,83.00,--,51.00,--,--,--,774.00,211.00,71.00,282.00,44.00,238.00,--,238.00,39.00,199.00,--,--,199.00,89.00,--,--,,2.24,2.24,,2.24,2.24,,--,--,,,--,--,--,,--,--,--
Dec '20,375.00,7287.00,,4769.00,1120.00,-196.00,--,226.00,84.00,--,86.00,--,--,--,424.00,774.00,37.00,811.00,46.00,765.00,-137.00,628.00,209.00,419.00,--,--,419.00,89.00,--,--,,4.72,4.72,,4.72,4.72,,--,--,,,--,--,--,,--,--,--
Mar '21,144.00,7135.00,,4507.00,868.00,236.00,--,251.00,82.00,--,79.00,--,--,--,399.00,713.00,34.00,747.00,45.00,702.00,--,702.00,173.00,529.00,--,--,529.00,89.00,--,--,,5.96,5.96,,5.96,5.96,,--,--,,,--,--,--,,--,--,--
Jun '21,469.00,3249.00,,3014.00,508.00,-963.00,--,268.00,83.00,--,37.00,--,--,--,241.00,61.00,65.00,126.00,44.00,82.00,--,82.00,21.00,61.00,--,--,61.00,89.00,--,--,,0.69,0.69,,0.69,0.69,,--,--,,,--,--,--,,--,--,--
Sep '21,249.00,7170.00,,4726.00,984.00,-285.00,--,271.00,91.00,--,109.00,--,--,--,411.00,863.00,50.00,913.00,45.00,868.00,--,868.00,227.00,641.00,--,--,641.00,89.00,--,--,,7.22,7.22,,7.22,7.22,,--,--,,,--,--,--,,--,--,--
Dec '21,134.00,9515.00,,6344.00,1336.00,-509.00,--,276.00,85.00,--,172.00,--,--,--,497.00,1314.00,55.00,1369.00,52.00,1317.00,--,1317.00,330.00,987.00,--,--,987.00,89.00,--,--,,11.12,11.12,,11.12,11.12,,--,--,,,--,--,--,,--,--,--
