0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Sep '19,--,9253.82,,1128.57,565.74,-71.91,1793.88,592.92,606.29,--,--,--,--,--,3432.05,1206.28,182.04,1388.32,437.19,951.13,--,951.13,311.94,639.19,--,--,639.19,274.65,--,--,,22.16,22.15,,22.16,22.15,,--,--,,,--,--,--,,--,--,--
Dec '19,--,9981.75,,1234.44,565.00,125.23,1841.25,576.73,613.67,--,--,--,--,--,3853.07,1172.36,164.01,1336.37,402.56,933.81,--,933.81,290.66,643.15,--,--,643.15,288.62,--,--,,22.30,22.29,,22.30,22.29,,--,--,,,--,--,--,,--,--,--
Mar '20,--,10360.31,,1356.09,502.30,-227.67,1932.42,612.27,608.96,--,--,--,--,--,3922.64,1653.30,223.91,1877.21,432.38,1444.83,--,1444.83,-1461.49,2906.32,--,--,2906.32,288.62,--,--,,100.77,100.74,,100.77,100.74,,--,--,,,--,--,--,,--,--,--
Jun '20,--,7373.63,,738.84,328.21,223.58,1234.85,517.55,588.65,--,--,--,--,--,2375.43,1366.52,296.11,1662.63,333.43,1329.20,-157.37,1171.83,366.26,805.57,--,--,805.57,288.63,--,--,,27.93,27.92,,27.93,27.92,,--,--,,,--,--,--,,--,--,--
Sep '20,--,10018.58,,1188.90,455.16,144.29,1680.96,522.29,612.66,--,--,--,--,--,3474.26,1940.06,146.46,2086.52,301.94,1784.58,-6.63,1777.95,569.28,1208.67,--,--,1208.67,288.63,--,--,,41.90,41.90,,41.90,41.90,,--,--,,,--,--,--,,--,--,--
Dec '20,--,11830.62,,1515.45,519.18,-125.49,--,566.78,602.19,--,--,--,--,--,6410.21,2342.30,261.63,2603.93,300.65,2303.28,--,2303.28,753.00,1550.28,--,--,1550.28,288.64,--,--,,53.75,53.74,,53.75,53.74,,--,--,,,--,--,--,,--,--,--
Mar '21,--,13965.51,,1731.75,634.15,184.06,--,575.37,630.85,--,--,--,--,--,7327.74,2881.59,84.48,2966.07,323.06,2643.01,--,2643.01,865.46,1777.55,--,--,1777.55,288.65,--,--,,61.62,61.60,,61.62,61.60,,--,--,,,--,--,--,,--,--,--
Jun '21,--,11476.96,,1382.13,522.62,-290.01,2193.17,543.85,597.72,--,--,--,--,--,3953.18,2574.30,216.38,2790.68,275.89,2514.79,--,2514.79,833.73,1681.06,--,--,1681.06,288.65,--,--,,58.27,58.25,,58.27,58.25,,--,--,,,--,--,--,,--,--,--
Sep '21,--,11548.37,,1441.66,575.21,-181.41,--,629.47,612.73,--,--,--,--,--,6483.44,1987.27,141.80,2129.07,182.75,1946.32,--,1946.32,646.23,1300.09,--,--,1300.09,288.66,--,--,,45.08,45.06,,45.08,45.06,,--,--,,,--,--,--,,--,--,--
Dec '21,--,12470.62,,1646.84,624.10,-38.85,--,599.36,608.92,--,--,--,--,--,7417.70,1612.55,108.83,1721.38,165.02,1556.36,--,1556.36,-75.14,1631.50,--,--,1631.50,288.66,--,--,,56.57,56.55,,56.57,56.55,,--,--,,,--,--,--,,--,--,--
