0,Other Operating Income,Total Income From Operations,EXPENDITURE,Consumption of Raw Materials,Purchase of Traded Goods,Increase/Decrease in Stocks,Power & Fuel,Employees Cost,depreciat,Excise Duty,Admin. And Selling Expenses,R & D Expenses,Provisions And Contingencies,Exp. Capitalised,Other Expenses,"P/L Before Other Inc. , Int., Excpt. Items & Tax",Other Income,"P/L Before Int., Excpt. Items & Tax",Interest,P/L Before Exceptional Items & Tax,Exceptional Items,P/L Before Tax,Tax,P/L After Tax from Ordinary Activities,Prior Year Adjustments,Extra Ordinary Items,Net Profit/(Loss) For the Period,Equity Share Capital,Reserves Excluding Revaluation Reserves,Equity Dividend Rate (%),EPS Before Extra Ordinary,Basic EPS,Diluted EPS,EPS After Extra Ordinary,Basic EPS.,Diluted EPS.,Public Share Holding,No Of Shares (Crores),Share Holding (%),Promoters and Promoter Group Shareholding,a) Pledged/Encumbered,- Number of shares (Crores),- Per. of shares (as a % of the total sh. of prom. and promoter group),- Per. of shares (as a % of the total Share Cap. of the company),b) Non-encumbered,- Number of shares (Crores).,- Per. of shares (as a % of the total sh. of prom. and promoter group).,- Per. of shares (as a % of the total Share Cap. of the company).
Jun '03,--,--,,134.90,--,--,--,183.60,31.20,--,164.90,--,--,--,333.00,--,14.70,--,0.50,--,--,--,23.70,--,--,--,196.80,46.50,3480.80,--,,--,--,,--,--,,3.74,16.10,,,--,--,--,,--,--,--
Sep '03,--,--,,186.60,--,--,--,473.70,36.90,--,166.20,--,--,--,112.40,--,19.90,--,0.60,--,--,--,37.30,--,--,--,214.80,46.50,3695.60,--,,--,--,,--,--,,11.23,16.10,,,--,--,--,,--,--,--
Dec '03,--,--,,195.60,--,--,--,227.00,39.10,--,177.90,--,--,--,429.70,--,19.80,--,1.40,--,--,--,31.90,--,--,--,244.50,46.50,3946.80,--,,--,--,,--,--,,3.75,16.12,,,--,--,--,,--,--,--
Mar '04,--,--,,303.80,--,--,--,257.00,44.30,--,208.90,--,--,--,467.00,--,36.80,--,1.10,--,--,--,74.40,--,--,--,259.00,46.60,3461.00,--,,--,--,,--,--,,3.78,16.26,,,--,--,--,,--,--,--
Jun '04,--,--,,224.40,--,--,--,--,37.20,--,190.60,--,--,--,749.70,--,26.80,--,1.00,--,--,--,59.80,--,--,--,326.80,139.70,3702.20,--,,--,--,,--,--,,11.37,16.28,,,--,--,--,,--,--,--
Sep '04,--,--,,248.10,--,--,--,671.30,42.60,--,195.00,--,--,--,165.20,--,16.90,--,1.70,--,--,--,66.70,--,--,--,370.10,139.80,4094.80,--,,--,--,,--,--,,11.42,16.34,,,--,--,--,,--,--,--
Dec '04,--,--,,286.60,--,--,--,771.60,49.80,--,207.30,--,--,--,128.50,--,18.70,--,1.90,--,--,--,70.00,--,--,--,376.50,140.40,4311.70,--,,--,--,,--,--,,11.74,16.72,,,--,--,--,,--,--,--
Mar '05,--,--,,388.60,--,--,--,792.40,56.40,--,204.20,--,--,--,154.70,--,28.90,--,1.00,--,--,--,65.70,--,--,--,421.40,140.70,4751.70,--,,--,--,,--,--,,11.88,16.89,,,--,--,--,,--,--,--
Jun '05,--,--,,276.10,--,--,--,902.50,56.30,--,236.90,--,--,--,96.10,--,8.30,--,0.60,--,--,--,62.10,--,--,--,404.90,141.00,5235.70,--,,--,--,,--,--,,12.43,17.63,,,--,--,--,,--,--,--
Sep '05,--,--,,335.30,--,12.80,--,962.90,58.50,--,255.80,--,--,--,132.50,--,38.60,--,0.30,--,--,--,82.40,--,--,--,453.00,283.00,5683.70,--,,--,--,,--,--,,25.38,17.94,,,--,--,--,,--,--,--
Dec '05,--,--,,271.70,--,--,--,1048.80,60.40,--,287.20,--,--,--,243.50,--,35.90,--,1.90,--,--,--,85.10,--,--,--,505.10,284.10,6336.90,--,,--,--,,--,--,,25.96,18.27,,,--,--,--,,--,--,--
Mar '06,--,--,,430.60,--,--,--,1364.80,117.10,--,378.00,--,--,--,508.20,--,48.90,--,0.30,--,--,--,90.40,--,--,--,657.50,285.20,6135.30,--,,--,--,,--,--,,26.46,18.55,,,--,--,--,,--,--,--
Jun '06,--,--,,351.00,--,--,--,1276.90,81.10,--,331.60,--,--,--,294.10,--,50.30,--,0.10,--,--,--,98.00,--,--,--,619.10,286.40,6956.00,--,,--,--,,--,--,,27.09,18.91,,,--,--,--,,--,--,--
Sep '06,--,--,,420.10,--,--,--,--,88.80,--,370.40,--,--,--,1736.40,--,54.20,--,2.60,--,--,--,91.80,--,--,--,665.20,286.90,7743.40,--,,--,--,,--,--,,25.15,17.53,,,--,--,--,,--,--,--
Dec '06,--,--,,523.10,--,--,--,--,92.50,--,388.30,--,--,--,1813.60,--,81.80,--,2.90,--,--,--,91.80,--,--,--,738.90,288.00,8651.00,--,,--,--,,--,--,,25.64,17.80,,,--,--,--,,--,--,--
