,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),56.28,4.80,5.23,6.11,12.66,13.24,5.11,2.53,3.29,4.73,-1.62,3.70,4.51,2.02,1.79,4.43,6.35,3.35,6.55,14.29
Diluted EPS (Rs.),56.28,4.80,5.23,6.11,12.66,13.24,5.11,2.53,3.29,4.73,-1.62,3.70,4.51,2.02,1.79,4.43,6.35,3.35,6.55,14.29
Cash EPS (Rs.),57.19,4.94,5.37,6.39,13.12,13.73,5.36,2.57,3.56,5.25,-1.09,4.44,5.23,2.73,2.59,5.35,7.45,4.46,7.69,15.38
Book Value [ExclRevalReserve]/Share (Rs.),278.33,30.03,34.06,42.36,54.27,66.63,39.56,88.82,90.94,94.26,91.24,93.45,32.37,34.25,35.54,29.54,34.20,37.53,43.01,122.23
Book Value [InclRevalReserve]/Share (Rs.),278.33,30.03,34.06,42.36,54.27,66.63,39.56,88.82,90.94,94.26,91.24,93.45,32.37,34.25,35.54,29.54,34.20,37.53,43.01,122.23
Dividend / Share(Rs.),4.00,0.40,0.45,0.45,0.60,1.00,1.00,1.00,1.00,1.40,1.40,1.40,0.40,0.40,0.40,0.40,1.00,1.00,1.00,1.20
Revenue from Operations/Share (Rs.),3197.76,599.27,412.75,408.18,461.65,459.50,229.59,26.61,48.03,108.12,107.20,135.78,74.09,70.73,86.84,141.31,147.38,121.47,243.90,590.57
PBDIT/Share (Rs.),96.53,11.79,19.74,22.58,28.85,32.65,11.81,3.65,5.31,6.99,4.16,12.46,11.14,11.44,11.30,12.10,10.51,12.69,16.45,27.03
PBIT/Share (Rs.),95.71,11.70,19.60,22.30,28.40,32.16,11.56,3.52,5.04,6.46,3.63,11.71,10.42,10.72,10.50,11.18,9.41,11.58,15.32,25.88
PBT/Share (Rs.),56.76,5.73,6.28,8.07,13.40,15.22,5.53,2.40,3.52,5.56,-3.29,3.93,4.36,3.61,2.80,5.70,8.82,5.05,10.12,19.42
Net Profit/Share (Rs.),56.28,4.80,5.23,6.11,12.66,13.24,5.11,2.45,3.29,4.73,-1.62,3.70,4.51,2.02,1.79,4.43,6.35,3.35,6.55,14.23
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),3.01,1.96,4.78,5.53,6.25,7.10,5.14,13.69,11.05,6.46,3.88,9.17,15.04,16.17,13.01,8.55,7.13,10.44,6.74,4.57
PBIT Margin (%),2.99,1.95,4.74,5.46,6.15,6.99,5.03,13.24,10.49,5.97,3.38,8.62,14.06,15.15,12.09,7.90,6.38,9.53,6.28,4.38
PBT Margin (%),1.77,0.95,1.52,1.97,2.90,3.31,2.40,9.01,7.32,5.13,-3.07,2.89,5.88,5.10,3.22,4.03,5.98,4.15,4.15,3.28
Net Profit Margin (%),1.75,0.80,1.26,1.49,2.74,2.88,2.22,9.19,6.84,4.37,-1.51,2.72,6.09,2.84,2.06,3.13,4.31,2.76,2.68,2.41
Return on Networth / Equity (%),20.21,15.98,15.36,14.43,23.32,19.86,12.91,2.75,3.61,5.01,-1.78,3.95,13.94,5.88,5.04,14.99,18.58,8.93,15.23,11.64
Return on Capital Employed (%),13.71,8.26,6.21,3.91,7.22,10.23,8.53,2.71,3.23,4.23,-1.44,3.11,8.65,20.61,20.52,28.59,21.12,22.91,22.52,19.44
Return on Assets (%),5.65,3.20,2.92,2.58,4.65,4.87,3.41,2.31,2.55,2.56,-0.79,1.79,3.44,1.51,1.27,3.36,5.03,2.83,3.32,4.04
Total Debt/Equity (X),1.08,1.24,1.71,2.90,2.29,1.95,1.76,0.08,0.16,0.48,0.60,0.50,1.69,1.80,1.68,0.88,0.73,0.67,0.89,0.21
Asset Turnover Ratio (%),321.16,399.76,231.14,172.29,169.88,169.11,153.69,25.20,37.27,58.56,52.26,65.95,56.60,53.07,61.97,107.25,116.73,102.82,1.55,2.18
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.62,1.56,1.73,2.47,2.10,1.23,1.09,2.48,1.93,1.17,1.03,1.38,1.21,1.00,1.00,1.00,1.02,1.08,1.09,1.09
Quick Ratio (X),1.45,1.40,1.55,2.27,1.71,1.14,1.03,2.20,1.72,1.08,0.92,1.32,1.15,0.93,0.87,0.81,0.85,0.94,0.75,0.93
Inventory Turnover Ratio (X),32.13,41.82,24.04,25.23,12.44,34.15,42.96,6.22,8.21,16.14,11.03,25.53,15.36,13.08,7.38,8.17,10.61,12.15,0.00,0.00
Dividend Payout Ratio (NP) (%),7.10,8.32,8.63,7.52,4.73,7.55,19.57,40.86,30.40,29.61,-86.16,37.84,8.86,0.00,22.32,9.02,22.03,0.00,15.26,7.02
Dividend Payout Ratio (CP) (%),6.99,8.10,8.40,7.19,4.57,7.28,18.63,38.94,28.08,26.66,-128.70,31.51,7.64,0.00,15.46,7.47,18.78,0.00,13.00,6.50
Earnings Retention Ratio (%),92.90,91.68,91.37,92.48,95.27,92.45,80.43,59.14,69.60,70.39,186.16,62.16,91.14,0.00,77.68,90.98,77.97,0.00,84.74,92.98
Cash Earnings Retention Ratio (%),93.01,91.90,91.60,92.81,95.43,92.72,81.37,61.06,71.92,73.34,228.70,68.49,92.36,0.00,84.54,92.53,81.22,0.00,87.00,93.50
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),1355.24,1707.31,2082.41,6844.40,16775.27,8411.96,25652.57,73202.51,34644.23,25239.85,46308.33,72613.79,13984.98,18304.35,23250.04,18699.52,17072.60,115697.33,225423.31,201080.39
EV/Net Operating Revenue (X),0.19,0.13,0.22,0.68,1.47,0.74,2.24,25.01,6.56,2.12,3.93,4.86,1.72,2.35,2.43,1.20,1.05,8.66,8.40,2.99
EV/EBITDA (X),6.37,6.42,4.66,12.30,23.59,10.45,43.61,182.58,59.32,32.85,101.13,53.00,11.41,14.55,18.71,14.06,14.77,82.90,124.59,65.25
MarketCap/Net Operating Revenue (X),0.13,0.10,0.14,0.51,1.30,0.58,2.04,24.84,6.33,1.87,3.44,4.53,0.99,1.53,1.80,1.04,0.93,8.49,8.26,2.96
Retention Ratios (%),92.89,91.67,91.36,92.47,95.26,92.44,80.42,59.13,69.59,70.38,186.16,62.15,91.13,0.00,77.67,90.97,77.96,0.00,84.73,92.97
Price/BV (X),1.44,1.99,1.75,4.96,11.07,4.01,11.86,7.44,3.34,2.14,4.04,6.59,2.28,3.16,4.40,4.99,4.02,27.46,46.86,14.32
Price/Net Operating Revenue,0.13,0.10,0.14,0.51,1.30,0.58,2.04,24.84,6.33,1.87,3.44,4.53,0.99,1.53,1.80,1.04,0.93,8.49,8.26,2.96
Earnings Yield,0.14,0.08,0.09,0.03,0.02,0.05,0.01,0.00,0.01,0.02,0.00,0.01,0.06,0.02,0.01,0.03,0.05,0.00,0.00,0.01
