,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),0.20,4.42,3.73,5.20,5.33,11.51,17.49,4.92,5.88,8.76,9.80,10.55,14.31,14.97,11.63,12.74,9.43,9.49,1.41,-2.22
Diluted EPS (Rs.),0.20,4.42,3.73,5.20,5.33,11.51,17.49,4.92,5.88,8.76,9.80,10.55,14.31,14.97,11.63,12.74,9.43,9.49,1.41,-2.22
Cash EPS (Rs.),2.05,7.99,7.77,7.45,7.84,14.93,21.69,5.96,7.24,10.47,11.94,12.91,16.82,17.58,13.90,15.03,12.24,12.54,4.25,0.62
Book Value [ExclRevalReserve]/Share (Rs.),33.25,37.81,33.06,20.63,65.13,73.44,86.99,21.42,26.05,33.45,45.09,54.11,65.51,80.63,87.48,98.15,96.95,106.48,125.05,132.10
Book Value [InclRevalReserve]/Share (Rs.),33.25,37.81,33.06,20.63,65.13,73.44,86.99,21.42,26.05,33.45,45.09,54.11,65.51,80.63,87.48,98.15,96.95,106.48,125.05,132.10
Dividend / Share(Rs.),0.00,0.00,2.00,1.00,1.50,3.00,4.00,0.90,1.00,1.00,1.00,1.10,1.10,1.30,2.00,0.20,3.20,5.00,5.00,5.00
Revenue from Operations/Share (Rs.),7.55,19.44,21.37,16.12,20.43,28.39,34.83,9.41,12.39,16.78,20.99,18.89,22.30,23.56,31.55,25.77,22.85,21.54,19.91,24.24
PBDIT/Share (Rs.),4.97,12.46,12.81,8.87,14.70,21.74,27.98,7.14,8.74,13.34,16.52,16.16,21.97,24.30,29.23,27.43,21.35,28.82,20.48,18.11
PBIT/Share (Rs.),3.24,9.02,9.40,6.63,12.19,18.31,23.78,6.10,7.38,11.64,14.32,13.80,19.47,21.69,26.96,25.14,18.62,25.77,17.64,15.27
PBT/Share (Rs.),0.13,6.50,6.37,4.78,8.86,13.37,19.43,5.38,6.34,9.43,10.68,10.38,15.00,15.90,18.49,17.69,10.00,14.32,2.94,-4.76
Net Profit/Share (Rs.),0.20,4.42,3.73,5.20,5.33,11.51,17.49,4.92,5.88,8.76,9.74,10.55,14.31,14.97,11.63,12.74,9.52,9.49,1.41,-2.22
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),65.84,64.10,59.92,55.00,71.95,76.57,80.33,75.87,70.58,79.54,78.69,85.57,98.51,103.13,92.65,106.46,93.40,133.77,102.86,74.70
PBIT Margin (%),42.94,46.42,43.97,41.11,59.65,64.50,68.28,64.84,59.56,69.35,68.20,73.07,87.27,92.05,85.45,97.58,81.48,119.63,88.61,63.00
PBT Margin (%),1.76,33.45,29.79,29.62,43.35,47.09,55.78,57.12,51.15,56.20,50.85,54.94,67.24,67.49,58.60,68.65,43.75,66.47,14.78,-19.63
Net Profit Margin (%),2.59,22.72,17.45,32.25,26.07,40.53,50.23,52.31,47.43,52.19,46.39,55.84,64.17,63.55,36.85,49.42,41.65,44.04,7.07,-9.15
Return on Networth / Equity (%),0.58,11.68,11.28,25.20,8.17,15.67,20.11,22.98,22.55,26.17,21.60,19.49,21.85,18.56,13.29,12.97,9.81,8.91,1.12,-1.68
Return on Capital Employed (%),0.36,5.53,4.36,9.39,4.66,9.13,13.30,15.84,11.33,11.48,10.59,10.17,12.03,13.29,14.70,13.25,8.35,9.79,5.49,4.49
Return on Assets (%),0.21,3.45,2.89,6.15,3.72,7.09,8.71,11.58,8.93,9.60,9.64,8.45,9.52,7.90,5.89,5.56,3.73,3.29,0.39,-0.60
Total Debt/Equity (X),0.55,1.14,1.61,1.72,0.73,0.79,0.91,0.37,0.98,1.16,0.89,0.88,0.99,1.15,1.07,1.19,1.36,1.51,1.68,1.65
Asset Turnover Ratio (%),8.18,15.19,16.59,19.06,14.29,17.51,17.35,22.15,18.83,18.41,20.78,15.14,14.83,12.43,16.00,11.25,8.96,0.08,0.06,0.07
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),0.34,0.22,0.35,0.53,1.21,1.09,0.62,0.26,0.37,1.58,2.56,1.38,0.91,1.82,3.56,1.51,1.59,1.56,1.29,1.07
Quick Ratio (X),0.34,0.21,0.34,0.52,1.19,1.07,0.61,0.24,0.35,1.55,2.48,1.34,0.89,1.73,3.44,1.43,1.58,1.55,1.28,1.06
Inventory Turnover Ratio (X),681.12,89.11,83.65,55.67,44.33,42.94,44.45,45.80,39.70,38.50,30.38,21.78,37.01,9.33,17.98,8.53,53.42,0.00,0.00,0.00
Dividend Payout Ratio (NP) (%),0.00,0.00,53.60,19.22,28.16,26.07,22.86,18.28,17.01,11.42,10.59,10.43,15.36,0.00,11.17,15.70,35.75,0.00,343.08,-225.28
Dividend Payout Ratio (CP) (%),0.00,0.00,25.74,13.41,19.13,20.09,18.44,15.10,13.80,9.55,8.64,8.52,13.07,0.00,9.35,13.30,27.80,0.00,113.78,808.73
Earnings Retention Ratio (%),100.00,100.00,46.40,80.78,71.84,73.93,77.14,81.72,82.99,88.58,89.41,89.57,84.64,0.00,88.83,84.30,64.25,0.00,-243.08,325.28
Cash Earnings Retention Ratio (%),100.00,100.00,74.26,86.59,80.87,79.91,81.56,84.90,86.20,90.45,91.36,91.48,86.93,0.00,90.65,86.70,72.20,0.00,-13.78,-708.73
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),0.00,0.00,0.00,0.00,24239.34,14135.04,33964.95,28822.18,30458.40,35005.71,46683.19,73078.86,63740.67,88176.81,91728.08,98703.37,73453.58,172000.61,201872.03,181713.54
EV/Net Operating Revenue (X),0.00,0.00,0.00,0.00,29.61,12.43,24.34,15.29,12.27,10.42,10.74,18.69,13.80,18.07,14.04,18.50,15.82,39.30,47.99,34.70
EV/EBITDA (X),0.00,0.00,0.00,0.00,41.16,16.23,30.30,20.15,17.39,13.09,13.65,21.84,14.01,17.52,15.15,17.37,16.94,29.37,46.66,46.45
MarketCap/Net Operating Revenue (X),0.00,0.00,0.00,0.00,28.37,11.38,22.69,14.50,10.42,8.27,8.93,16.31,11.11,14.42,11.24,14.67,11.00,32.62,38.88,26.06
Retention Ratios (%),100.00,100.00,46.39,80.77,71.83,73.92,77.13,81.71,82.98,88.57,89.40,89.56,84.63,0.00,88.82,84.29,64.24,0.00,-243.08,325.28
