,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),9.19,11.77,10.65,19.38,17.34,19.60,24.60,14.66,17.72,22.43,23.77,24.91,26.55,20.50,16.76,21.76,33.80,7.50,46.25,75.45
Diluted EPS (Rs.),9.19,11.77,10.65,19.38,17.34,19.60,24.60,14.24,17.16,22.22,23.77,24.91,26.55,20.50,16.76,21.76,33.80,7.50,46.25,75.45
Cash EPS (Rs.),15.27,17.81,16.19,25.61,23.75,26.99,33.44,20.23,23.96,30.02,33.05,36.27,40.80,37.79,36.31,43.32,68.43,37.61,71.53,100.94
Book Value [ExclRevalReserve]/Share (Rs.),62.42,78.81,129.35,144.56,208.48,226.30,249.54,142.10,174.93,196.05,213.10,227.21,246.55,257.25,265.48,279.13,286.52,361.72,424.94,481.56
Book Value [InclRevalReserve]/Share (Rs.),62.42,78.81,129.35,144.56,208.48,226.30,249.54,142.10,174.93,196.05,213.10,227.21,246.55,257.25,265.48,279.13,286.52,361.72,424.94,481.56
Dividend / Share(Rs.),3.50,4.00,4.50,5.00,6.00,6.50,7.00,3.75,4.00,5.50,5.75,5.75,6.00,6.00,5.00,6.00,6.00,3.00,11.75,15.00
Revenue from Operations/Share (Rs.),126.46,142.47,139.89,172.55,191.50,242.05,295.51,186.99,208.24,238.47,277.56,330.12,388.79,452.92,516.30,599.22,703.62,636.51,424.08,453.74
PBDIT/Share (Rs.),24.62,27.72,24.54,28.76,33.92,39.25,50.17,31.68,36.61,42.02,45.74,51.99,58.19,57.49,60.54,74.06,102.46,67.13,101.97,127.47
PBIT/Share (Rs.),19.29,22.28,19.37,22.79,27.66,31.96,41.38,26.02,29.83,34.22,36.46,40.63,43.94,40.20,40.99,52.51,67.81,36.82,76.70,101.97
PBT/Share (Rs.),14.83,18.92,17.45,19.97,24.72,29.26,35.96,21.60,25.10,29.00,30.20,33.59,32.50,25.80,23.73,33.24,49.02,12.28,59.27,85.36
Net Profit/Share (Rs.),9.19,11.77,10.65,19.38,17.34,19.60,24.60,14.57,17.18,22.22,23.77,24.91,26.55,20.50,16.76,21.76,33.79,7.30,46.26,75.44
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),19.46,19.45,17.54,16.66,17.71,16.21,16.97,16.94,17.57,17.61,16.47,15.74,14.96,12.69,11.72,12.35,14.56,10.54,24.04,28.09
PBIT Margin (%),15.25,15.63,13.84,13.21,14.44,13.20,14.00,13.91,14.32,14.34,13.13,12.30,11.30,8.87,7.93,8.76,9.63,5.78,18.08,22.47
PBT Margin (%),11.72,13.27,12.47,11.57,12.91,12.08,12.16,11.54,12.05,12.15,10.88,10.17,8.35,5.69,4.59,5.54,6.96,1.92,13.97,18.81
Net Profit Margin (%),7.26,8.25,7.60,11.23,9.05,8.09,8.32,7.79,8.24,9.31,8.56,7.54,6.82,4.52,3.24,3.63,4.80,1.14,10.90,16.62
Return on Networth / Equity (%),14.71,14.93,8.22,13.40,8.31,8.66,9.85,10.25,9.81,11.33,11.15,10.96,10.77,7.96,6.31,7.79,11.79,2.01,10.88,15.66
Return on Capital Employed (%),8.50,9.67,6.81,10.50,6.41,6.32,6.88,6.86,7.18,8.02,7.68,6.89,6.30,8.68,8.77,10.74,11.50,6.45,11.96,15.37
Return on Assets (%),6.38,7.60,5.48,8.54,5.40,5.28,5.37,5.75,6.14,7.09,6.80,5.95,5.40,3.96,2.98,3.59,4.63,1.07,6.39,10.06
Total Debt/Equity (X),0.63,0.42,0.13,0.19,0.25,0.33,0.45,0.38,0.24,0.33,0.34,0.48,0.61,0.75,0.78,0.79,0.74,0.38,0.33,0.25
Asset Turnover Ratio (%),87.87,92.12,72.03,76.07,59.66,65.29,64.52,73.90,74.50,76.19,79.51,78.91,79.09,87.60,91.94,98.91,96.55,94.07,0.61,0.62
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.47,1.81,1.93,2.11,2.15,2.15,1.80,1.56,1.77,2.90,2.45,2.13,1.82,2.32,1.51,1.23,1.19,2.00,2.91,2.53
Quick Ratio (X),1.24,1.54,1.70,1.86,1.88,1.85,1.59,1.26,1.44,2.49,1.97,1.71,1.39,1.74,1.10,0.88,0.83,1.86,2.78,2.46
Inventory Turnover Ratio (X),15.04,15.96,15.48,16.14,14.21,13.40,13.59,15.49,15.33,16.15,14.57,13.81,12.81,14.24,13.33,14.86,13.85,43.52,0.00,0.00
Dividend Payout Ratio (NP) (%),38.09,33.99,42.27,25.80,34.60,34.01,28.46,25.73,23.28,24.75,24.18,23.08,22.59,0.00,29.82,22.97,27.36,36.47,6.47,23.52
