,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),15.41,18.09,19.47,28.36,39.12,37.78,80.74,80.81,99.92,109.47,12.19,13.84,16.65,18.78,19.75,22.23,27.67,31.82,32.68,42.76
Diluted EPS (Rs.),15.41,18.09,19.47,28.36,39.12,37.78,80.74,80.81,99.92,109.47,12.19,13.84,16.65,18.78,19.75,22.23,27.67,31.82,32.68,42.76
Cash EPS (Rs.),20.41,23.29,24.22,33.10,43.68,43.74,87.08,90.66,110.29,122.70,14.40,16.16,19.14,21.86,23.00,27.87,34.86,39.09,40.20,50.63
Book Value [ExclRevalReserve]/Share (Rs.),55.42,59.66,64.88,77.57,96.80,114.10,162.35,205.93,259.36,315.08,37.54,44.10,51.74,73.97,81.30,92.19,98.55,126.05,139.17,162.48
Book Value [InclRevalReserve]/Share (Rs.),55.42,59.66,64.88,77.57,96.80,114.10,162.35,205.93,259.36,315.08,37.54,44.10,51.74,73.97,81.30,92.19,98.55,126.05,139.17,162.48
Dividend / Share(Rs.),8.50,9.50,12.50,13.00,17.00,17.50,27.00,32.00,40.00,46.00,5.30,6.10,7.50,10.30,8.70,10.50,12.00,17.85,19.15,25.65
Revenue from Operations/Share (Rs.),187.72,213.96,255.19,307.90,374.85,470.20,559.60,660.56,830.29,935.33,108.62,121.44,131.84,131.85,147.70,170.89,179.25,193.04,262.60,313.58
PBDIT/Share (Rs.),29.15,33.48,36.73,48.54,64.28,64.45,120.18,128.46,155.68,174.46,20.34,22.91,28.20,30.97,33.34,39.51,43.94,50.65,52.54,66.08
PBIT/Share (Rs.),24.15,28.52,31.98,43.81,59.72,58.49,113.85,118.61,145.30,161.22,18.13,20.58,25.71,27.89,30.10,33.87,36.75,43.38,45.02,58.20
PBT/Share (Rs.),23.60,28.23,31.58,42.74,58.86,57.41,112.41,117.01,142.09,158.04,17.75,20.16,24.79,27.70,29.88,33.05,35.58,42.64,43.73,57.23
Net Profit/Share (Rs.),15.41,18.09,19.47,28.36,39.12,37.78,80.74,80.81,99.92,109.47,12.19,13.84,16.65,18.78,19.75,22.23,27.67,31.82,32.68,42.75
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),15.53,15.64,14.39,15.76,17.14,13.70,21.47,19.44,18.74,18.65,18.72,18.86,21.38,23.49,22.57,23.11,24.51,26.23,20.00,21.07
PBIT Margin (%),12.86,13.32,12.53,14.22,15.93,12.43,20.34,17.95,17.50,17.23,16.68,16.94,19.50,21.15,20.37,19.81,20.49,22.47,17.14,18.56
PBT Margin (%),12.57,13.19,12.37,13.87,15.70,12.20,20.08,17.71,17.11,16.89,16.34,16.59,18.80,21.00,20.22,19.34,19.85,22.08,16.65,18.25
Net Profit Margin (%),8.20,8.45,7.63,9.21,10.43,8.03,14.42,12.23,12.03,11.70,11.22,11.39,12.63,14.24,13.37,13.00,15.43,16.48,12.44,13.63
Return on Networth / Equity (%),27.80,30.31,30.01,36.56,40.40,33.10,49.73,39.24,38.52,34.74,32.46,31.37,32.18,25.39,24.29,24.11,28.07,25.24,23.48,26.30
Return on Capital Employed (%),23.37,26.31,26.17,32.39,36.05,29.51,45.72,35.55,35.62,31.91,29.99,29.39,30.14,35.75,35.25,33.01,33.91,31.99,30.27,33.43
Return on Assets (%),13.97,14.70,14.46,17.49,18.54,16.51,24.53,20.10,19.24,18.58,17.49,18.25,19.09,17.39,16.35,15.58,19.53,17.35,15.74,18.19
Total Debt/Equity (X),0.10,0.11,0.12,0.14,0.08,0.06,0.04,0.03,0.07,0.02,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Asset Turnover Ratio (%),170.26,173.97,189.56,189.94,177.71,205.50,170.04,164.35,159.92,158.83,155.92,160.16,151.19,122.09,122.26,119.79,126.54,1.19,1.34,1.42
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.07,1.13,1.17,1.20,1.04,1.19,0.92,1.46,1.21,1.29,1.43,1.51,1.47,1.89,1.62,1.58,1.82,2.18,2.26,2.38
Quick Ratio (X),0.57,0.49,0.57,0.59,0.49,0.63,0.40,0.82,0.66,0.66,0.83,0.86,0.94,1.13,0.98,0.90,0.94,1.49,1.32,1.47
Inventory Turnover Ratio (X),8.51,6.20,7.02,6.80,6.67,8.25,7.03,5.91,6.30,6.06,6.26,6.46,7.85,5.76,6.50,6.34,6.08,2.86,3.29,2.79
Dividend Payout Ratio (NP) (%),55.16,52.52,64.19,45.83,43.45,46.32,33.43,39.59,40.03,42.02,43.48,44.08,45.03,42.32,52.14,40.03,65.59,15.24,55.53,46.55
Dividend Payout Ratio (CP) (%),41.64,40.79,51.61,39.27,38.91,40.01,31.00,35.29,36.26,37.48,36.80,37.73,39.18,36.36,44.78,31.93,52.06,12.40,45.14,39.30
Earnings Retention Ratio (%),44.84,47.48,35.81,54.17,56.55,53.68,66.57,60.41,59.97,57.98,56.52,55.92,54.97,57.68,47.86,59.97,34.41,84.76,44.47,53.45
Cash Earnings Retention Ratio (%),58.36,59.21,48.39,60.73,61.09,59.99,69.00,64.71,63.74,62.52,63.20,62.27,60.82,63.64,55.22,68.07,47.94,87.60,54.86,60.70
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),2940.96,3795.44,6221.92,7401.07,11545.97,7476.34,19630.31,23791.18,30718.68,46618.82,51714.43,77545.58,83202.23,102580.78,107386.57,142950.77,159512.30,243204.46,295309.05,264583.95
EV/Net Operating Revenue (X),1.63,1.85,2.54,2.51,3.21,1.66,3.66,3.75,3.86,5.20,4.96,6.66,6.58,8.11,7.58,8.72,9.28,13.13,11.72,8.80
EV/EBITDA (X),10.52,11.82,17.66,15.90,18.73,12.09,17.03,19.31,20.57,27.86,26.51,35.29,30.76,34.53,33.58,37.72,37.85,50.05,58.60,41.74
MarketCap/Net Operating Revenue (X),1.62,1.83,2.52,2.48,3.20,1.67,3.65,3.83,3.90,5.25,5.03,6.66,6.59,8.12,7.59,8.73,9.30,13.14,11.74,8.81
