,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),111.02,122.27,52.24,45.24,117.51,115.40,103.80,105.20,112.10,97.20,135.80,132.30,140.60,161.60,176.30,157.50,173.60,197.30
Diluted EPS (Rs.),111.02,122.27,52.24,45.24,117.51,115.40,103.80,105.20,112.10,97.20,135.80,132.30,140.60,161.60,176.30,157.50,173.60,197.30
Cash EPS (Rs.),130.25,141.11,64.34,54.21,126.94,119.66,108.85,110.85,118.29,106.48,146.42,142.89,151.46,170.75,184.76,166.36,182.74,208.86
Book Value [ExclRevalReserve]/Share (Rs.),471.51,546.98,109.73,129.23,202.40,169.69,208.77,273.07,332.03,369.50,458.46,588.66,660.19,752.67,688.58,870.94,921.62,898.57
Book Value [InclRevalReserve]/Share (Rs.),471.51,546.98,109.73,129.23,202.40,169.69,208.77,273.07,332.03,369.50,458.46,588.66,660.19,752.67,688.58,870.94,921.62,898.57
Dividend / Share(Rs.),40.00,40.00,20.00,22.00,40.00,40.00,45.00,45.00,50.00,50.00,55.00,55.00,60.00,60.00,120.00,140.00,140.00,140.00
Revenue from Operations/Share (Rs.),748.38,931.04,610.12,601.34,816.51,566.69,674.88,691.06,696.32,746.86,780.54,752.21,869.65,1045.37,1033.92,958.67,1145.41,1287.38
PBDIT/Share (Rs.),171.45,187.41,86.70,76.72,173.07,129.51,149.57,153.12,166.30,162.39,202.35,195.06,211.86,229.16,236.02,214.43,223.52,273.20
PBIT/Share (Rs.),152.57,168.60,74.68,67.75,163.64,125.27,144.54,147.45,160.09,153.15,191.74,184.44,200.98,219.98,227.51,205.47,214.21,263.22
PBT/Share (Rs.),152.54,168.08,74.32,66.30,163.23,150.25,139.14,147.43,160.07,141.16,191.70,184.39,199.83,231.65,227.40,205.24,224.81,261.83
Net Profit/Share (Rs.),111.02,122.27,52.24,45.24,117.51,115.41,103.81,105.18,112.08,97.24,135.80,132.27,140.58,161.56,176.24,157.40,173.44,198.88
Profitability Ratios,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),22.90,20.12,14.21,12.75,21.19,22.85,22.16,22.15,23.88,21.74,25.92,25.93,24.36,21.92,22.82,22.36,19.51,21.22
PBIT Margin (%),20.38,18.10,12.23,11.26,20.04,22.10,21.41,21.33,22.99,20.50,24.56,24.51,23.11,21.04,22.00,21.43,18.70,20.44
PBT Margin (%),20.38,18.05,12.18,11.02,19.99,26.51,20.61,21.33,22.98,18.90,24.56,24.51,22.97,22.15,21.99,21.40,19.62,20.33
Net Profit Margin (%),14.83,13.13,8.56,7.52,14.39,20.36,15.38,15.21,16.09,13.01,17.39,17.58,16.16,15.45,17.04,16.41,15.14,15.44
Return on Networth / Equity (%),23.54,22.35,47.60,35.00,58.05,68.01,49.72,38.51,33.75,26.31,29.62,22.46,21.29,21.46,25.59,18.07,18.81,22.13
Return on Capital Employed (%),17.47,16.89,24.66,19.50,38.24,61.93,46.53,36.47,32.37,25.38,28.67,30.32,29.50,28.28,32.08,22.96,22.76,28.72
Return on Assets (%),11.26,10.59,15.29,10.83,19.46,36.11,27.10,24.39,21.99,18.08,23.83,18.38,17.07,17.07,20.58,14.44,15.72,18.07
Total Debt/Equity (X),0.31,0.29,0.84,0.84,0.46,0.06,0.02,0.01,0.01,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00
Asset Turnover Ratio (%),75.92,80.67,178.64,143.99,135.26,177.32,176.23,160.25,136.62,138.87,137.00,104.57,105.64,110.48,120.76,0.99,1.04,1.16
Liquidity Ratios,,,,,,,,,,,,,,,,,,
Current Ratio (X),0.80,0.86,0.88,0.83,0.68,0.79,1.12,1.50,1.19,2.13,1.70,2.92,2.25,1.45,1.55,2.51,2.13,1.71
Quick Ratio (X),0.72,0.79,0.69,0.71,0.58,0.64,0.98,1.35,1.05,1.95,1.44,2.70,2.07,1.25,1.30,2.25,1.87,1.44
Inventory Turnover Ratio (X),27.74,30.42,25.25,25.68,26.47,29.96,28.78,31.43,31.50,26.55,31.41,29.88,33.89,31.46,28.13,14.32,16.28,18.27
Dividend Payout Ratio (NP) (%),36.03,32.71,38.28,48.63,34.04,34.65,43.34,42.78,44.60,51.42,73.63,3.77,39.12,37.13,102.12,0.00,80.71,71.98
Dividend Payout Ratio (CP) (%),30.71,28.34,31.08,40.58,31.51,33.42,41.34,40.59,42.26,46.95,68.29,3.49,36.31,35.13,97.42,0.00,76.60,68.54
Earnings Retention Ratio (%),63.97,67.29,61.72,51.37,65.96,65.35,56.66,57.22,55.40,48.58,26.37,96.23,60.88,62.87,-2.12,0.00,19.29,28.02
