,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),23.39,33.93,10.04,13.48,5.62,9.27,24.43,67.47,110.84,135.69,144.79,179.94,242.30,34.01,47.05,67.52,83.25,65.85,105.39,170.37
Diluted EPS (Rs.),23.39,33.93,10.04,13.48,5.62,9.27,24.43,67.47,110.29,134.74,143.65,177.70,238.83,33.67,46.57,66.95,82.60,65.33,104.63,169.51
Cash EPS (Rs.),24.53,35.15,10.86,14.34,6.95,10.79,26.52,70.05,101.21,121.83,150.39,186.69,249.27,34.89,47.79,69.82,85.87,70.77,111.15,177.57
Book Value [ExclRevalReserve]/Share (Rs.),141.85,167.23,229.93,281.74,290.57,297.50,314.93,370.76,492.15,676.38,802.18,959.94,1386.86,175.56,287.20,339.15,530.26,597.39,697.10,851.90
Book Value [InclRevalReserve]/Share (Rs.),141.85,167.23,229.93,281.74,290.57,297.50,314.93,370.76,492.15,676.38,802.18,959.94,1386.86,175.56,287.20,339.15,530.26,597.39,697.10,851.90
Dividend / Share(Rs.),6.00,7.50,4.00,3.00,1.00,2.00,6.00,10.00,12.00,15.00,16.00,18.00,25.00,3.60,4.00,6.00,10.00,10.00,20.00,30.00
Revenue from Operations/Share (Rs.),65.54,88.17,100.07,99.91,111.94,161.76,243.86,380.11,523.48,621.48,810.54,1076.36,1364.02,182.19,231.03,301.40,397.08,391.16,461.86,590.31
PBDIT/Share (Rs.),42.11,55.39,52.36,49.10,46.06,44.50,76.61,204.89,329.18,420.33,541.43,728.17,923.95,122.37,152.01,209.96,248.96,217.94,273.73,390.61
PBIT/Share (Rs.),40.97,54.17,51.53,48.24,44.74,42.98,74.52,202.26,326.33,417.29,535.56,721.05,913.43,121.07,150.24,207.58,244.45,212.92,267.85,383.27
PBT/Share (Rs.),29.34,37.29,26.11,20.08,7.73,13.21,35.34,100.97,145.75,175.09,219.33,271.39,366.87,51.52,70.53,104.63,113.48,89.14,142.32,229.66
Net Profit/Share (Rs.),23.39,33.93,10.04,13.48,5.62,9.27,24.43,67.42,98.36,118.78,144.52,179.57,238.75,33.58,46.02,67.44,81.36,65.75,105.26,170.23
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),64.25,62.82,52.32,49.14,41.14,27.50,31.41,53.90,62.88,67.63,66.79,67.65,67.73,67.16,65.79,69.66,62.69,55.71,59.26,66.17
PBIT Margin (%),62.51,61.44,51.50,48.28,39.96,26.56,30.55,53.21,62.33,67.14,66.07,66.98,66.96,66.45,65.03,68.87,61.56,54.43,57.99,64.92
PBT Margin (%),44.76,42.29,26.09,20.09,6.90,8.16,14.49,26.56,27.84,28.17,27.05,25.21,26.89,28.27,30.52,34.71,28.57,22.78,30.81,38.90
Net Profit Margin (%),35.68,38.48,10.03,13.49,5.02,5.72,10.01,17.73,18.79,19.11,17.83,16.68,17.50,18.43,19.91,22.37,20.48,16.80,22.79,28.83
Return on Networth / Equity (%),16.48,20.29,4.36,4.78,1.93,3.11,7.75,18.18,19.98,17.56,18.01,18.70,17.21,19.13,16.02,19.88,15.34,11.00,15.10,19.98
Return on Capital Employed (%),13.90,13.59,2.42,2.93,1.20,2.25,3.07,5.81,4.78,5.38,4.89,3.84,3.82,14.95,14.09,11.26,14.72,11.69,11.88,13.95
Return on Assets (%),4.10,3.93,0.94,1.34,0.53,0.83,1.85,2.89,3.14,3.31,2.92,2.73,2.75,2.88,3.16,3.58,3.53,2.85,3.77,4.75
Total Debt/Equity (X),1.47,2.47,2.11,1.62,1.56,1.48,2.80,3.92,4.53,2.85,4.00,4.71,4.99,4.38,3.25,4.41,3.28,2.78,2.93,3.14
Asset Turnover Ratio (%),11.49,10.22,9.46,9.97,10.65,14.64,18.49,16.33,16.73,17.35,16.38,16.40,15.72,15.63,15.88,16.02,17.26,17.01,0.18,0.19
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.37,1.38,1.62,1.82,1.62,1.46,2.30,1.02,1.37,1.16,1.04,1.48,1.57,1.53,1.64,49.12,3.53,4.71,5.16,4.22
Quick Ratio (X),0.27,0.27,0.25,0.41,0.30,0.64,2.30,1.02,1.37,1.16,1.04,1.48,1.57,1.53,1.64,49.12,3.53,4.71,5.16,4.22
Inventory Turnover Ratio (X),0.15,0.13,0.11,0.13,0.14,0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividend Payout Ratio (NP) (%),25.65,22.10,39.84,22.25,17.78,21.58,24.55,14.83,12.19,12.62,11.15,10.05,10.99,0.00,7.47,5.94,23.38,0.00,9.48,11.73
Dividend Payout Ratio (CP) (%),24.46,21.33,36.81,20.92,14.38,18.53,22.62,14.27,11.85,12.31,10.72,9.67,10.53,0.00,7.20,5.73,22.15,0.00,8.98,11.24
Earnings Retention Ratio (%),74.35,77.90,60.16,77.75,82.22,78.42,75.45,85.17,87.81,87.38,88.85,89.95,89.01,0.00,92.53,94.06,76.62,0.00,90.52,88.27
Cash Earnings Retention Ratio (%),75.54,78.67,63.19,79.08,85.62,81.47,77.38,85.73,88.15,87.69,89.28,90.33,89.47,0.00,92.80,94.27,77.85,0.00,91.02,88.76
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),445.08,914.22,2066.33,2575.25,2660.54,1799.55,4369.85,7010.09,12512.65,14913.17,24079.23,42849.11,72801.42,105918.24,155297.64,260598.50,236478.55,408237.90,558081.02,497788.02
EV/Net Operating Revenue (X),4.12,6.29,9.84,7.29,6.49,3.04,4.90,5.03,5.78,4.82,5.97,7.96,9.97,10.63,11.69,14.99,9.93,17.35,20.03,13.95
EV/EBITDA (X),6.41,10.01,18.80,14.84,15.78,11.05,15.59,9.34,9.20,7.13,8.94,11.77,14.71,15.83,17.76,21.52,15.83,31.14,33.79,21.08
MarketCap/Net Operating Revenue (X),1.17,1.89,5.30,4.23,2.95,0.42,1.31,1.84,1.56,1.86,2.21,3.81,5.08,6.44,7.66,10.04,5.58,13.16,15.72,9.51
Retention Ratios (%),74.34,77.89,60.15,77.74,82.21,78.41,75.44,85.16,87.80,87.37,88.84,89.94,89.00,0.00,92.52,94.05,76.61,0.00,90.51,88.26
Price/BV (X),0.54,1.00,2.31,1.50,1.14,0.23,1.01,1.88,1.66,1.71,2.23,4.27,5.00,6.69,6.16,8.92,4.18,8.62,10.41,6.59
Price/Net Operating Revenue,1.17,1.89,5.30,4.23,2.95,0.42,1.31,1.84,1.56,1.86,2.21,3.81,5.08,6.44,7.66,10.04,5.58,13.16,15.72,9.51
Earnings Yield,0.31,0.20,0.02,0.03,0.02,0.14,0.08,0.10,0.12,0.10,0.08,0.04,0.03,0.03,0.03,0.02,0.04,0.01,0.01,0.03
