,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),0.00,-2.91,10.62,21.27,32.90,40.79,24.82,20.32,15.09,13.42,16.69,33.02,19.46,-24.84,0.20,-4.36,-71.08,-46.18,-6.53,-0.16
Diluted EPS (Rs.),0.00,-2.91,10.62,21.27,32.90,40.79,24.82,20.32,15.09,13.42,16.69,33.02,19.46,-24.84,0.20,-4.36,-71.08,-46.18,-6.53,-0.16
Cash EPS (Rs.),0.03,3.46,18.86,34.41,50.99,58.63,35.61,32.46,30.67,31.40,34.60,51.93,43.42,5.70,32.84,33.15,-28.77,-5.83,37.51,46.30
Book Value [ExclRevalReserve]/Share (Rs.),26.03,24.44,38.71,60.19,106.34,145.01,96.24,116.15,130.15,142.57,166.92,195.80,279.50,253.18,257.32,245.92,185.27,140.86,141.20,138.62
Book Value [InclRevalReserve]/Share (Rs.),26.03,24.45,38.72,60.20,106.35,145.02,96.25,116.16,130.16,142.58,166.93,195.81,279.50,253.18,257.32,245.92,185.27,140.86,141.20,138.62
Dividend / Share(Rs.),0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,1.00,1.00,1.80,3.85,1.36,1.00,5.34,2.50,2.00,0.00,3.00,4.00
Revenue from Operations/Share (Rs.),0.34,43.93,59.45,94.16,135.73,179.37,93.77,100.11,109.55,119.42,124.88,138.83,150.85,155.79,134.24,124.10,99.56,117.13,126.37,149.33
PBDIT/Share (Rs.),0.14,15.32,20.58,37.72,54.39,60.77,38.61,35.97,37.57,39.32,42.91,61.60,56.25,59.73,45.13,37.32,41.01,55.30,65.32,81.85
PBIT/Share (Rs.),0.12,9.82,13.02,25.31,37.70,43.88,28.36,23.83,21.99,21.35,24.82,42.69,32.29,29.20,12.49,-0.50,3.64,15.25,21.33,35.39
PBT/Share (Rs.),0.00,8.32,11.98,24.21,36.55,42.73,28.06,22.98,18.32,17.00,20.96,39.16,25.65,-21.29,-1.70,-13.12,-93.52,-33.62,-7.57,2.24
Net Profit/Share (Rs.),0.00,-2.91,10.62,21.27,32.90,40.79,24.82,20.32,15.09,13.42,16.51,33.02,19.46,-24.83,0.20,-4.68,-66.15,-45.88,-6.48,-0.16
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),40.34,34.87,34.61,40.05,40.06,33.87,41.17,35.93,34.29,32.92,34.36,44.37,37.28,38.34,33.61,30.07,41.19,47.21,51.68,54.80
PBIT Margin (%),34.19,22.35,21.89,26.87,27.77,24.46,30.24,23.80,20.07,17.87,19.87,30.74,21.40,18.74,9.30,-0.40,3.65,13.01,16.87,23.69
PBT Margin (%),0.39,18.93,20.14,25.71,26.92,23.82,29.92,22.95,16.72,14.23,16.78,28.20,17.00,-13.66,-1.26,-10.57,-93.93,-28.70,-5.99,1.49
Net Profit Margin (%),0.58,-6.62,17.87,22.59,24.23,22.74,26.47,20.29,13.77,11.23,13.22,23.78,12.90,-15.93,0.14,-3.76,-66.43,-39.17,-5.13,-0.10
Return on Networth / Equity (%),0.00,-11.90,27.44,35.34,30.93,28.13,25.79,17.49,11.59,9.41,9.89,16.86,6.96,-9.80,0.07,-1.90,-35.70,-32.57,-4.59,-0.11
Return on Capital Employed (%),0.00,-5.83,16.60,24.10,23.27,21.84,22.49,14.10,9.36,7.44,8.34,12.76,4.94,7.49,3.09,-0.12,0.95,4.05,5.66,7.80
Return on Assets (%),0.00,-3.78,10.36,14.50,15.16,15.54,17.01,10.78,7.13,5.79,6.72,10.44,4.20,-5.17,0.03,-0.83,-12.01,-9.07,-1.27,-0.02
Total Debt/Equity (X),0.13,1.10,0.65,0.47,0.33,0.28,0.14,0.23,0.29,0.24,0.13,0.26,0.38,0.56,0.61,0.85,0.81,1.22,1.31,1.79
Asset Turnover Ratio (%),1.15,57.19,57.99,64.22,62.56,68.33,64.26,53.11,51.79,51.60,50.83,43.89,32.58,32.49,26.18,22.25,18.08,23.15,0.25,0.27
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),9.44,0.47,0.45,0.48,0.56,0.66,0.68,0.31,0.73,0.32,0.35,0.64,0.41,0.47,0.49,0.32,0.63,0.56,0.51,0.52
Quick Ratio (X),9.44,0.46,0.44,0.47,0.55,0.65,0.68,0.31,0.73,0.32,0.35,0.64,0.41,0.47,0.49,0.32,0.63,0.56,0.51,0.52
Inventory Turnover Ratio (X),0.00,257.80,634.52,373.35,453.06,547.83,1307.05,1105.17,1296.07,21595.67,45380.45,5903.87,11377.42,15968.28,8517.94,49606.00,17521.65,80407.38,0.00,0.00
Dividend Payout Ratio (NP) (%),0.00,0.00,0.00,0.00,0.00,4.90,4.02,4.92,6.62,7.45,10.90,11.65,11.40,-4.02,1261.74,-106.93,0.00,-4.33,0.00,-1967.63
Dividend Payout Ratio (CP) (%),0.00,0.00,0.00,0.00,0.00,3.41,2.80,3.08,3.26,3.18,5.20,7.41,5.11,17.54,7.61,15.08,0.00,-34.09,0.00,6.71
