,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),56.49,32.19,9.72,49.94,43.72,20.35,42.53,42.78,36.27,36.55,56.16,70.32,102.78,40.87,40.55,36.26,13.64,96.44,41.31,8.78
Diluted EPS (Rs.),56.49,32.19,9.72,49.94,43.72,20.35,42.53,42.78,36.27,36.55,56.16,70.32,102.78,40.87,40.55,36.26,13.64,96.12,41.31,8.78
Cash EPS (Rs.),75.19,52.06,35.32,74.95,74.09,50.10,76.89,88.57,88.40,63.19,87.23,105.11,128.43,75.73,54.04,52.48,32.90,109.99,63.60,38.59
Book Value [ExclRevalReserve]/Share (Rs.),194.99,212.95,302.60,284.16,322.97,335.46,361.97,388.83,412.51,230.04,269.11,310.72,375.60,226.26,173.53,186.78,168.87,260.62,233.25,244.18
Book Value [InclRevalReserve]/Share (Rs.),194.99,212.95,302.60,284.16,322.97,335.46,361.97,388.83,412.51,230.04,269.11,310.72,375.60,226.26,173.53,186.78,168.87,260.62,233.25,244.18
Dividend / Share(Rs.),17.50,12.50,2.50,16.00,4.00,7.00,14.00,14.00,11.00,11.00,17.00,22.50,31.00,32.50,21.00,19.00,16.50,79.00,16.00,4.00
Revenue from Operations/Share (Rs.),1599.47,1929.25,2517.78,2670.70,3048.28,3708.40,3325.14,4194.26,5863.06,3320.74,3596.57,3292.68,2618.01,1542.12,1202.01,1511.40,1445.86,1111.11,1701.27,2221.82
PBDIT/Share (Rs.),110.58,69.91,46.86,118.07,117.35,117.33,129.30,142.93,154.03,107.69,132.14,145.41,180.73,102.42,75.10,76.00,49.42,102.61,87.37,61.71
PBIT/Share (Rs.),91.87,50.04,21.26,93.06,86.97,87.58,94.94,97.14,101.89,81.06,101.07,110.62,155.09,88.00,61.62,59.78,30.17,83.60,65.04,31.90
PBT/Share (Rs.),88.38,45.38,13.01,79.86,68.37,27.66,66.98,66.24,52.12,55.81,82.27,102.55,147.30,84.22,57.38,53.08,13.58,108.07,55.95,10.41
Net Profit/Share (Rs.),56.49,32.19,9.72,49.94,43.72,20.35,42.53,42.78,36.27,36.55,56.16,70.32,102.78,61.31,40.55,36.26,13.64,90.98,41.27,8.78
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),6.91,3.62,1.86,4.42,3.84,3.16,3.88,3.40,2.62,3.24,3.67,4.41,6.90,6.64,6.24,5.02,3.41,9.23,5.13,2.77
PBIT Margin (%),5.74,2.59,0.84,3.48,2.85,2.36,2.85,2.31,1.73,2.44,2.81,3.35,5.92,5.70,5.12,3.95,2.08,7.52,3.82,1.43
PBT Margin (%),5.52,2.35,0.51,2.99,2.24,0.74,2.01,1.57,0.88,1.68,2.28,3.11,5.62,5.46,4.77,3.51,0.93,9.72,3.28,0.46
Net Profit Margin (%),3.53,1.66,0.38,1.86,1.43,0.54,1.27,1.01,0.61,1.10,1.56,2.13,3.92,3.97,3.37,2.39,0.94,8.18,2.42,0.39
Return on Networth / Equity (%),28.96,15.11,3.21,17.57,13.53,6.06,11.74,11.00,8.79,15.88,20.86,22.63,27.36,27.09,23.36,19.41,8.07,34.91,17.69,3.59
Return on Capital Employed (%),21.17,11.02,2.35,12.79,9.09,4.14,5.65,8.36,6.92,10.87,11.99,13.70,16.77,23.79,21.87,17.19,8.79,20.37,17.53,7.63
Return on Assets (%),9.42,4.70,1.02,5.30,3.67,1.53,2.83,2.76,1.99,3.94,5.60,7.29,9.78,8.73,7.96,6.16,2.12,13.54,5.83,1.16
Total Debt/Equity (X),0.46,0.61,0.92,1.05,1.29,1.75,1.70,1.17,1.42,1.42,1.03,0.52,0.50,0.71,0.67,0.74,1.15,0.39,0.49,0.69
Asset Turnover Ratio (%),266.94,282.22,265.10,283.48,255.91,279.35,221.32,271.38,323.09,358.44,359.06,341.44,249.11,219.81,236.11,257.09,224.86,165.38,2.49,3.04
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),0.84,0.88,0.83,0.73,0.80,0.55,0.92,0.82,0.85,0.90,1.03,0.93,0.89,0.79,0.83,0.99,0.70,0.93,0.76,0.77
Quick Ratio (X),0.41,0.35,0.26,0.29,0.39,0.32,0.47,0.41,0.50,0.51,0.53,0.48,0.45,0.33,0.36,0.53,0.35,0.44,0.26,0.24
Inventory Turnover Ratio (X),11.20,9.25,8.35,11.15,10.39,19.65,9.99,9.86,13.29,14.39,13.64,16.47,13.82,10.21,11.33,13.80,13.93,8.69,4.40,6.30
Dividend Payout Ratio (NP) (%),30.98,38.82,30.99,32.03,9.14,34.39,32.91,32.72,30.32,30.09,30.27,31.99,30.16,70.15,36.16,49.64,179.59,23.92,167.83,69.59
Dividend Payout Ratio (CP) (%),23.27,24.01,8.52,21.34,5.39,13.97,18.20,15.80,12.44,17.40,19.48,21.40,24.13,56.79,27.13,34.30,74.47,19.78,108.91,15.83
Earnings Retention Ratio (%),69.02,61.18,69.01,67.97,90.86,65.61,67.09,67.28,69.68,69.91,69.73,68.01,69.84,29.85,63.84,50.36,-79.59,76.08,-67.83,30.41
Cash Earnings Retention Ratio (%),76.73,75.99,91.48,78.66,94.61,86.03,81.80,84.20,87.56,82.60,80.52,78.60,75.87,43.21,72.87,65.70,25.53,80.22,-8.91,84.17
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),16427.12,14143.22,20663.00,20892.87,28929.20,34347.26,40533.61,38179.98,45550.08,48581.20,53071.67,68982.94,76835.19,106032.68,106841.33,105071.20,100250.66,103778.24,99778.44,106998.09
EV/Net Operating Revenue (X),0.34,0.24,0.27,0.22,0.26,0.26,0.34,0.25,0.21,0.20,0.20,0.29,0.41,0.52,0.45,0.35,0.35,0.45,0.28,0.23
EV/EBITDA (X),4.95,6.74,14.70,4.89,6.82,8.10,8.67,7.39,8.18,6.24,5.55,6.56,5.88,7.90,7.23,7.03,10.31,4.83,5.36,8.14
MarketCap/Net Operating Revenue (X),0.30,0.18,0.17,0.11,0.13,0.10,0.16,0.15,0.12,0.11,0.13,0.25,0.34,0.42,0.36,0.26,0.22,0.39,0.21,0.15
Retention Ratios (%),69.01,61.17,69.00,67.96,90.85,65.60,67.08,67.27,69.67,69.90,69.72,68.00,69.83,29.84,63.83,50.35,-79.59,76.07,-67.83,30.40
Price/BV (X),2.46,1.66,1.41,1.06,1.27,1.12,1.43,1.57,1.70,1.64,1.71,2.61,2.40,2.87,2.47,2.12,1.87,1.64,1.54,1.41
Price/Net Operating Revenue,0.30,0.18,0.17,0.11,0.13,0.10,0.16,0.15,0.12,0.11,0.13,0.25,0.34,0.42,0.36,0.26,0.22,0.39,0.21,0.15
Earnings Yield,0.12,0.09,0.02,0.17,0.11,0.05,0.08,0.07,0.05,0.10,0.12,0.09,0.11,0.09,0.09,0.09,0.04,0.21,0.11,0.03
