,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),47.31,62.72,61.29,45.06,79.95,75.51,48.77,12.16,15.63,19.57,30.87,51.90,62.44,70.31,78.96,46.71,61.75,73.12,66.56,88.82
Diluted EPS (Rs.),47.31,62.72,61.29,45.06,79.95,75.51,48.77,12.16,15.62,19.55,30.87,51.89,62.43,70.30,78.92,46.68,61.73,73.09,66.56,88.82
Cash EPS (Rs.),60.10,70.66,70.38,55.64,92.12,89.52,64.48,15.90,19.59,24.34,36.12,61.67,69.67,78.34,88.93,52.32,68.02,79.98,73.61,96.90
Book Value [ExclRevalReserve]/Share (Rs.),171.64,185.65,229.84,257.35,316.37,345.14,165.86,37.78,43.54,53.23,71.15,103.01,141.68,215.17,269.49,168.10,177.74,137.80,99.73,132.05
Book Value [InclRevalReserve]/Share (Rs.),171.64,185.65,229.84,257.35,316.37,345.14,165.86,37.78,43.54,53.23,71.15,103.01,141.68,215.17,269.49,168.10,177.74,137.80,99.73,132.05
Dividend / Share(Rs.),11.00,14.00,15.00,15.00,18.00,40.00,25.00,6.50,8.50,8.50,12.00,16.00,20.00,22.00,25.00,15.00,35.00,157.50,56.50,72.00
Revenue from Operations/Share (Rs.),573.27,664.53,717.17,920.60,1083.23,1302.79,1425.15,353.58,416.42,469.72,525.83,598.25,662.33,701.20,775.02,436.22,456.83,513.86,555.07,648.34
PBDIT/Share (Rs.),75.03,90.82,92.21,61.44,104.27,95.62,71.21,23.47,28.28,35.72,52.64,71.62,102.50,112.41,130.48,77.10,87.57,109.76,101.64,122.97
PBIT/Share (Rs.),66.11,82.88,83.12,50.86,92.10,81.62,55.49,19.74,24.31,30.94,47.36,61.84,95.26,104.38,120.50,71.48,81.27,102.83,94.59,114.87
PBT/Share (Rs.),63.70,82.00,82.22,48.59,89.42,76.72,53.73,16.58,21.13,27.79,45.24,73.58,94.30,104.26,120.38,71.42,79.35,98.77,89.05,117.89
Net Profit/Share (Rs.),47.31,62.72,61.29,45.06,79.95,75.51,48.77,12.16,15.63,19.56,30.83,51.89,62.42,70.31,78.96,46.70,61.72,73.06,66.55,88.80
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),13.08,13.66,12.85,6.67,9.62,7.34,4.99,6.63,6.79,7.60,10.01,11.97,15.47,16.03,16.83,17.67,19.16,21.35,18.31,18.96
PBIT Margin (%),11.53,12.47,11.58,5.52,8.50,6.26,3.89,5.58,5.83,6.58,9.00,10.33,14.38,14.88,15.54,16.38,17.78,20.01,17.04,17.71
PBT Margin (%),11.11,12.33,11.46,5.27,8.25,5.88,3.76,4.68,5.07,5.91,8.60,12.29,14.23,14.86,15.53,16.37,17.36,19.22,16.04,18.18
Net Profit Margin (%),8.25,9.43,8.54,4.89,7.38,5.79,3.42,3.44,3.75,4.16,5.86,8.67,9.42,10.02,10.18,10.70,13.50,14.21,11.98,13.69
Return on Networth / Equity (%),27.56,33.78,26.66,17.50,25.27,21.87,29.40,32.19,35.90,36.74,43.33,50.37,44.05,32.67,29.29,27.78,34.72,53.02,66.72,67.24
Return on Capital Employed (%),26.32,32.53,25.87,17.46,24.47,20.64,13.69,14.15,26.94,28.68,41.74,49.41,43.43,32.36,29.06,42.19,38.79,60.59,72.25,57.73
Return on Assets (%),16.82,19.45,16.70,11.42,15.50,14.01,8.72,9.80,11.16,13.89,20.05,25.28,24.42,22.82,20.48,19.85,20.46,23.73,22.89,24.76
Total Debt/Equity (X),0.09,0.01,0.02,0.01,0.14,0.03,1.08,0.95,0.05,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.54,0.91,0.84
Asset Turnover Ratio (%),203.94,206.16,195.43,233.31,210.01,241.78,254.84,284.89,297.43,333.65,341.96,291.47,259.12,227.65,201.06,185.43,151.47,166.92,1.85,2.00
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),0.89,0.85,1.08,1.17,1.22,1.30,1.07,1.54,0.88,0.82,0.90,1.19,1.06,1.84,2.03,1.94,1.45,1.21,0.93,1.15
Quick Ratio (X),0.41,0.42,0.49,0.51,0.56,0.69,0.52,0.86,0.49,0.44,0.51,0.90,0.77,1.29,1.59,1.49,1.16,0.91,0.61,0.87
Inventory Turnover Ratio (X),11.78,11.83,9.27,10.23,8.58,12.27,12.69,13.57,13.01,16.94,17.19,20.76,20.70,13.96,15.65,14.58,17.34,12.49,5.68,6.09
Dividend Payout Ratio (NP) (%),22.92,22.32,24.47,33.28,22.51,52.97,51.26,53.43,54.36,43.46,38.91,30.82,32.03,28.44,27.86,26.74,28.44,161.34,111.93,63.61
Dividend Payout Ratio (CP) (%),18.04,19.81,21.31,26.95,19.53,44.68,38.76,40.88,43.37,34.94,33.21,25.94,28.70,25.52,24.73,23.87,25.81,147.37,101.19,58.29
Earnings Retention Ratio (%),77.08,77.68,75.53,66.72,77.49,47.03,48.74,46.57,45.64,56.54,61.09,69.18,67.97,71.56,72.14,73.26,71.56,-61.34,-11.93,36.39
Cash Earnings Retention Ratio (%),81.96,80.19,78.69,73.05,80.47,55.32,61.24,59.12,56.63,65.06,66.79,74.06,71.30,74.48,75.27,76.13,74.19,-47.37,-1.19,41.71
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),1601.48,2101.01,4234.72,2945.52,3285.48,3351.45,4227.49,4828.04,7074.62,6393.18,10050.54,25705.27,32082.29,40541.69,59594.32,74019.04,65849.04,89087.38,79317.44,106714.91
EV/Net Operating Revenue (X),1.11,1.32,2.47,1.34,1.27,1.08,1.24,1.14,1.42,1.14,1.59,3.58,4.04,4.82,6.41,7.06,5.99,7.20,5.93,6.83
EV/EBITDA (X),8.50,9.68,19.22,20.07,13.19,14.67,24.85,17.22,20.95,14.97,15.92,29.92,26.08,30.05,38.05,39.95,31.27,33.69,32.39,36.02
MarketCap/Net Operating Revenue (X),1.09,1.33,2.49,1.36,1.25,1.08,1.12,1.05,1.42,1.12,1.60,3.61,4.04,4.82,6.41,7.07,5.89,7.06,5.77,6.67
Retention Ratios (%),77.07,77.67,75.52,66.71,77.48,47.02,48.73,46.56,45.63,56.53,61.08,69.17,67.96,71.55,72.13,73.25,71.55,-61.34,-11.93,36.38
Price/BV (X),3.64,4.76,7.76,4.86,4.26,4.08,9.64,9.81,13.61,9.85,11.85,20.95,18.88,15.72,18.45,18.33,15.13,26.33,32.13,32.73
Price/Net Operating Revenue,1.09,1.33,2.49,1.36,1.25,1.08,1.12,1.05,1.42,1.12,1.60,3.61,4.04,4.82,6.41,7.07,5.89,7.06,5.77,6.67
Earnings Yield,0.08,0.07,0.03,0.04,0.06,0.05,0.03,0.03,0.03,0.04,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
