,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),49.29,13.66,20.26,8.59,9.02,9.99,13.47,11.96,14.00,18.77,17.29,14.71,18.21,12.13,18.25,23.45,28.76,30.61,36.67,31.15
Diluted EPS (Rs.),49.29,13.66,20.26,8.59,9.02,9.99,13.47,11.96,14.00,18.77,17.29,14.66,18.16,12.11,18.22,23.41,28.72,30.57,36.63,31.12
Cash EPS (Rs.),56.02,15.50,22.94,9.92,10.71,11.95,15.53,15.05,17.51,22.55,21.32,20.10,23.71,18.33,24.82,30.51,36.19,37.50,42.36,38.52
Book Value [ExclRevalReserve]/Share (Rs.),209.08,51.47,65.83,41.52,48.20,55.86,73.55,82.25,93.93,110.36,125.58,138.01,149.19,159.11,175.30,195.88,215.85,247.10,279.05,305.25
Book Value [InclRevalReserve]/Share (Rs.),210.77,51.81,66.14,41.63,48.32,55.97,73.66,82.36,94.04,110.47,125.69,138.12,149.19,159.11,175.30,195.88,215.85,247.10,279.05,305.25
Dividend / Share(Rs.),15.00,3.50,2.00,2.00,2.00,2.00,2.00,2.80,2.00,2.00,2.00,2.00,2.00,2.00,3.00,3.00,4.00,5.00,5.00,8.50
Revenue from Operations/Share (Rs.),320.65,75.18,99.43,45.83,54.08,67.34,69.82,78.85,86.90,102.16,116.83,126.18,150.83,133.85,141.47,153.58,157.01,172.37,162.27,195.63
PBDIT/Share (Rs.),75.83,19.25,26.73,11.81,12.62,13.97,17.52,17.59,21.55,29.25,28.27,26.27,29.05,21.46,31.43,38.22,44.65,49.00,49.99,52.65
PBIT/Share (Rs.),69.11,17.42,24.05,10.48,10.94,12.02,15.46,14.50,18.04,25.47,24.24,20.87,23.54,15.24,24.85,31.15,37.21,42.11,44.29,45.26
PBT/Share (Rs.),67.38,17.16,23.67,10.39,10.79,11.60,15.17,14.34,17.70,25.06,22.65,19.18,21.71,14.75,23.74,30.94,36.77,41.55,43.95,42.63
Net Profit/Share (Rs.),49.29,13.66,20.26,8.59,9.02,9.99,13.47,11.96,14.00,18.77,17.29,14.71,18.20,12.12,18.24,23.44,28.75,30.61,36.66,31.14
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),23.64,25.60,26.88,25.78,23.33,20.74,25.08,22.30,24.79,28.62,24.19,20.81,19.25,16.02,22.21,24.88,28.43,28.42,30.80,26.91
PBIT Margin (%),21.55,23.16,24.19,22.87,20.22,17.84,22.13,18.39,20.75,24.93,20.74,16.54,15.60,11.38,17.56,20.28,23.70,24.42,27.29,23.13
PBT Margin (%),21.01,22.82,23.80,22.68,19.94,17.21,21.72,18.18,20.37,24.52,19.38,15.19,14.39,11.02,16.78,20.14,23.41,24.10,27.08,21.78
Net Profit Margin (%),15.37,18.16,20.38,18.75,16.68,14.84,19.29,15.16,16.10,18.37,14.80,11.65,12.06,9.05,12.89,15.26,18.31,17.75,22.59,15.91
Return on Networth / Equity (%),23.57,26.53,30.78,20.69,18.72,17.89,18.31,14.54,14.90,17.00,13.76,10.65,12.20,7.61,10.40,11.96,13.32,12.38,13.13,10.20
Return on Capital Employed (%),19.57,22.79,24.31,19.27,15.69,16.92,17.73,14.02,14.38,16.33,13.21,10.17,11.90,9.39,13.93,15.63,16.86,16.75,15.72,14.67
Return on Assets (%),13.31,15.65,17.57,15.13,12.23,11.32,12.80,11.36,12.49,13.11,10.74,7.77,9.59,6.24,8.59,10.25,11.36,10.74,11.62,9.10
