,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),0.00,0.00,270.90,446.60,388.40,5.22,5.98,7.42,12.83,15.65,23.76,21.19,26.27,23.12,14.97,16.87,18.31,12.40,18.18,24.02
Diluted EPS (Rs.),0.00,0.00,270.90,446.60,388.40,5.22,5.98,7.42,12.83,15.65,23.76,21.19,26.27,23.12,14.97,16.87,18.31,12.40,18.18,24.02
Cash EPS (Rs.),0.00,0.00,272.40,448.00,389.50,5.23,6.00,7.44,12.78,15.51,23.77,21.20,26.30,23.39,15.00,17.03,18.39,12.44,18.21,24.09
Book Value [ExclRevalReserve]/Share (Rs.),0.00,0.00,1795.50,2003.40,2116.60,24.12,27.01,28.21,30.97,32.48,26.04,26.49,25.40,22.42,20.45,22.71,27.28,27.18,26.54,27.11
Book Value [InclRevalReserve]/Share (Rs.),0.00,0.00,1795.50,2003.40,2116.60,24.12,27.01,28.21,30.97,32.48,26.04,26.49,25.40,22.42,20.45,22.71,27.28,27.18,26.54,27.11
Dividend / Share(Rs.),0.00,0.00,200.00,237.50,270.00,2.70,3.50,3.90,10.00,14.00,29.00,20.70,27.40,19.90,16.50,13.10,12.00,16.00,17.00,24.25
Revenue from Operations/Share (Rs.),0.00,0.00,36.60,44.40,43.00,0.50,0.71,0.65,0.66,0.56,0.50,0.61,0.26,0.47,0.59,1.52,1.37,1.04,1.84,3.17
PBDIT/Share (Rs.),0.00,0.00,255.60,502.60,477.30,6.50,6.71,7.81,14.23,16.97,24.83,22.01,26.38,23.18,14.62,17.21,18.43,12.49,18.46,24.56
PBIT/Share (Rs.),0.00,0.00,254.20,501.30,476.30,6.49,6.70,7.80,14.21,16.96,24.82,22.00,26.35,23.16,14.59,17.17,18.34,12.45,18.43,24.49
PBT/Share (Rs.),0.00,0.00,228.60,450.20,408.40,5.78,6.12,7.48,13.61,16.37,24.41,21.61,26.55,23.38,15.01,17.14,18.33,12.45,18.43,24.49
Net Profit/Share (Rs.),0.00,0.00,270.90,446.60,388.40,5.22,5.98,7.43,12.77,15.51,23.76,21.19,26.27,23.36,14.97,16.99,18.31,12.40,18.18,24.02
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),1251.93,1635.91,697.00,1131.76,1109.29,1291.77,946.31,1204.83,2160.62,3042.94,4991.45,3591.56,10065.13,4964.64,2489.74,1135.25,1343.99,1201.91,1005.29,776.12
PBIT Margin (%),1240.18,1622.31,692.99,1128.74,1106.90,1289.83,944.31,1203.34,2158.95,3041.53,4989.41,3589.71,10055.21,4958.60,2484.76,1132.44,1337.55,1198.83,1003.45,773.92
PBT Margin (%),1088.86,1431.28,623.20,1013.75,949.28,1147.79,862.51,1153.60,2067.88,2934.89,4907.14,3526.72,10130.00,5005.59,2555.50,1130.51,1336.93,1198.59,1003.32,773.82
Net Profit Margin (%),1070.58,1447.20,738.73,1005.65,902.76,1036.11,843.47,1146.90,1939.37,2780.50,4775.98,3457.16,10024.16,5001.75,2549.63,1120.58,1334.76,1193.29,989.60,758.89
Return on Networth / Equity (%),13.74,12.17,15.09,22.29,18.35,21.62,22.15,26.35,41.22,47.73,91.26,79.97,103.41,104.17,73.20,74.79,67.09,45.60,68.47,88.60
Return on Capital Employed (%),10.90,9.99,12.92,19.72,16.49,19.35,20.40,22.61,35.28,40.98,78.36,67.35,85.54,81.76,54.45,57.78,52.02,34.91,51.72,66.35
Return on Assets (%),8.10,7.49,9.45,14.81,12.44,14.80,15.77,16.96,26.26,28.77,59.93,60.42,77.61,76.77,50.33,54.98,50.36,33.95,49.91,63.17
Total Debt/Equity (X),0.26,0.22,0.17,0.13,0.11,0.12,0.09,0.07,0.06,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Asset Turnover Ratio (%),0.75,0.51,1.28,1.47,1.37,1.42,1.86,1.47,1.35,1.03,1.25,1.74,0.77,1.53,1.97,4.90,3.77,2.84,0.05,0.09
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.23,1.08,1.52,2.66,2.75,3.03,3.22,2.61,2.68,2.28,2.58,4.73,3.23,2.77,1.17,2.68,7.88,8.21,7.26,5.08
Quick Ratio (X),1.22,1.07,1.52,2.66,2.75,3.02,3.22,2.60,2.68,2.28,2.58,4.70,3.15,2.72,1.16,2.64,7.86,8.21,7.23,5.05
Inventory Turnover Ratio (X),3.58,1.93,7.40,11.85,26.04,16.29,16.86,11.47,22.47,22.49,7.88,6.64,1.09,4.24,17.04,30.46,56.42,640.25,1.36,0.73
Dividend Payout Ratio (NP) (%),13.60,20.72,73.80,53.16,69.50,51.75,58.46,52.45,78.31,90.28,122.04,97.69,104.30,85.19,110.20,77.41,65.55,100.82,96.27,96.79
Dividend Payout Ratio (CP) (%),13.45,20.52,73.40,53.00,69.31,51.65,58.32,52.38,78.24,90.24,121.99,97.64,104.19,85.09,109.99,77.22,65.24,100.49,96.10,96.51
Earnings Retention Ratio (%),86.40,79.28,26.20,46.84,30.50,48.25,41.54,47.55,21.69,9.72,-22.04,2.31,-4.30,14.81,-10.20,22.59,34.45,-0.82,3.73,3.21
Cash Earnings Retention Ratio (%),86.55,79.48,26.60,47.00,30.69,48.35,41.68,47.62,21.76,9.76,-21.99,2.36,-4.19,14.91,-9.99,22.78,34.76,-0.49,3.90,3.49
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),0.00,0.00,0.00,0.00,0.00,0.00,0.00,208769.32,202585.13,178080.38,172030.16,220517.50,179973.14,180830.87,175491.99,145679.94,85206.74,80131.73,112148.27,130533.26
EV/Net Operating Revenue (X),0.00,0.00,0.00,0.00,0.00,0.00,0.00,509.86,487.15,505.55,547.43,569.64,1087.25,623.81,481.46,155.92,100.82,125.16,99.08,66.92
EV/EBITDA (X),0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.32,22.55,16.61,10.97,15.86,10.80,12.57,19.34,13.73,7.50,10.41,9.86,8.62
MarketCap/Net Operating Revenue (X),0.00,0.00,0.00,0.00,0.00,0.00,0.00,535.44,521.12,554.35,578.67,591.30,1114.23,626.99,482.80,156.20,102.09,125.52,99.63,67.50
Retention Ratios (%),86.39,79.27,26.19,46.83,30.49,48.24,41.53,47.54,21.68,9.71,-22.04,2.30,-4.30,14.80,-10.20,22.58,34.44,-0.82,3.72,3.20
Price/BV (X),0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.31,11.08,9.52,11.06,13.68,11.49,13.06,13.86,10.43,5.13,4.80,6.89,7.88
Price/Net Operating Revenue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,535.65,521.43,555.03,579.28,592.16,1114.50,628.33,482.96,156.20,102.12,125.63,99.67,67.50
Earnings Yield,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.08,0.06,0.09,0.08,0.05,0.07,0.13,0.10,0.10,0.11
