,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),56.83,51.51,54.98,148.51,54.77,65.54,26.05,32.90,41.15,46.06,59.65,63.82,41.73,39.68,32.76,50.20,51.71,73.63,111.07,68.11
Diluted EPS (Rs.),56.83,51.51,54.98,148.51,54.77,65.54,26.05,32.88,41.15,46.06,59.65,63.82,41.73,39.68,32.76,50.20,51.71,73.63,111.07,68.11
Cash EPS (Rs.),67.16,63.27,66.53,165.80,60.29,72.92,29.94,36.87,45.81,51.86,66.58,74.05,46.17,44.32,38.12,56.56,58.72,83.23,122.78,81.00
Book Value [ExclRevalReserve]/Share (Rs.),178.80,221.29,265.87,419.82,135.38,194.85,116.70,137.87,163.85,192.36,228.61,268.35,163.87,203.76,224.51,262.70,275.63,349.28,440.44,478.64
Book Value [InclRevalReserve]/Share (Rs.),178.80,221.29,265.87,419.82,135.38,194.85,116.70,137.87,163.85,192.36,228.61,268.35,163.87,203.76,224.51,262.70,275.63,349.28,440.44,478.64
Dividend / Share(Rs.),8.00,8.00,10.00,10.00,4.00,6.00,6.00,10.00,13.00,15.00,20.00,20.00,10.00,10.00,10.00,16.00,16.00,20.00,30.00,30.00
Revenue from Operations/Share (Rs.),244.33,278.04,300.79,567.62,160.38,184.28,70.50,99.16,138.99,160.39,189.40,232.34,140.18,151.59,143.75,183.83,200.06,256.12,334.52,287.26
PBDIT/Share (Rs.),91.40,93.99,98.35,199.75,66.38,78.78,33.38,40.27,57.30,65.56,83.08,90.77,56.21,57.03,51.35,75.55,75.54,108.62,150.22,101.59
PBIT/Share (Rs.),81.07,82.24,86.79,182.46,60.86,71.40,29.49,36.24,52.63,59.77,76.14,80.54,51.76,52.38,45.99,69.19,68.54,99.02,138.53,88.70
PBT/Share (Rs.),79.52,79.81,83.40,175.58,59.59,70.78,29.40,36.13,52.35,59.64,75.99,80.40,51.68,52.30,45.94,69.06,68.31,99.00,138.50,88.68
Net Profit/Share (Rs.),56.83,51.51,54.98,148.51,54.77,65.54,26.05,32.85,41.13,46.06,59.65,63.82,41.73,39.68,32.76,50.20,51.71,73.64,111.08,68.12
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),37.41,33.80,32.69,35.19,41.38,42.75,47.34,40.60,41.22,40.87,43.86,39.06,40.10,37.61,35.72,41.09,37.76,42.40,44.90,35.36
PBIT Margin (%),33.18,29.57,28.85,32.14,37.94,38.74,41.82,36.54,37.86,37.26,40.20,34.66,36.92,34.55,31.98,37.64,34.25,38.66,41.41,30.87
PBT Margin (%),32.54,28.70,27.72,30.93,37.15,38.40,41.69,36.43,37.66,37.18,40.12,34.60,36.86,34.50,31.95,37.56,34.14,38.65,41.40,30.87
