,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),37.01,8.55,27.53,69.60,28.17,33.30,50.12,52.82,53.83,74.54,113.67,98.60,79.42,83.05,34.19,76.98,177.23,131.84,97.85,157.37
Diluted EPS (Rs.),37.01,8.55,27.53,69.60,28.17,33.30,50.12,52.51,53.56,74.17,113.13,98.18,79.14,82.88,34.12,76.85,176.88,131.46,97.85,157.03
Cash EPS (Rs.),46.38,21.32,43.78,78.63,39.03,45.97,64.44,67.45,71.55,92.95,135.92,127.32,117.44,127.82,80.78,123.97,224.24,181.57,146.48,212.24
Book Value [ExclRevalReserve]/Share (Rs.),267.52,271.05,294.95,260.45,286.12,312.30,350.39,355.80,396.10,458.39,548.12,624.06,680.27,699.67,711.31,764.10,914.07,1020.66,1101.94,1228.94
Book Value [InclRevalReserve]/Share (Rs.),267.52,271.05,294.95,260.45,286.12,312.30,350.39,355.80,396.10,458.39,548.12,624.06,680.27,699.67,711.31,764.10,914.07,1020.66,1101.94,1228.94
Dividend / Share(Rs.),5.00,5.00,5.00,3.75,3.75,6.25,11.25,11.25,13.75,15.00,18.00,20.00,20.00,20.00,20.00,20.00,25.00,25.00,30.00,40.00
Revenue from Operations/Share (Rs.),217.10,202.40,261.20,225.31,198.84,237.50,260.40,313.50,397.39,496.70,571.56,587.50,598.34,586.24,563.81,640.09,713.02,802.23,865.70,1018.16
PBDIT/Share (Rs.),49.09,18.37,51.20,91.19,44.75,55.70,77.68,77.13,95.75,125.29,171.16,153.40,155.26,140.94,92.40,152.90,217.38,236.65,184.86,288.48
PBIT/Share (Rs.),39.72,6.29,36.68,83.24,35.12,44.20,64.51,62.48,78.00,106.87,148.81,124.63,117.22,96.60,45.77,105.87,169.89,186.47,135.93,233.07
PBT/Share (Rs.),39.64,5.80,34.39,81.34,34.73,43.32,64.27,62.17,74.25,103.25,144.21,120.89,92.61,93.15,41.99,102.45,167.02,183.67,133.64,232.05
Net Profit/Share (Rs.),37.01,8.55,27.53,69.60,28.17,33.30,50.12,52.80,53.80,74.53,113.56,98.56,79.40,83.48,34.15,76.95,176.76,131.39,97.55,156.83
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),22.61,9.07,19.60,40.47,22.50,23.45,29.83,24.60,24.09,25.22,29.94,26.11,25.94,24.04,16.38,23.88,30.48,29.49,21.35,28.33
PBIT Margin (%),18.29,3.10,14.04,36.94,17.66,18.61,24.77,19.93,19.62,21.51,26.03,21.21,19.59,16.47,8.11,16.54,23.82,23.24,15.70,22.89
PBT Margin (%),18.26,2.86,13.16,36.10,17.46,18.23,24.67,19.83,18.68,20.78,25.23,20.57,15.47,15.89,7.44,16.00,23.42,22.89,15.43,22.79
