,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),85.01,96.62,94.16,167.54,243.55,179.77,228.20,128.86,128.33,133.62,97.58,57.69,102.13,33.42,29.20,7.84,19.63,13.78,46.47,32.34
Diluted EPS (Rs.),85.01,96.62,94.16,167.54,243.55,179.77,228.20,128.77,128.22,133.51,97.54,57.63,102.04,33.38,29.17,7.84,19.61,13.77,46.40,32.31
Cash EPS (Rs.),114.79,127.66,125.98,202.22,282.08,229.62,266.50,148.09,144.06,150.93,121.49,86.26,150.02,42.97,36.45,19.40,31.95,26.34,60.23,48.92
Book Value [ExclRevalReserve]/Share (Rs.),393.31,471.65,543.01,679.19,887.65,1033.51,778.34,886.99,992.19,1102.84,1179.09,1217.25,1325.17,347.67,681.37,638.07,572.99,652.65,738.50,713.11
Book Value [InclRevalReserve]/Share (Rs.),393.89,472.16,543.48,679.61,888.04,1033.88,778.34,886.99,992.19,1102.84,1179.09,1217.25,1325.17,347.67,681.37,638.07,572.99,652.65,738.50,713.11
Dividend / Share(Rs.),14.00,16.00,20.00,27.50,30.00,30.00,30.00,20.00,22.50,22.50,21.00,18.00,22.50,5.50,6.20,7.00,4.00,9.00,10.00,10.00
Revenue from Operations/Share (Rs.),570.30,680.63,725.01,942.86,1117.27,1186.65,898.57,506.00,541.90,572.57,610.20,689.30,961.93,221.61,240.18,312.51,244.48,188.23,316.83,407.62
PBDIT/Share (Rs.),162.49,183.29,171.67,287.45,375.93,305.29,321.17,198.12,187.75,165.91,135.70,110.27,199.30,56.31,53.88,70.55,40.45,31.58,62.46,63.76
PBIT/Share (Rs.),132.70,152.25,139.85,252.77,337.39,255.44,282.87,178.90,172.02,148.57,111.78,81.69,151.40,46.75,44.33,58.98,28.09,18.99,48.57,47.09
PBT/Share (Rs.),115.92,137.11,129.24,240.57,325.72,239.93,269.74,173.90,168.12,166.58,107.26,74.55,132.48,45.52,38.23,19.95,19.64,14.18,43.77,40.17
Net Profit/Share (Rs.),85.01,96.62,94.16,167.54,243.55,179.77,228.20,128.87,128.34,133.58,97.57,57.68,102.12,33.42,26.91,7.84,19.58,13.75,46.35,32.25
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
