,Jun 04,Jun 05,Jun 06,Jun 07,Jun 08,Jun 09,Jun 10,Jun 11,Jun 12,Jun 13,Jun 14,Jun 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24
Key Financial Ratios of HCL Technologies (in Rs. Cr.),Jun 04,Jun 05,Jun 06,Jun 07,Jun 08,Jun 09,Jun 10,Jun 11,Jun 12,Jun 13,Jun 14,Jun 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24
Per Share Ratios,,,,,,,,,,,,,,,,,,,,,
Basic EPS (Rs.),11.00,10.32,19.74,16.60,11.72,14.88,15.56,17.53,28.23,53.32,85.66,45.17,33.52,48.18,52.54,59.69,33.06,32.22,40.10,42.32,43.11
Diluted EPS (Rs.),11.00,10.32,19.74,16.60,11.72,14.88,15.56,17.18,27.72,52.45,84.51,44.91,33.43,48.13,52.50,59.66,33.05,32.22,40.09,42.27,43.02
Cash EPS (Rs.),13.01,12.43,24.03,19.29,14.98,18.64,19.60,21.63,33.23,59.51,92.50,47.27,35.42,51.59,59.39,69.82,40.22,42.56,49.68,51.16,51.73
Book Value [ExclRevalReserve]/Share (Rs.),77.38,89.60,79.64,51.60,48.22,52.04,72.68,85.06,95.25,146.84,224.94,138.02,152.41,182.27,198.29,224.64,137.37,160.42,156.87,151.40,145.38
Book Value [InclRevalReserve]/Share (Rs.),77.38,89.60,79.64,51.60,48.22,52.04,72.68,85.06,95.25,146.84,224.94,138.02,152.41,182.27,198.29,224.64,137.37,160.42,156.87,151.40,145.38
Dividend / Share(Rs.),10.00,16.00,16.00,8.00,9.00,7.00,4.00,7.50,12.00,12.00,10.00,30.00,16.00,24.00,12.00,8.00,10.00,10.00,42.00,48.00,52.00
Revenue from Operations/Share (Rs.),38.09,45.33,93.77,56.78,69.26,69.75,74.82,98.66,128.48,179.63,235.68,122.00,95.25,135.56,158.80,191.97,120.10,131.39,149.68,170.45,177.23
PBDIT/Share (Rs.),13.55,12.90,24.84,20.60,16.66,21.95,22.46,24.43,40.55,71.31,113.86,57.32,43.28,61.82,72.24,82.83,49.23,56.72,58.90,63.62,66.12
PBIT/Share (Rs.),11.63,10.78,20.55,17.91,13.39,18.19,18.42,20.20,35.45,64.97,106.85,55.19,41.32,58.46,65.81,73.41,42.04,46.36,49.27,54.67,57.39
PBT/Share (Rs.),11.47,10.62,20.21,17.74,13.13,17.81,16.98,18.73,34.05,65.22,105.68,54.75,40.99,58.08,65.65,73.29,41.17,45.71,48.87,54.20,56.93
Net Profit/Share (Rs.),11.00,10.32,19.74,16.60,11.72,14.88,15.56,17.40,28.13,53.16,85.49,45.13,33.46,48.23,52.96,60.41,33.03,32.20,40.05,42.21,43.00
Profitability Ratios,,,,,,,,,,,,,,,,,,,,,
