,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),17.00,22.11,28.49,35.47,42.15,48.84,57.18,67.76,78.65,48.01,56.58,66.80,79.25
Diluted EPS (Rs.),16.81,21.91,28.18,35.21,41.67,48.26,56.43,66.84,77.87,47.66,56.32,66.35,78.89
Cash EPS (Rs.),95.09,24.33,31.01,38.14,43.38,51.43,60.03,70.88,81.59,50.07,58.81,69.54,83.07
Book Value [Excl. Reval Reserve]/Share (Rs.),545.53,127.52,152.20,181.23,247.39,287.47,349.12,409.60,547.89,311.83,369.54,432.95,502.17
Book Value [Incl. Reval Reserve]/Share (Rs.),545.53,127.52,152.20,181.23,247.39,287.47,349.12,409.60,547.89,311.83,369.54,432.95,502.17
Dividend/Share (Rs.),16.50,4.30,5.50,6.85,8.00,9.50,11.00,13.00,15.00,2.50,6.50,15.50,19.00
Operating Revenue / Share (Rs.),428.36,116.28,147.37,171.47,193.38,238.20,270.46,309.20,363.43,209.39,219.23,230.37,289.59
Net Profit/Share (Rs.),84.40,22.02,28.27,35.34,40.76,48.64,56.78,67.38,77.40,47.89,56.44,66.65,79.05
Per Employee Ratios,,,,,,,,,,,,,
Interest Income/ Employee (Rs.),3574438.98,4129540.48,5077082.98,6034700.15,6353708.99,6878127.47,8218909.91,9092195.73,10092906.51,9815479.98,10063719.49,9023451.15,9328234.10
Net Profit/ Employee (Rs.),704261.89,781992.05,973906.44,1243801.97,1339160.38,1404398.73,1725424.39,1981431.60,2149495.24,2244771.35,2591035.71,2610652.37,2546368.33
Business/ Employee (Rs.),66108672.48,66911809.90,77603363.18,98340460.49,107003994.66,115472348.91,142094024.12,163972185.69,177699813.90,183054361.58,205498809.40,206813042.29,201128063.77
Per Branch Ratios,,,,,,,,,,,,,
Interest Income/ Branch (Rs.),100343465.26,107257671.78,114516242.98,120880204.53,120752128.55,133233285.62,146990366.49,167623469.81,193948756.61,211987907.87,215510389.62,201439796.75,206604701.06
Net Profit/ Branches (Rs.),19770397.28,20310891.12,21966965.38,24914416.99,25450719.73,27204011.28,30858199.79,36529618.34,41305438.57,48481009.97,55485957.92,58280282.56,56397777.01
Business/ Branches (Rs.),1855836207.45,1737918534.20,1750384153.49,1969843517.19,2033609052.57,2236765820.58,2541267992.36,3022986693.96,3414740633.16,3953480747.42,4400671989.48,4616900617.16,4454648441.76
Key Performance Ratios,,,,,,,,,,,,,
ROCE (%),3.11,2.97,3.12,3.18,3.11,3.17,3.18,3.20,3.34,3.33,3.42,3.22,2.97
CASA (%),52.69,48.39,47.43,44.81,44.03,43.24,48.03,43.49,42.37,42.23,46.11,48.16,44.38
Net Profit Margin (%),19.70,18.93,19.18,20.61,21.07,20.41,20.99,21.79,21.29,22.86,25.74,28.93,27.29
Operating Profit Margin (%),-2.05,-0.28,-0.36,1.35,2.51,2.56,3.25,2.82,3.48,2.60,4.89,5.83,7.97
Return on Assets (%),1.41,1.52,1.68,1.72,1.73,1.73,1.68,1.64,1.69,1.71,1.78,1.78,1.78
Return on Equity / Networth (%),15.47,17.26,18.57,19.50,16.47,16.91,16.26,16.45,14.12,15.35,15.27,15.39,15.74
Net Interest Margin (X),3.80,3.63,3.94,3.75,3.79,3.89,3.83,3.76,3.87,3.67,3.71,3.48,3.52
Cost to Income (%),45.13,38.03,38.02,36.53,36.84,36.69,37.84,39.62,38.41,38.52,40.37,41.05,38.35
Interest Income/Total Assets (%),7.18,8.07,8.75,8.36,8.20,8.49,8.02,7.54,7.95,7.50,6.91,6.17,6.55
Non-Interest Income/Total Assets (%),1.56,1.55,1.71,1.61,1.52,1.51,1.42,1.43,1.41,1.51,1.44,1.42,1.26
Operating Profit/Total Assets (%),-0.14,-0.02,-0.03,0.11,0.20,0.21,0.26,0.21,0.27,0.19,0.33,0.36,0.52
Operating Expenses/Total Assets (%),2.57,2.54,2.80,2.44,2.36,2.39,2.28,2.13,2.09,2.00,1.87,1.81,1.93
Interest Expenses/Total Assets (%),3.38,4.43,4.80,4.60,4.41,4.60,4.18,3.77,4.07,3.83,3.20,2.69,3.03
Valuation Ratios,,,,,,,,,,,,,
Enterprise Value (Rs. Cr),306879.71,377601.40,463125.72,561083.74,724875.64,840203.70,1049367.58,1298053.53,1624316.38,1692584.96,2196567.47,2429205.81,2871198.57
EV Per Net Sales (X),15.40,13.84,13.21,13.64,14.96,13.95,15.14,16.18,16.41,14.74,18.17,19.01,17.77
Price To Book Value (X),4.29,4.08,4.10,4.13,4.13,3.73,4.13,4.62,4.23,2.76,4.04,3.40,3.21
Price To Sales (X),5.47,4.47,4.23,4.37,5.29,4.50,5.33,6.12,6.37,4.12,6.81,6.38,5.56
Retention Ratios (%),80.44,80.47,80.53,80.61,80.37,80.46,100.00,100.00,80.77,75.09,100.00,100.00,100.00
Earnings Yield (X),0.04,0.04,0.05,0.05,0.04,0.05,0.04,0.04,0.03,0.06,0.04,0.05,0.05
