,Mar 08,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),0.00,-0.50,1.36,2.24,3.64,3.94,4.10,4.47,5.53,6.34,6.42,6.73,5.91,6.38
Diluted EPS (Rs.),0.00,-0.50,1.36,2.24,3.64,3.93,4.10,4.44,5.50,6.32,6.41,6.73,5.90,6.37
Cash EPS (Rs.),0.00,-0.22,1.54,2.44,3.84,4.15,4.33,4.67,5.73,6.55,6.65,6.98,5.96,6.68
Book Value [ExclRevalReserve]/Share (Rs.),0.00,2.13,4.01,6.55,9.67,12.74,15.58,19.21,23.60,28.03,33.66,55.37,73.29,60.41
Book Value [InclRevalReserve]/Share (Rs.),0.00,2.41,4.29,6.82,9.92,12.99,15.83,19.21,23.60,28.03,33.66,55.37,73.29,60.41
Dividend / Share(Rs.),0.00,0.00,0.00,0.00,0.50,0.70,0.90,1.10,1.36,1.63,0.00,2.02,1.70,1.90
Revenue from Operations/Share (Rs.),0.00,55.48,52.32,69.54,86.02,136.41,90.91,153.33,160.29,190.15,145.39,353.53,309.58,326.05
PBDIT/Share (Rs.),0.00,-0.09,2.18,4.04,2.56,5.53,6.53,6.39,6.33,7.40,6.46,8.93,6.58,6.88
PBIT/Share (Rs.),0.00,-0.37,1.99,3.86,2.35,5.32,6.31,6.19,6.11,7.17,6.23,8.68,6.33,6.53
PBT/Share (Rs.),0.00,-0.38,1.97,3.79,2.30,5.39,6.27,6.14,6.06,7.11,6.15,8.59,6.22,6.15
Net Profit/Share (Rs.),0.00,-0.50,1.36,2.26,3.64,3.94,4.10,4.46,5.51,6.33,6.42,6.73,5.72,6.33
Profitability Ratios,,,,,,,,,,,,,,
PBDIT Margin (%),0.00,-0.16,4.16,5.80,2.97,4.05,7.18,4.16,3.95,3.89,4.44,2.52,2.12,2.11
PBIT Margin (%),0.00,-0.66,3.81,5.55,2.73,3.89,6.94,4.03,3.81,3.77,4.28,2.45,2.04,2.00
PBT Margin (%),0.00,-0.69,3.76,5.44,2.67,3.95,6.89,4.00,3.78,3.73,4.22,2.42,2.01,1.88
Net Profit Margin (%),0.00,-0.89,2.59,3.25,4.22,2.88,4.51,2.91,3.43,3.32,4.41,1.90,1.84,1.94
Return on Networth / Equity (%),0.00,-23.27,33.85,34.54,37.60,30.90,26.32,23.24,23.35,22.57,19.06,12.15,7.80,10.47
Return on Capital Employed (%),0.00,-0.27,1.23,1.90,0.92,1.57,1.70,1.35,1.16,1.15,0.98,1.01,0.65,0.58
Return on Assets (%),0.00,-0.35,0.80,1.07,1.38,1.13,1.06,0.93,1.00,0.98,0.98,0.75,0.57,0.54
Total Debt/Equity (X),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.07
Asset Turnover Ratio (%),0.00,0.00,0.34,0.37,0.36,0.45,0.25,0.36,0.31,0.32,0.22,0.46,0.34,0.31
Liquidity Ratios,,,,,,,,,,,,,,
Current Ratio (X),0.00,0.80,0.85,0.76,0.97,0.89,0.74,0.78,3.00,0.79,0.87,0.76,0.84,0.86
Quick Ratio (X),0.00,0.80,0.85,0.76,0.97,0.89,0.74,0.78,3.00,0.79,0.87,0.76,0.84,0.86
Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividend Payout Ratio (NP) (%),0.00,0.00,0.00,0.00,13.75,17.77,21.93,24.63,24.63,25.75,0.00,0.00,33.82,26.41
Dividend Payout Ratio (CP) (%),0.00,0.00,0.00,0.00,13.02,16.86,20.79,23.55,23.68,24.87,0.00,0.00,32.41,25.02
Earnings Retention Ratio (%),0.00,0.00,0.00,0.00,86.25,82.23,78.07,75.37,75.37,74.25,0.00,0.00,66.18,73.59
Cash Earnings Retention Ratio (%),0.00,0.00,0.00,0.00,86.98,83.14,79.21,76.45,76.32,75.13,0.00,0.00,67.59,74.98
Valuation Ratios,,,,,,,,,,,,,,
Enterprise Value (Cr.),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90123.93,75118.06,88470.27,140171.62,113225.17,107143.45
EV/Net Operating Revenue (X),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.79,1.96,3.01,1.96,1.73,1.53
EV/EBITDA (X),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.72,50.34,67.83,77.68,81.43,72.44
MarketCap/Net Operating Revenue (X),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.83,1.99,3.04,1.97,1.74,1.53
Retention Ratios (%),0.00,0.00,0.00,0.00,86.24,82.22,78.06,75.36,75.36,74.24,0.00,0.00,66.17,73.58
Price/BV (X),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.21,13.50,13.12,12.56,7.34,8.27
Price/Net Operating Revenue,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.83,1.99,3.04,1.97,1.74,1.53
Earnings Yield,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.01,0.01
