,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),36.47,40.58,48.64,42.96,48.47,64.18,111.76,100.53,119.09,106.07,105.61,119.46,156.86,169.12,185.14,169.48,181.91,148.39,123.78,145.66
Diluted EPS (Rs.),36.47,40.58,48.64,42.96,48.47,64.18,111.76,96.54,119.09,106.07,105.61,119.46,156.86,169.12,185.13,169.47,181.91,148.37,123.78,145.52
Cash EPS (Rs.),40.18,45.06,54.38,49.96,56.49,73.23,121.35,116.69,174.03,163.24,161.06,146.50,178.96,193.78,212.97,199.59,222.84,182.24,156.29,178.51
Book Value [ExclRevalReserve]/Share (Rs.),57.03,74.78,100.62,123.69,149.54,190.32,173.51,148.03,214.81,250.69,280.41,327.56,397.83,506.32,589.33,643.66,707.70,760.68,789.94,835.88
Book Value [InclRevalReserve]/Share (Rs.),57.03,74.78,100.62,123.69,149.54,190.32,173.51,148.03,214.81,250.69,280.41,327.56,397.83,506.32,589.33,643.66,707.70,760.68,789.94,835.88
Dividend / Share(Rs.),20.00,20.00,20.00,17.00,19.00,20.00,110.00,105.00,45.00,60.00,65.00,60.00,72.00,85.00,95.00,87.00,90.00,105.00,95.00,100.00
Revenue from Operations/Share (Rs.),292.35,371.98,436.62,496.04,518.03,617.19,793.17,971.35,1180.72,1190.19,1265.67,1381.34,1432.11,1427.16,1613.95,1684.63,1443.61,1541.57,1463.74,1691.55
PBDIT/Share (Rs.),57.45,65.53,76.60,69.48,78.75,98.38,151.49,145.33,199.47,184.42,199.62,202.05,242.27,258.25,290.74,281.42,237.11,230.18,196.48,227.74
PBIT/Share (Rs.),53.78,61.05,70.86,62.48,70.72,89.33,141.90,125.18,144.52,127.25,144.17,175.01,220.17,233.58,262.91,251.28,196.16,196.31,163.96,194.87
PBT/Share (Rs.),53.69,60.95,70.72,62.40,70.62,89.21,141.80,120.42,143.45,126.65,143.58,166.69,220.06,233.27,262.60,250.85,228.97,195.21,162.67,193.87
Net Profit/Share (Rs.),36.47,40.58,48.64,42.96,48.47,64.18,111.76,96.54,119.09,106.07,105.61,119.46,156.85,169.11,185.15,169.46,181.89,148.36,123.77,145.64
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),19.65,17.61,17.54,14.00,15.20,15.93,19.09,14.96,16.89,15.49,15.77,14.62,16.91,18.09,18.01,16.70,16.42,14.93,13.42,13.46
PBIT Margin (%),18.39,16.41,16.23,12.59,13.65,14.47,17.89,12.88,12.23,10.69,11.39,12.66,15.37,16.36,16.29,14.91,13.58,12.73,11.20,11.52
PBT Margin (%),18.36,16.38,16.19,12.57,13.63,14.45,17.87,12.39,12.14,10.64,11.34,12.06,15.36,16.34,16.27,14.89,15.86,12.66,11.11,11.46
