,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),90.72,143.29,16.80,24.58,23.33,13.12,10.01,11.17,11.69,8.88,7.09,4.48,0.64,7.56,6.45,5.41,2.79,4.46,24.76,14.96
Diluted EPS (Rs.),90.72,143.29,16.80,24.58,23.33,13.12,10.01,11.16,11.68,8.87,7.09,4.48,0.64,7.55,6.45,5.41,2.79,4.46,24.73,14.94
Cash EPS (Rs.),125.04,193.87,22.10,29.92,28.15,16.90,13.52,14.75,15.29,12.46,10.83,8.53,8.95,13.40,13.70,13.03,10.49,12.17,32.70,23.42
Book Value [ExclRevalReserve]/Share (Rs.),741.58,826.34,97.46,119.03,141.02,139.69,145.83,155.12,164.46,174.59,177.90,180.40,205.77,212.52,221.86,218.34,204.93,225.51,245.17,263.46
Book Value [InclRevalReserve]/Share (Rs.),741.58,826.34,97.46,119.03,141.02,139.69,145.83,155.12,164.46,174.59,177.90,180.40,205.77,212.52,221.86,218.34,204.93,225.51,245.17,263.46
Dividend / Share(Rs.),16.50,20.00,2.20,1.70,1.85,1.35,1.35,1.50,1.55,1.40,1.00,1.00,1.00,1.10,1.20,1.20,1.00,3.00,4.00,3.00
Revenue from Operations/Share (Rs.),671.42,1026.47,115.20,175.54,155.88,106.79,101.67,124.62,138.90,136.08,134.88,167.18,167.26,165.84,192.06,205.72,181.27,192.35,304.74,346.30
PBDIT/Share (Rs.),184.81,273.40,28.13,40.53,30.91,20.96,18.21,18.29,19.43,16.55,17.51,20.82,21.11,26.13,27.24,23.32,19.83,21.36,52.85,36.07
PBIT/Share (Rs.),150.49,223.47,22.88,35.23,26.12,17.17,14.71,14.70,15.83,12.97,13.53,16.76,14.85,19.72,19.99,15.71,12.14,13.67,44.96,27.63
PBT/Share (Rs.),134.35,205.15,20.89,33.50,24.20,15.54,11.60,13.55,14.29,10.69,8.16,6.04,3.19,9.67,10.00,8.14,4.29,7.02,38.09,21.96
Net Profit/Share (Rs.),90.72,143.29,16.80,24.58,23.33,13.12,10.01,11.16,11.68,8.87,6.84,4.48,2.69,6.99,6.44,5.42,2.79,4.47,24.81,14.98
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),27.52,26.63,24.41,23.09,19.83,19.62,17.91,14.67,13.98,12.16,12.98,12.45,12.62,15.75,14.18,11.33,10.94,11.10,17.34,10.41
PBIT Margin (%),22.41,21.77,19.86,20.07,16.75,16.07,14.46,11.79,11.39,9.52,10.02,10.02,8.87,11.88,10.40,7.63,6.69,7.10,14.75,7.97
PBT Margin (%),20.00,19.98,18.13,19.08,15.52,14.55,11.41,10.87,10.29,7.85,6.05,3.61,1.90,5.82,5.20,3.95,2.36,3.65,12.50,6.34
Net Profit Margin (%),13.51,13.95,14.57,14.00,14.96,12.28,9.84,8.95,8.41,6.52,5.07,2.67,1.61,4.21,3.35,2.63,1.54,2.32,8.14,4.32
Return on Networth / Equity (%),12.23,17.33,17.23,20.65,16.54,9.38,6.86,7.19,7.10,5.08,3.84,2.48,1.30,3.28,2.90,2.48,1.36,1.98,10.11,5.68
Return on Capital Employed (%),8.54,10.99,11.99,12.79,11.36,7.14,5.54,5.82,4.90,2.98,2.30,1.47,0.81,6.46,6.38,5.17,4.16,4.40,14.10,8.01
Return on Assets (%),7.29,8.79,8.75,10.25,9.23,6.15,4.57,4.59,4.02,2.55,1.91,1.21,0.68,1.79,1.73,1.47,0.77,1.12,5.55,3.43
Total Debt/Equity (X),0.37,0.50,0.51,0.59,0.48,0.35,0.23,0.30,0.46,0.72,0.72,0.77,0.67,0.48,0.41,0.40,0.51,0.39,0.35,0.21
Asset Turnover Ratio (%),54.00,63.00,60.05,73.22,61.74,50.09,46.45,51.27,47.79,39.11,37.75,45.42,42.60,42.63,51.74,56.13,50.26,0.51,0.72,0.78
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.73,1.48,1.43,1.57,1.35,1.53,1.21,1.62,1.64,2.07,1.74,1.75,1.97,1.52,1.70,1.68,1.58,1.48,1.37,1.72
Quick Ratio (X),1.02,0.70,0.63,0.70,0.47,0.73,0.40,0.84,0.87,1.28,1.04,1.08,1.29,1.02,0.87,0.87,0.85,0.64,0.63,0.73
Inventory Turnover Ratio (X),5.21,4.01,2.77,4.24,3.75,4.46,3.29,3.12,3.44,3.38,3.12,3.91,4.08,3.99,3.99,4.02,3.59,2.42,2.64,2.78
Dividend Payout Ratio (NP) (%),18.18,13.95,13.09,6.91,7.93,10.29,13.48,13.43,13.26,15.77,14.60,22.32,40.49,15.33,18.75,22.35,43.06,22.35,12.11,26.75
Dividend Payout Ratio (CP) (%),13.19,10.31,9.95,5.68,6.57,7.98,9.98,10.16,10.13,11.23,9.23,11.71,12.18,7.99,8.82,9.29,11.46,8.21,9.18,17.11
Earnings Retention Ratio (%),81.82,86.05,86.91,93.09,92.07,89.71,86.52,86.57,86.74,84.23,85.40,77.68,59.51,84.67,81.25,77.65,56.94,77.65,87.89,73.25
Cash Earnings Retention Ratio (%),86.81,89.69,90.05,94.32,93.43,92.02,90.02,89.84,89.87,88.77,90.77,88.29,87.82,92.01,91.18,90.71,88.54,91.79,90.82,82.89
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),13589.05,15401.12,21969.52,20296.65,28387.87,16306.58,40988.62,48752.63,38636.70,40167.37,54462.00,54337.26,46128.14,61739.42,66213.59,63616.90,40998.30,91005.70,139110.20,100484.50
EV/Net Operating Revenue (X),2.19,1.62,1.93,1.11,1.48,0.90,2.11,2.04,1.45,1.54,1.96,1.57,1.35,1.67,1.55,1.39,1.02,2.13,2.06,1.31
EV/EBITDA (X),7.95,6.07,7.93,4.80,7.49,4.58,11.76,13.92,10.38,12.67,15.06,12.64,10.67,10.61,10.90,12.27,9.31,19.19,11.86,12.55
