,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),45.27,56.11,72.20,84.99,19.32,16.75,15.31,10.56,5.23,12.28,24.01,33.66,45.79
Diluted EPS (Rs.),45.06,55.95,71.93,84.65,19.13,16.65,15.25,10.46,5.17,12.08,23.67,32.98,44.89
Cash EPS (Rs.),49.61,60.63,76.42,89.92,20.41,17.92,18.12,11.76,6.42,13.72,24.96,35.27,47.57
Book Value [Excl. Reval Reserve]/Share (Rs.),478.29,524.00,578.22,633.86,138.71,149.45,166.35,158.90,163.36,175.15,208.78,240.75,283.01
Book Value [Incl. Reval Reserve]/Share (Rs.),478.29,524.00,578.22,633.86,138.71,154.30,171.57,163.57,168.08,179.96,213.25,245.35,287.40
Dividend/Share (Rs.),14.00,16.50,20.00,23.00,5.00,5.00,2.50,1.50,1.00,0.00,2.00,5.00,8.00
Operating Revenue / Share (Rs.),225.50,290.97,347.39,382.48,84.66,90.68,92.96,85.50,98.34,115.54,114.38,124.28,156.41
Net Profit/Share (Rs.),44.72,56.08,72.17,84.94,19.27,16.72,16.82,10.54,5.22,12.25,23.41,33.58,45.67
Per Employee Ratios,,,,,,,,,,,,,
Interest Income/ Employee (Rs.),4559331.00,5755826.10,6457036.48,6116655.05,7401381.02,7307161.04,6537376.34,6644491.59,7307399.77,7531118.58,8011976.81,8160551.87,8623980.58
Net Profit/ Employee (Rs.),904241.99,1109420.21,1341411.86,1358302.69,1684887.74,1347597.82,1183120.75,819281.33,387642.38,798519.16,1639765.48,2205083.96,2518276.98
Business/ Employee (Rs.),77580440.08,87382046.47,93911715.27,92849708.72,112938140.26,118696176.03,115193098.71,129753214.80,142868072.08,142596981.88,168734303.89,181738412.40,173731170.26
Per Branch Ratios,,,,,,,,,,,,,
Interest Income/ Branch (Rs.),102704835.11,121884637.35,129276119.03,117714236.08,121212691.11,118515583.82,111662431.55,112935878.78,130080411.57,140492705.86,150243583.36,159421456.63,185137861.02
Net Profit/ Branches (Rs.),20369221.83,23492940.41,26856363.55,26140359.71,27593468.89,21856825.39,20208434.23,13925257.65,6900495.69,14896341.85,30749495.06,43077686.78,54061857.97
Business/ Branches (Rs.),1747599877.82,1850391039.24,1880203421.94,1786880645.35,1849592105.93,1925145282.02,1967569379.38,2205404754.67,2543221694.30,2660140804.47,3164168725.60,3550372927.65,3729625427.97
Key Performance Ratios,,,,,,,,,,,,,
ROCE (%),2.31,2.27,2.61,2.96,3.20,3.47,3.59,2.91,2.52,2.67,3.10,2.92,3.27
CASA (%),45.05,43.45,41.89,42.89,45.46,45.82,50.36,51.68,49.61,45.11,46.28,48.69,45.83
Net Profit Margin (%),19.83,19.27,20.77,22.20,22.76,18.44,18.09,12.33,5.30,10.60,20.46,27.02,29.20
Operating Profit Margin (%),-5.76,-3.09,-0.05,-1.39,-2.03,-10.61,-17.91,-19.36,-17.58,-11.38,-3.50,5.58,11.04
Return on Assets (%),1.26,1.36,1.55,1.64,1.72,1.34,1.26,0.77,0.34,0.72,1.31,1.65,2.01
Return on Equity / Networth (%),9.35,10.70,12.48,13.39,13.89,11.19,10.11,6.63,3.19,6.99,11.21,13.94,16.13
Net Interest Margin (X),2.21,2.26,2.58,2.77,2.94,2.94,2.81,2.61,2.80,3.02,3.16,3.36,3.92
Cost to Income (%),32.22,28.67,28.67,31.30,32.70,39.40,42.68,46.51,48.98,45.79,42.57,40.65,38.79
Interest Income/Total Assets (%),6.39,7.08,7.46,7.42,7.59,7.31,7.01,6.25,6.57,6.80,6.43,6.12,6.89
Non-Interest Income/Total Assets (%),1.63,1.58,1.55,1.75,1.88,2.12,2.52,1.98,1.50,1.49,1.54,1.31,1.25
Operating Profit/Total Assets (%),-0.36,-0.21,0.00,-0.10,-0.15,-0.77,-1.25,-1.21,-1.15,-0.77,-0.22,0.34,0.76
Operating Expenses/Total Assets (%),1.62,1.65,1.67,1.73,1.77,1.75,1.91,1.78,1.87,1.96,1.75,1.89,2.07
Interest Expenses/Total Assets (%),4.17,4.81,4.88,4.65,4.65,4.37,4.20,3.63,3.77,3.78,3.26,2.75,2.97
Valuation Ratios,,,,,,,,,,,,,
Enterprise Value (Rs. Cr),442418.19,477482.94,539497.75,608705.91,691147.70,706700.41,767318.40,889716.20,1037532.15,1108657.40,1380175.57,1619193.56,1844265.53
EV Per Net Sales (X),17.03,14.24,13.46,13.78,14.08,13.40,14.17,16.19,16.36,14.82,17.44,18.75,16.88
Price To Book Value (X),2.33,1.69,1.81,1.96,2.27,1.58,1.67,1.75,2.44,1.85,2.78,3.03,3.10
Price To Sales (X),4.93,3.05,3.01,3.26,3.72,2.61,2.98,3.26,4.06,2.81,5.08,5.88,5.61
Retention Ratios (%),68.69,70.58,72.28,72.92,74.06,70.10,99.99,78.49,71.30,100.00,100.00,94.06,89.09
Earnings Yield (X),0.04,0.06,0.07,0.07,0.06,0.07,0.06,0.04,0.01,0.04,0.04,0.05,0.05
