,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),13.16,17.20,21.83,26.85,33.99,39.68,48.06,60.19,54.90,63.75,38.75,59.57,95.32
Diluted EPS (Rs.),12.88,16.86,21.40,26.41,33.41,39.26,47.56,59.57,54.46,63.52,38.68,59.47,95.20
Cash EPS (Rs.),13.69,18.76,21.70,28.65,36.27,41.06,51.13,63.60,58.57,67.71,40.62,63.67,100.05
Book Value [Excl. Reval Reserve]/Share (Rs.),82.08,96.69,141.86,164.48,193.66,291.02,338.90,391.18,437.38,495.82,556.68,611.74,700.09
Book Value [Incl. Reval Reserve]/Share (Rs.),86.92,101.38,145.93,172.04,201.05,297.42,345.17,397.21,442.78,500.43,560.73,615.72,703.98
Dividend/Share (Rs.),2.00,2.20,3.00,3.50,4.00,4.50,6.00,7.50,7.50,0.00,5.00,8.50,14.00
Operating Revenue / Share (Rs.),77.03,114.59,133.56,157.02,183.06,194.64,240.84,287.91,369.37,415.02,374.98,397.88,468.72
Net Profit/Share (Rs.),12.39,17.16,20.30,26.79,33.88,38.43,47.95,60.08,54.77,63.70,36.68,59.52,95.24
Per Employee Ratios,,,,,,,,,,,,,
Interest Income/ Employee (Rs.),5121799.94,5719522.52,6071320.03,5294120.85,5068753.67,5021968.30,5690791.78,6834657.77,8025217.38,9383461.53,9777079.90,9178262.85,9525632.63
Net Profit/ Employee (Rs.),823808.93,856576.20,922607.20,903157.15,938086.55,991522.16,1132927.51,1426193.44,1190056.56,1440279.32,956269.85,1373093.71,1935543.47
Business/ Employee (Rs.),86374169.95,82631271.08,85582789.95,74152739.70,74746385.23,78672891.59,94672011.69,117304553.04,137445981.58,133279969.94,158052784.90,158636437.20,164059252.31
Per Branch Ratios,,,,,,,,,,,,,
Interest Income/ Branch (Rs.),119645246.67,133979815.00,139664646.00,137101900.33,120998300.87,115806589.00,120047252.50,123433919.29,133700603.60,150616587.65,143919586.60,136081422.96,139554538.76
Net Profit/ Branches (Rs.),19244176.67,20065297.50,21223656.00,23389069.77,22393449.44,22864501.00,23899105.83,25757053.57,19826413.81,23118329.67,14076387.10,20358160.26,28356528.78
Business/ Branches (Rs.),2017700610.00,1935637525.00,1968746500.00,1920334239.20,1784301662.92,1814196880.00,1997106086.67,2118520227.86,2289858308.11,2139314389.32,2326552681.39,2352021560.26,2403537296.24
Key Performance Ratios,,,,,,,,,,,,,
ROCE (%),2.46,2.46,2.58,3.07,2.93,3.11,3.21,3.11,3.00,3.62,3.34,3.30,3.26
CASA (%),27.15,27.29,29.32,32.54,34.12,35.18,36.85,44.00,43.14,40.37,41.81,42.78,40.14
Net Profit Margin (%),16.08,14.97,15.19,17.05,18.50,19.74,19.90,20.86,14.82,15.34,9.78,14.96,20.31
Operating Profit Margin (%),-3.79,-3.90,-4.32,-5.84,-6.29,-8.72,-9.04,-6.62,-10.53,-8.80,-12.83,-9.03,-2.13
Return on Assets (%),1.26,1.39,1.44,1.61,1.64,1.63,1.60,1.62,1.18,1.43,0.78,1.14,1.61
Return on Equity / Networth (%),15.09,17.74,14.30,16.28,17.49,13.20,14.14,15.35,12.52,12.84,6.58,9.73,13.60
Net Interest Margin (X),3.01,2.95,3.04,3.32,3.13,3.22,3.39,3.38,3.18,3.92,3.72,3.73,3.84
Cost to Income (%),35.15,30.03,30.36,33.25,33.32,37.15,39.65,39.22,40.10,40.83,48.51,46.53,41.24
Interest Income/Total Assets (%),7.86,9.30,9.52,9.48,8.88,8.26,8.06,7.79,8.01,9.37,7.98,7.66,7.94
Non-Interest Income/Total Assets (%),1.56,1.75,1.85,2.17,2.20,2.35,2.33,2.14,2.03,2.26,1.80,1.84,1.78
Operating Profit/Total Assets (%),-0.29,-0.36,-0.41,-0.55,-0.55,-0.72,-0.72,-0.51,-0.84,-0.82,-1.02,-0.69,-0.16
Operating Expenses/Total Assets (%),2.20,2.33,2.39,2.51,2.49,2.62,2.67,2.52,2.30,2.68,2.30,2.37,2.49
Interest Expenses/Total Assets (%),4.84,6.34,6.48,6.16,5.74,5.04,4.67,4.41,4.82,5.44,4.26,3.93,4.10
Valuation Ratios,,,,,,,,,,,,,
Enterprise Value (Rs. Cr),49722.28,63143.87,81500.04,97195.33,137441.26,168206.04,225583.24,286741.92,339632.69,273471.61,363436.81,397802.16,425365.35
EV Per Net Sales (X),13.85,11.78,11.67,11.78,14.18,14.52,15.66,16.59,15.26,9.50,12.53,12.91,11.70
Price To Book Value (X),3.21,3.32,2.85,3.05,4.56,3.32,4.16,4.59,4.07,0.71,1.71,1.53,1.53
Price To Sales (X),3.42,2.80,3.03,3.19,4.82,4.97,5.85,6.24,4.82,0.85,2.54,2.35,2.28
Retention Ratios (%),83.85,87.18,85.19,86.92,88.18,87.20,99.98,88.01,86.30,100.00,100.00,91.60,91.08
Earnings Yield (X),0.05,0.05,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.18,0.04,0.06,0.09
