,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24
Key Financial Ratios of Infosys (in Rs. Cr.),Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24
Per Share Ratios,,,,,,,,,,,,,,,,,,,,,
Basic EPS (Rs.),186.60,70.21,87.72,66.05,78.15,101.71,101.10,112.26,147.51,158.76,178.39,105.91,55.26,60.16,71.28,33.66,36.34,42.37,50.27,55.48,65.62
Diluted EPS (Rs.),186.60,70.21,87.72,66.05,78.15,101.71,101.10,122.22,147.50,158.76,178.39,105.91,55.26,60.15,71.25,33.64,36.32,42.33,50.21,55.42,65.56
Cash EPS (Rs.),221.24,80.12,102.54,74.25,87.69,113.85,115.16,125.14,161.39,175.47,197.47,113.91,60.14,65.98,80.42,37.42,41.54,47.81,56.26,62.73,72.72
Book Value [ExclRevalReserve]/Share (Rs.),488.21,193.72,249.89,195.14,235.84,311.35,383.90,426.85,518.41,628.21,735.87,418.71,266.04,296.24,290.76,143.96,146.16,167.91,164.78,163.32,195.60
Book Value [InclRevalReserve]/Share (Rs.),488.21,193.72,249.89,195.14,235.84,311.35,383.90,426.85,518.41,628.21,735.87,418.71,266.04,296.24,290.76,143.96,146.16,167.91,164.78,163.32,195.60
Dividend / Share(Rs.),129.50,11.50,45.00,11.50,33.25,23.50,25.00,60.00,47.00,42.00,63.00,59.50,24.25,25.75,43.50,21.50,17.50,27.00,31.00,34.00,46.00
Revenue from Operations/Share (Rs.),714.42,253.52,327.10,229.88,273.57,354.27,368.29,442.25,544.49,640.51,775.19,412.02,235.12,258.23,283.61,167.83,185.64,201.67,247.12,298.97,310.68
PBDIT/Share (Rs.),255.31,90.65,113.51,80.49,98.71,129.51,145.07,166.57,207.14,230.49,264.04,150.69,81.51,88.28,97.60,49.42,53.39,63.20,73.83,83.30,94.40
PBIT/Share (Rs.),220.66,80.73,98.70,72.29,89.16,117.38,131.01,153.68,193.31,213.83,244.79,142.74,76.66,82.48,91.15,45.75,48.36,57.75,68.05,76.66,87.30
PBT/Share (Rs.),220.66,80.73,98.70,72.29,89.16,117.38,131.01,153.68,201.74,215.28,244.79,146.32,76.66,82.48,91.15,45.75,48.09,57.46,67.75,76.28,86.63
Net Profit/Share (Rs.),186.60,70.21,87.72,66.05,78.15,101.71,101.10,112.25,147.56,158.82,178.22,105.96,55.28,60.18,73.97,33.75,36.50,42.37,50.49,56.09,65.62
Profitability Ratios,,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),35.73,35.75,34.70,35.01,36.08,36.55,39.38,37.66,38.04,35.98,34.06,36.57,34.66,34.18,34.41,29.44,28.76,31.33,29.87,27.86,30.38
PBIT Margin (%),30.88,31.84,30.17,31.44,32.59,33.13,35.57,34.74,35.50,33.38,31.57,34.64,32.60,31.94,32.14,27.25,26.04,28.63,27.53,25.64,28.09
PBT Margin (%),30.88,31.84,30.17,31.44,32.59,33.13,35.57,34.74,37.05,33.61,31.57,35.51,32.60,31.94,32.14,27.25,25.90,28.49,27.41,25.51,27.88
