,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),64.31,88.28,5.95,7.18,8.28,8.66,10.64,6.45,7.93,9.45,11.09,12.05,12.26,8.43,9.22,10.19,12.33,10.59,12.22,15.15
Diluted EPS (Rs.),64.31,88.28,5.95,7.18,8.28,8.66,10.64,6.45,7.84,9.33,10.96,11.93,12.20,8.38,9.16,10.13,12.31,10.59,12.22,15.11
Cash EPS (Rs.),74.07,100.89,6.84,8.14,9.44,10.11,12.23,7.29,8.78,10.40,12.18,13.19,13.52,9.25,10.13,11.24,13.59,11.86,13.56,16.43
Book Value [ExclRevalReserve]/Share (Rs.),256.35,315.63,23.97,27.59,31.85,36.24,36.69,20.55,23.97,28.14,32.95,38.28,40.85,37.33,42.12,47.27,52.09,47.94,49.82,54.39
Book Value [InclRevalReserve]/Share (Rs.),258.80,318.04,24.13,27.74,32.00,36.39,36.84,20.62,24.04,28.21,33.02,38.35,40.92,37.33,42.12,47.27,52.09,47.94,49.82,54.39
Dividend / Share(Rs.),20.00,31.00,2.65,3.10,3.50,3.70,10.00,4.45,4.50,5.25,6.00,6.25,8.50,4.75,5.15,5.75,10.15,10.75,11.50,15.50
Revenue from Operations/Share (Rs.),258.89,306.41,26.09,32.73,37.23,39.70,48.63,27.73,32.20,37.84,41.79,45.55,45.78,33.00,33.29,36.71,37.11,36.95,45.72,53.14
PBDIT/Share (Rs.),104.19,119.99,9.61,11.36,13.11,14.12,17.44,10.33,12.37,14.64,17.05,18.73,19.93,13.64,14.48,16.14,17.02,15.25,17.47,21.23
PBIT/Share (Rs.),94.44,107.38,8.73,10.39,11.94,12.66,15.85,9.48,11.48,13.63,15.92,17.53,18.65,12.78,13.54,15.07,15.75,13.98,16.13,19.89
PBT/Share (Rs.),93.26,105.46,8.69,10.37,11.90,12.59,15.66,9.39,11.38,13.52,15.92,17.46,18.59,12.76,13.81,15.05,15.59,13.94,16.09,19.92
Net Profit/Share (Rs.),64.31,88.28,5.95,7.18,8.28,8.66,10.64,6.45,7.88,9.39,11.05,11.99,12.23,8.40,9.20,10.17,12.31,10.59,12.22,15.09
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),40.24,39.15,36.84,34.69,35.20,35.56,35.86,37.24,38.42,38.68,40.80,41.13,43.54,41.31,43.49,43.98,45.85,41.27,38.20,39.94
PBIT Margin (%),36.47,35.04,33.45,31.75,32.07,31.89,32.59,34.18,35.65,36.02,38.09,38.49,40.73,38.72,40.67,41.06,42.42,37.84,35.26,37.42
PBT Margin (%),36.02,34.41,33.28,31.68,31.95,31.70,32.19,33.87,35.34,35.73,38.08,38.34,40.60,38.67,41.47,40.99,42.01,37.73,35.19,37.47
Net Profit Margin (%),24.84,28.81,22.81,21.92,22.23,21.80,21.87,23.24,24.47,24.80,26.43,26.31,26.72,25.44,27.62,27.70,33.17,28.65,26.72,28.39
Return on Networth / Equity (%),25.08,27.97,24.83,26.01,25.99,23.88,28.99,31.36,32.88,33.36,33.51,31.31,29.94,22.49,21.83,21.50,23.63,22.08,24.52,27.74
Return on Capital Employed (%),22.46,25.64,23.03,23.91,23.97,21.77,26.55,29.41,31.02,31.31,31.68,29.54,28.18,32.76,30.87,30.70,29.26,28.02,31.23,35.39
Return on Assets (%),14.91,18.65,16.79,17.73,17.79,16.52,17.40,19.61,21.27,21.80,22.39,21.73,19.88,18.81,17.99,17.85,20.11,18.20,20.05,22.79
Total Debt/Equity (X),0.02,0.03,0.01,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
