,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),3.91,44.74,39.28,57.42,69.66,18.48,81.54,97.17,71.42,79.28,53.86,88.24,-146.02,14.89,19.24,33.77,22.03,34.92,69.48,20.56
Diluted EPS (Rs.),3.91,44.74,39.28,57.42,69.66,18.48,81.54,96.33,71.42,79.28,53.86,88.24,-146.02,14.80,19.14,33.60,21.89,34.72,69.10,20.42
Cash EPS (Rs.),6.70,66.84,60.73,84.41,97.36,51.84,126.82,119.28,117.33,132.86,134.12,163.53,-22.68,21.93,25.43,38.35,29.28,40.31,70.48,32.85
Book Value [ExclRevalReserve]/Share (Rs.),9.02,151.01,187.00,235.25,297.82,309.19,380.01,596.38,641.16,691.83,776.87,824.45,678.31,80.06,92.41,115.92,127.45,155.55,210.97,211.49
Book Value [InclRevalReserve]/Share (Rs.),9.02,151.01,187.00,235.25,297.82,309.19,380.01,596.38,641.16,691.83,776.87,824.45,678.31,80.06,92.41,115.92,127.45,155.55,210.97,211.49
Dividend / Share(Rs.),0.00,8.00,8.00,12.50,14.00,1.00,9.50,12.25,7.50,10.00,11.00,11.00,7.50,2.25,3.20,4.10,2.00,6.50,17.35,3.40
Revenue from Operations/Share (Rs.),24.27,351.14,279.43,381.98,459.17,564.60,732.32,822.35,1130.48,1249.05,1496.21,1522.29,1219.90,173.72,215.15,256.44,213.50,234.20,394.75,437.50
PBDIT/Share (Rs.),7.31,119.65,90.19,124.23,146.62,86.93,189.08,176.36,204.47,231.21,301.03,308.45,222.24,39.20,46.21,62.85,43.67,65.99,112.28,56.29
PBIT/Share (Rs.),4.99,100.74,71.58,102.09,118.92,53.57,143.80,127.84,144.36,161.74,210.99,216.48,127.61,29.15,36.09,51.48,31.97,53.47,97.30,39.84
PBT/Share (Rs.),2.11,77.17,55.98,85.12,100.13,23.71,109.81,97.78,73.71,88.13,64.59,107.31,-174.12,17.05,23.43,38.89,14.26,40.38,82.11,23.15
Net Profit/Share (Rs.),3.91,44.74,39.28,57.42,69.66,18.48,81.54,70.76,57.22,63.39,44.08,71.56,-117.30,11.88,15.31,26.98,17.58,27.79,55.49,16.40
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),30.11,34.07,32.27,32.52,31.93,15.39,25.81,21.44,18.08,18.51,20.11,20.26,18.21,22.56,21.47,24.50,20.45,28.17,28.44,12.86
PBIT Margin (%),20.57,28.68,25.61,26.72,25.89,9.48,19.63,15.54,12.76,12.94,14.10,14.22,10.46,16.77,16.77,20.07,14.97,22.83,24.64,9.10
