,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),11.35,14.69,18.31,19.62,24.20,11.42,18.57,21.54,25.52,30.88,35.17,43.02,54.89
Diluted EPS (Rs.),11.28,14.61,18.24,19.59,24.14,11.40,18.55,21.51,25.48,30.84,35.14,43.01,54.89
Cash EPS (Rs.),12.44,16.23,20.00,21.65,26.66,12.96,20.11,23.02,27.41,33.03,36.99,45.11,57.39
Book Value [Excl. Reval Reserve]/Share (Rs.),92.74,107.75,126.77,159.46,183.13,130.63,150.02,196.70,222.14,253.62,319.04,362.72,417.91
Book Value [Incl. Reval Reserve]/Share (Rs.),92.74,107.75,126.77,159.46,183.13,130.63,150.02,196.70,222.14,253.62,319.04,362.72,417.91
Dividend/Share (Rs.),0.50,0.60,0.70,0.80,0.90,0.50,0.60,0.70,0.80,0.00,0.90,1.10,1.50
Operating Revenue / Share (Rs.),56.86,83.44,107.72,113.81,125.85,89.32,96.14,103.63,125.44,140.77,135.43,136.24,172.41
Net Profit/Share (Rs.),11.10,14.65,18.23,19.51,24.16,11.39,18.53,21.43,25.49,31.09,35.14,43.19,55.07
Per Employee Ratios,,,,,,,,,,,,,
Interest Income/ Employee (Rs.),3808865.45,5150196.83,5957399.70,5479447.13,5399926.11,5216231.71,4022484.75,3949699.12,5734487.96,5382262.90,5191541.14,4096790.82,4661184.65
Net Profit/ Employee (Rs.),743801.91,904210.83,1007938.67,939074.38,1036654.78,665322.83,775340.41,816860.68,1165265.18,1188628.09,1347163.75,1298892.45,1488724.31
Business/ Employee (Rs.),53263886.64,64679794.00,73702036.37,70062476.19,78345011.89,81919235.15,66706361.07,72472239.16,103363871.51,96448156.57,97444616.50,88323896.24,92943381.28
Per Branch Ratios,,,,,,,,,,,,,
Interest Income/ Branch (Rs.),130521869.16,174091160.56,184038663.62,144910998.35,142103318.71,122912106.53,129283658.88,142280227.67,159621384.00,168310088.75,167333339.78,159051878.82,192420510.67
Net Profit/ Branches (Rs.),25488538.94,30564873.24,31137693.36,24835024.79,27280388.89,15677261.82,24919633.31,29425817.00,32435544.67,37169886.25,43421674.56,50427589.41,61456714.04
Business/ Branches (Rs.),1825242221.18,2186359233.80,2276836363.84,1852891932.23,2061710839.18,1930294955.74,2143959011.69,2610671439.48,2877167818.00,3016054416.25,3140827102.87,3429045383.53,3836838539.33
Key Performance Ratios,,,,,,,,,,,,,
ROCE (%),2.77,2.62,2.66,3.05,2.96,2.20,2.90,2.80,2.77,2.86,3.32,2.93,3.15
CASA (%),30.04,32.18,29.23,31.87,36.35,38.06,43.99,50.75,52.49,56.16,60.44,60.68,52.82
Net Profit Margin (%),19.52,17.55,16.91,17.13,19.19,12.75,19.27,20.68,20.32,22.08,25.94,31.70,31.93
Operating Profit Margin (%),0.89,1.74,2.48,1.17,-1.67,-3.18,-0.37,0.16,1.09,2.13,5.60,8.20,11.25
Return on Assets (%),1.60,1.65,1.62,1.71,1.76,1.08,1.58,1.54,1.55,1.65,1.81,1.99,2.23
Return on Equity / Networth (%),11.97,13.59,14.37,12.23,13.19,8.72,12.35,10.89,11.47,12.25,11.01,11.90,13.17
Net Interest Margin (X),4.12,3.82,3.83,4.24,3.98,3.58,3.78,3.59,3.60,3.74,4.00,3.91,4.39
Cost to Income (%),41.44,33.59,32.65,35.57,37.33,39.07,38.68,39.91,38.52,40.01,41.27,47.99,48.14
Interest Income/Total Assets (%),8.23,9.41,9.60,10.00,9.16,8.52,8.24,7.45,7.66,7.47,6.99,6.29,6.99
Non-Interest Income/Total Assets (%),1.53,1.48,1.38,1.59,1.91,1.35,1.62,1.52,1.47,1.49,1.42,1.47,1.44
Operating Profit/Total Assets (%),0.07,0.16,0.23,0.11,-0.15,-0.27,-0.03,0.01,0.08,0.15,0.39,0.51,0.78
Operating Expenses/Total Assets (%),3.05,2.79,2.64,2.90,3.07,2.84,2.61,2.42,2.40,2.45,2.23,2.58,2.81
Interest Expenses/Total Assets (%),4.11,5.58,5.77,5.76,5.18,4.93,4.46,3.85,4.06,3.72,2.99,2.38,2.59
Valuation Ratios,,,,,,,,,,,,,
Enterprise Value (Rs. Cr),72541.17,93294.25,117865.60,128949.87,184503.21,277636.35,331573.61,408715.23,502713.05,539805.51,639371.05,670373.62,711416.35
EV Per Net Sales (X),17.31,15.10,14.66,14.71,18.98,16.95,18.73,20.70,21.00,20.05,23.82,24.79,20.77
Price To Book Value (X),4.93,5.03,5.14,4.88,7.17,5.21,5.81,5.33,6.01,5.11,5.50,4.84,4.15
Price To Sales (X),8.03,6.50,6.05,6.84,10.43,7.62,9.07,10.12,10.65,9.21,12.95,12.88,10.05
Retention Ratios (%),95.49,95.89,96.15,95.80,95.60,95.60,99.99,97.20,96.70,100.00,100.00,100.00,97.63
Earnings Yield (X),0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03
