,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),215.00,75.74,73.34,49.22,74.32,59.44,72.62,65.33,72.92,79.99,59.36,54.46,57.07,39.00,38.46,53.43,47.59,80.74,56.09,55.85
Diluted EPS (Rs.),215.00,75.74,73.34,49.22,74.32,59.44,72.62,64.35,72.23,79.33,59.00,54.10,56.80,38.86,38.37,53.34,47.53,80.65,56.03,55.81
Cash EPS (Rs.),248.98,82.48,81.14,54.87,81.55,64.66,79.50,74.85,84.19,93.10,67.81,65.24,67.74,71.48,45.93,60.53,54.85,88.02,64.42,65.60
Book Value [ExclRevalReserve]/Share (Rs.),1102.26,256.98,335.57,202.67,325.95,212.31,303.28,358.45,411.53,473.23,362.96,398.78,436.96,491.55,349.79,356.79,371.65,430.13,477.66,508.91
Book Value [InclRevalReserve]/Share (Rs.),1115.37,259.36,337.71,203.65,326.84,212.73,303.66,358.81,411.87,473.56,363.17,398.95,437.13,491.55,349.79,356.79,371.65,430.13,477.66,508.91
Dividend / Share(Rs.),80.00,27.50,22.00,13.00,17.00,10.50,12.50,14.50,16.50,18.50,14.25,16.25,18.25,21.00,16.00,18.00,18.00,36.00,22.00,24.00
Revenue from Operations/Share (Rs.),3876.74,1015.37,1075.47,622.96,853.30,578.05,612.26,721.13,868.23,989.17,610.63,613.39,641.76,704.47,531.36,586.62,586.82,521.99,718.84,786.20
PBDIT/Share (Rs.),362.97,110.13,112.34,79.59,118.39,77.53,112.06,111.47,124.44,134.19,92.22,94.36,92.07,89.99,66.46,73.89,68.71,76.19,90.16,94.84
PBIT/Share (Rs.),329.00,103.39,104.55,73.94,111.69,72.67,105.69,101.63,113.02,120.89,83.67,83.51,81.35,76.97,58.97,66.76,61.44,68.89,81.82,85.08
PBT/Share (Rs.),291.98,96.92,95.05,70.66,107.49,66.69,97.30,95.76,103.04,107.78,78.41,72.09,71.81,72.44,51.82,65.72,49.76,31.60,71.23,69.96
Net Profit/Share (Rs.),215.00,75.74,73.34,49.22,74.32,59.44,72.62,65.01,72.77,79.80,59.26,54.39,57.02,58.46,38.44,53.41,47.58,80.72,56.08,55.84
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),9.36,10.84,10.44,12.77,13.87,13.41,18.30,15.45,14.33,13.56,15.10,15.38,14.34,12.77,12.50,12.59,11.70,14.59,12.54,12.06
PBIT Margin (%),8.48,10.18,9.72,11.86,13.08,12.57,17.26,14.09,13.01,12.22,13.70,13.61,12.67,10.92,11.09,11.38,10.46,13.19,11.38,10.82
PBT Margin (%),7.53,9.54,8.83,11.34,12.59,11.53,15.89,13.27,11.86,10.89,12.84,11.75,11.18,10.28,9.75,11.20,8.47,6.05,9.90,8.89
Net Profit Margin (%),5.54,7.45,6.81,7.90,8.70,10.28,11.86,9.01,8.38,8.06,9.70,8.86,8.88,8.29,7.23,9.10,8.10,15.46,7.80,7.10
Return on Networth / Equity (%),19.50,29.47,21.85,24.28,22.79,27.99,23.94,18.13,17.68,16.86,16.32,13.63,13.04,11.89,10.99,14.96,12.80,18.76,11.74,10.97
Return on Capital Employed (%),13.88,20.16,16.77,18.87,17.42,18.96,17.65,14.23,14.22,13.11,13.75,10.89,10.66,13.36,14.95,17.21,14.33,12.55,14.20,14.63
