,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),125.87,173.64,280.08,239.68,57.23,55.11,67.74,85.31,89.31,102.51,129.14,143.93
Diluted EPS (Rs.),120.44,166.15,268.00,229.53,57.10,53.89,66.23,84.11,88.45,101.85,128.77,143.70
Cash EPS (Rs.),143.41,192.94,301.26,268.01,61.33,61.20,72.76,89.84,101.20,117.49,145.66,165.39
Book Value [ExclRevalReserve]/Share (Rs.),318.68,382.32,455.32,597.04,109.72,174.09,216.20,270.89,300.51,396.67,480.17,540.51
Book Value [InclRevalReserve]/Share (Rs.),318.68,382.32,455.32,597.04,109.72,174.09,216.20,270.89,300.51,396.67,480.17,540.51
Dividend / Share(Rs.),79.00,94.00,171.00,149.00,35.25,16.55,21.50,28.00,28.00,40.00,55.00,60.00
Revenue from Operations/Share (Rs.),917.69,1120.44,1439.98,1471.13,327.97,361.57,401.53,511.91,585.30,660.92,823.22,1080.25
PBDIT/Share (Rs.),194.88,254.67,305.15,323.62,74.61,75.81,91.48,117.94,131.46,156.11,192.38,215.24
PBIT/Share (Rs.),177.33,235.37,283.98,295.49,68.52,69.44,86.17,112.87,119.48,140.82,175.91,193.65
PBT/Share (Rs.),166.23,229.24,274.75,292.26,67.91,69.25,85.37,112.63,115.34,136.71,172.02,188.78
Net Profit/Share (Rs.),125.87,173.64,280.08,239.88,55.24,54.83,67.45,84.78,89.22,102.19,129.19,143.79
Profitability Ratios,,,,,,,,,,,,
PBDIT Margin (%),21.23,22.72,21.19,21.99,22.74,20.96,22.78,23.03,22.46,23.61,23.36,19.92
PBIT Margin (%),19.32,21.00,19.72,20.08,20.89,19.20,21.46,22.04,20.41,21.30,21.36,17.92
PBT Margin (%),18.11,20.45,19.07,19.86,20.70,19.15,21.26,22.00,19.70,20.68,20.89,17.47
Net Profit Margin (%),13.71,15.49,19.45,16.30,16.84,15.16,16.79,16.56,15.24,15.46,15.69,13.31
Return on Networth / Equity (%),39.49,45.41,61.51,40.17,50.34,31.49,31.19,31.29,29.68,25.76,26.90,26.60
Return on Capital Employed (%),31.70,39.87,56.48,38.46,55.49,31.19,30.79,41.38,33.35,32.13,33.88,33.03
Return on Assets (%),20.48,25.57,36.04,26.61,28.97,22.25,22.96,23.69,18.66,17.90,19.31,18.95
Total Debt/Equity (X),0.24,0.17,0.07,0.11,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Asset Turnover Ratio (%),149.36,165.04,185.32,163.21,172.00,146.76,136.71,143.05,122.45,1.26,1.33,1.87
Liquidity Ratios,,,,,,,,,,,,
Current Ratio (X),1.66,1.60,1.76,2.13,1.89,2.55,3.10,3.27,2.87,3.27,3.19,3.23
Quick Ratio (X),1.66,1.60,1.76,2.13,1.89,2.55,3.10,3.27,2.87,3.27,3.19,3.23
Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividend Payout Ratio (NP) (%),62.76,54.13,61.05,62.11,62.98,18.13,27.05,30.66,31.40,29.76,38.69,36.71
Dividend Payout Ratio (CP) (%),55.08,48.71,56.76,55.59,56.72,16.24,25.08,28.93,27.68,25.89,34.32,31.92
Earnings Retention Ratio (%),37.24,45.87,38.95,37.89,37.02,81.87,72.95,69.34,68.60,70.24,61.31,63.29
Cash Earnings Retention Ratio (%),44.92,51.29,43.24,44.41,43.28,83.76,74.92,71.07,72.32,74.11,65.68,68.08
Valuation Ratios,,,,,,,,,,,,
Enterprise Value (Cr.),0.00,0.00,0.00,0.00,0.00,11970.92,22817.98,29089.68,24521.91,70437.50,107087.60,138199.70
EV/Net Operating Revenue (X),0.00,0.00,0.00,0.00,0.00,1.94,3.30,3.27,2.41,6.09,7.43,4.32
EV/EBITDA (X),0.00,0.00,0.00,0.00,0.00,9.23,14.50,14.18,10.72,25.78,31.81,21.69
MarketCap/Net Operating Revenue (X),0.00,0.00,0.00,0.00,0.00,1.97,3.34,3.29,2.44,6.12,7.48,4.40
Retention Ratios (%),37.23,45.86,38.94,37.88,37.01,81.86,72.94,69.33,68.59,70.23,61.30,63.28
Price/BV (X),0.00,0.00,0.00,0.00,0.00,4.09,6.20,6.22,4.76,10.20,12.82,8.80
Price/Net Operating Revenue,0.00,0.00,0.00,0.00,0.00,1.97,3.34,3.29,2.44,6.12,7.48,4.40
Earnings Yield,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.05,0.06,0.03,0.02,0.03
