,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),30.04,44.19,36.72,44.88,46.15,30.84,36.89,46.21,48.97,56.85,63.67,56.23,53.05,30.69,36.64,40.29,11.16,2.25,41.28,54.70
Diluted EPS (Rs.),30.04,44.19,36.72,44.88,46.15,30.84,36.89,44.33,46.89,54.61,61.07,53.66,52.80,30.54,36.47,40.13,11.12,2.24,41.28,54.49
Cash EPS (Rs.),45.32,60.07,45.30,53.70,56.16,41.54,43.44,52.38,58.66,68.84,78.29,72.64,72.10,87.09,49.04,55.86,29.78,20.94,61.73,80.99
Book Value [ExclRevalReserve]/Share (Rs.),151.73,172.22,124.06,148.72,181.44,191.91,138.02,171.27,202.95,248.14,284.26,325.40,378.36,451.22,254.58,287.09,288.91,288.77,325.60,361.88
Book Value [InclRevalReserve]/Share (Rs.),153.01,173.46,124.63,149.26,181.96,192.35,138.23,175.62,206.63,248.32,284.44,325.58,378.36,451.22,254.58,287.09,288.91,288.77,325.60,361.88
Dividend / Share(Rs.),9.00,13.00,10.00,11.50,11.50,10.00,9.50,11.50,12.50,13.00,14.00,12.00,12.00,13.00,7.50,8.50,2.35,8.75,11.55,16.25
Revenue from Operations/Share (Rs.),425.11,568.47,348.61,416.81,473.10,479.83,327.20,399.50,540.77,685.07,686.21,658.53,689.71,742.12,409.14,449.93,381.28,376.98,480.08,709.12
PBDIT/Share (Rs.),57.17,78.20,47.58,64.64,65.26,51.61,58.35,66.22,71.92,89.08,92.14,84.92,92.30,98.72,61.01,69.89,62.58,64.68,76.20,108.40
PBIT/Share (Rs.),42.93,62.34,39.01,55.84,55.28,40.91,51.80,59.17,62.14,77.04,77.51,68.44,74.27,73.01,48.58,54.28,43.95,45.99,55.72,82.07
PBT/Share (Rs.),36.30,59.73,37.85,55.01,51.62,36.00,49.02,59.93,61.22,75.33,74.02,70.49,72.29,79.56,51.28,53.08,26.12,12.22,52.11,67.86
Net Profit/Share (Rs.),30.04,44.19,36.72,44.88,46.15,30.84,36.89,45.33,48.87,56.80,63.67,56.16,54.07,61.38,36.61,40.25,11.15,2.25,41.24,54.66
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),13.44,13.75,13.64,15.50,13.79,10.75,17.83,16.57,13.29,13.00,13.42,12.89,13.38,13.30,14.91,15.53,16.41,17.15,15.87,15.28
PBIT Margin (%),10.09,10.96,11.18,13.39,11.68,8.52,15.82,14.81,11.49,11.24,11.29,10.39,10.76,9.83,11.87,12.06,11.52,12.19,11.60,11.57
PBT Margin (%),8.53,10.50,10.85,13.19,10.91,7.50,14.98,15.00,11.32,10.99,10.78,10.70,10.48,10.72,12.53,11.79,6.85,3.24,10.85,9.57
Net Profit Margin (%),7.06,7.77,10.53,10.76,9.75,6.42,11.27,11.34,9.03,8.29,9.27,8.52,7.83,8.27,8.94,8.94,2.92,0.59,8.59,7.70
Return on Networth / Equity (%),19.80,25.65,29.60,30.18,25.43,16.07,26.72,26.46,24.08,22.88,22.39,17.25,14.29,13.60,14.37,14.01,3.86,0.77,12.66,15.10
Return on Capital Employed (%),12.91,15.98,21.72,20.14,16.32,9.38,18.75,19.59,17.39,17.36,16.68,13.85,12.49,14.28,16.95,16.86,13.26,12.35,13.80,19.76
Return on Assets (%),8.61,10.16,14.17,13.28,10.60,5.96,12.78,13.62,12.03,12.21,12.01,10.08,9.02,9.11,9.18,9.10,2.63,0.45,7.35,8.64
Total Debt/Equity (X),0.41,0.53,0.31,0.46,0.60,0.77,0.37,0.23,0.27,0.22,0.22,0.14,0.08,0.10,0.09,0.07,0.09,0.21,0.17,0.11
Asset Turnover Ratio (%),121.93,130.70,134.56,123.35,108.69,92.80,113.39,120.06,133.21,147.30,129.46,118.21,115.14,110.22,102.67,101.74,90.07,75.58,0.91,1.19
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.12,1.26,1.31,1.37,1.00,0.99,1.16,0.91,1.08,1.10,1.29,1.13,1.18,1.31,1.24,1.26,1.38,1.34,1.38,1.33
Quick Ratio (X),0.75,0.85,0.90,1.05,0.71,0.78,0.93,0.63,0.76,0.80,0.97,0.86,0.91,1.02,1.03,0.99,1.07,1.08,1.06,0.99
Inventory Turnover Ratio (X),9.87,8.68,9.26,11.29,10.43,12.33,15.58,13.85,13.51,16.71,14.45,15.98,15.21,15.97,18.02,13.96,13.38,11.39,8.23,8.43
Dividend Payout Ratio (NP) (%),29.95,29.41,28.46,26.41,25.61,33.16,26.32,26.52,26.65,23.80,22.94,22.44,26.42,23.08,21.24,19.43,89.23,108.74,22.04,21.92
Dividend Payout Ratio (CP) (%),19.85,21.64,23.07,22.07,21.04,24.62,22.35,22.95,22.21,19.64,18.65,17.34,19.82,16.26,15.85,14.00,33.41,11.67,14.72,14.79
Earnings Retention Ratio (%),70.05,70.59,71.54,73.59,74.39,66.84,73.68,73.48,73.35,76.20,77.06,77.56,73.58,76.92,78.76,80.57,10.77,-8.74,77.96,78.08
