,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),18.76,29.54,41.15,54.03,59.89,42.17,86.42,79.22,56.60,79.19,92.13,122.85,177.58,243.32,255.62,248.30,187.06,140.02,124.68,266.46
Diluted EPS (Rs.),18.76,29.54,41.15,54.03,59.89,42.17,86.42,79.22,56.60,79.19,92.13,122.85,177.58,243.32,255.62,248.30,187.06,140.02,124.68,266.46
Cash EPS (Rs.),38.39,45.91,51.02,63.43,79.55,66.62,114.97,114.26,95.97,140.84,161.17,204.69,271.01,329.55,347.01,348.33,303.85,240.44,216.98,360.02
Book Value [ExclRevalReserve]/Share (Rs.),124.26,151.52,188.67,237.16,291.19,323.35,409.52,479.84,525.52,615.20,694.64,784.91,989.54,1206.33,1382.69,1527.86,1603.87,1700.89,1790.93,1999.40
Book Value [InclRevalReserve]/Share (Rs.),124.26,151.52,188.67,237.16,291.19,323.35,409.52,479.84,525.52,615.20,694.64,784.91,989.54,1206.33,1382.69,1527.86,1603.87,1700.89,1790.93,1999.40
Dividend / Share(Rs.),1.50,2.00,3.50,4.50,5.00,3.50,6.00,7.50,7.50,8.00,12.00,25.00,35.00,75.00,80.00,80.00,60.00,45.00,60.00,90.00
Revenue from Operations/Share (Rs.),326.97,382.22,422.07,512.33,625.15,717.28,1014.45,1267.07,1231.39,1443.31,1447.04,1654.66,1905.24,2252.81,2641.15,2848.35,2503.66,2328.89,2923.70,3891.49
PBDIT/Share (Rs.),42.40,60.26,70.95,87.99,105.37,82.89,152.25,143.51,115.56,166.95,195.99,249.82,342.56,418.93,467.12,449.02,355.08,274.56,248.17,436.06
PBIT/Share (Rs.),25.28,44.45,61.07,78.60,85.71,58.44,123.70,108.44,76.17,105.32,126.97,168.02,249.18,332.77,375.80,349.05,238.33,174.18,155.90,342.57
PBT/Share (Rs.),23.78,43.21,60.37,77.30,83.65,56.67,122.54,107.57,74.26,99.04,121.14,161.20,246.48,329.81,364.35,346.54,233.93,170.84,151.73,336.39
Net Profit/Share (Rs.),18.76,29.54,41.15,54.03,59.89,42.17,86.42,79.19,56.58,79.21,92.15,122.89,177.63,243.38,255.69,248.36,187.11,140.06,124.71,266.53
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),12.96,15.76,16.80,17.17,16.85,11.55,15.00,11.32,9.38,11.56,13.54,15.09,17.98,18.59,17.68,15.76,14.18,11.78,8.48,11.20
PBIT Margin (%),7.73,11.63,14.46,15.34,13.71,8.14,12.19,8.55,6.18,7.29,8.77,10.15,13.07,14.77,14.22,12.25,9.51,7.47,5.33,8.80
PBT Margin (%),7.27,11.30,14.30,15.08,13.38,7.90,12.07,8.48,6.03,6.86,8.37,9.74,12.93,14.64,13.79,12.16,9.34,7.33,5.18,8.64
Net Profit Margin (%),5.73,7.72,9.74,10.54,9.58,5.87,8.51,6.24,4.59,5.48,6.36,7.42,9.32,10.80,9.68,8.71,7.47,6.01,4.26,6.84
