,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),60.76,91.05,101.20,73.14,78.09,75.40,78.39,22.12,29.36,24.46,25.83,20.73,12.58,13.95,15.54,20.86,10.69,8.94,32.04,30.86
Diluted EPS (Rs.),60.76,91.05,101.20,73.14,78.09,75.40,78.39,22.12,29.36,24.46,25.83,20.73,12.58,13.95,15.54,20.86,10.69,8.94,32.04,30.86
Cash EPS (Rs.),73.16,103.84,128.22,88.53,96.39,95.76,102.90,40.73,49.04,45.98,47.75,46.42,31.84,23.45,26.82,33.78,25.49,21.92,46.41,46.83
Book Value [ExclRevalReserve]/Share (Rs.),284.33,328.53,378.42,289.51,330.16,368.11,408.07,113.97,132.03,145.47,159.81,169.01,193.76,144.58,150.69,161.36,154.48,162.60,188.51,204.96
Book Value [InclRevalReserve]/Share (Rs.),284.33,328.53,378.42,289.51,330.16,368.11,408.07,113.97,132.03,145.47,159.81,169.01,193.76,144.58,150.69,161.36,154.48,162.60,188.51,204.96
Dividend / Share(Rs.),24.00,40.00,45.00,31.00,32.00,32.00,33.00,8.75,9.75,9.50,9.50,9.50,8.50,7.55,6.60,7.00,5.00,3.60,10.50,11.25
Revenue from Operations/Share (Rs.),221.96,323.71,336.55,266.09,280.82,299.24,281.70,79.88,89.43,97.02,98.05,96.86,90.63,60.54,66.21,87.13,76.44,54.12,87.69,114.87
PBDIT/Share (Rs.),107.54,149.97,176.27,126.64,135.64,131.76,140.72,41.32,47.94,45.56,50.08,44.88,45.88,30.10,34.96,46.28,37.13,26.68,48.87,65.52
PBIT/Share (Rs.),95.14,137.18,149.25,111.25,117.33,111.40,116.21,32.35,39.18,35.77,37.31,31.49,32.90,20.60,23.69,33.74,22.33,13.71,34.50,49.55
PBT/Share (Rs.),94.82,136.91,148.92,111.15,117.05,110.84,116.15,32.32,42.81,35.74,37.31,31.49,27.58,19.65,22.51,31.76,16.19,13.04,32.62,40.06
Net Profit/Share (Rs.),60.76,91.05,101.20,73.14,78.09,75.40,78.39,22.12,29.36,24.46,25.83,20.73,18.86,13.95,15.54,21.24,10.69,8.94,32.04,30.86
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),48.45,46.32,52.37,47.59,48.29,44.03,49.95,51.73,53.60,46.95,51.07,46.33,50.61,49.71,52.81,53.12,48.57,49.30,55.72,57.03
PBIT Margin (%),42.86,42.37,44.34,41.80,41.78,37.22,41.25,40.49,43.80,36.86,38.05,32.51,36.30,34.02,35.78,38.72,29.21,25.32,39.34,43.13
PBT Margin (%),42.71,42.29,44.24,41.77,41.68,37.04,41.23,40.46,47.86,36.83,38.05,32.50,30.43,32.45,34.00,36.45,21.18,24.09,37.20,34.87
Net Profit Margin (%),27.37,28.12,30.07,27.48,27.80,25.19,27.82,27.69,32.83,25.21,26.33,21.39,20.81,23.03,23.47,24.37,13.98,16.51,36.53,26.86
