,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),246.50,248.10,281.40,3.25,3.44,4.02,4.85,6.19,7.03,9.15,9.36,9.52,11.52,14.37,15.75,19.00,20.67,22.81,24.51,21.98
Diluted EPS (Rs.),246.50,248.10,281.40,3.25,3.44,4.02,4.85,6.19,7.03,9.15,9.36,9.52,11.52,14.37,15.75,19.00,20.67,22.81,24.51,21.98
Cash EPS (Rs.),450.80,454.00,491.50,5.45,5.73,6.62,9.56,10.58,12.59,16.39,16.23,19.24,23.34,29.02,33.13,38.50,41.83,45.20,42.50,40.53
Book Value [ExclRevalReserve]/Share (Rs.),2796.90,2840.80,2779.40,28.85,32.68,32.16,37.53,46.15,50.73,56.68,65.87,72.95,81.68,95.20,104.01,112.81,123.17,133.00,109.17,118.75
Book Value [InclRevalReserve]/Share (Rs.),2796.90,2840.80,2779.40,28.85,32.68,32.16,37.53,46.15,50.73,56.68,65.87,72.95,81.68,95.20,104.01,112.81,123.17,133.00,109.17,118.75
Dividend / Share(Rs.),41.20,57.40,90.00,1.00,1.20,1.20,1.50,1.75,2.11,2.75,2.58,2.00,2.31,4.35,5.25,8.33,10.00,12.00,14.75,18.75
Revenue from Operations/Share (Rs.),745.50,793.90,877.40,9.48,10.96,15.63,16.93,18.12,21.95,27.56,29.11,32.83,39.76,49.14,56.87,65.22,69.17,72.00,57.24,62.14
PBDIT/Share (Rs.),718.40,736.20,835.90,8.73,11.10,15.57,14.33,16.53,19.72,24.86,25.70,29.44,35.86,44.86,51.52,58.84,64.10,68.65,53.52,57.20
PBIT/Share (Rs.),518.60,533.30,628.20,6.55,8.82,12.97,9.62,11.78,14.17,17.62,18.07,19.72,24.04,30.21,34.14,39.34,42.93,46.27,35.52,38.65
PBT/Share (Rs.),192.20,277.90,327.40,3.54,4.52,5.46,6.47,8.27,9.97,12.14,12.01,12.11,14.44,18.29,20.03,17.13,27.39,28.72,28.39,25.05
Net Profit/Share (Rs.),246.50,248.10,281.40,3.25,3.44,4.02,4.85,5.83,7.03,9.15,8.60,9.52,11.52,14.37,15.75,19.00,20.67,22.81,24.51,21.98
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),96.35,92.73,95.26,92.12,101.26,99.62,84.59,91.24,89.84,90.19,88.29,89.66,90.18,91.27,90.58,90.21,92.67,95.35,93.49,92.05
PBIT Margin (%),69.56,67.17,71.60,69.07,80.46,82.99,56.81,65.02,64.53,63.92,62.05,60.05,60.45,61.46,60.02,60.31,62.07,64.26,62.05,62.19
PBT Margin (%),25.78,35.00,37.31,37.30,41.26,34.93,38.19,45.64,45.41,44.05,41.26,36.88,36.31,37.22,35.21,26.26,39.60,39.89,49.60,40.30
Net Profit Margin (%),33.06,31.25,32.07,34.24,31.38,25.69,28.63,32.14,32.02,33.19,29.52,28.98,28.97,29.24,27.69,29.12,29.87,31.68,42.81,35.37
Return on Networth / Equity (%),8.81,8.73,10.12,11.25,10.53,12.49,12.92,12.62,13.85,16.13,13.05,13.04,14.10,15.09,15.14,16.84,16.77,17.15,22.44,18.51
Return on Capital Employed (%),3.50,3.45,4.06,4.10,4.04,4.04,4.10,4.13,8.32,4.39,3.74,3.64,3.93,9.57,9.86,10.04,10.42,11.25,12.02,12.73
Return on Assets (%),3.17,3.03,3.38,3.34,3.34,3.18,3.22,3.56,3.60,3.81,3.22,3.14,3.37,3.86,3.86,4.03,4.23,4.69,6.89,6.22
Total Debt/Equity (X),1.49,1.56,1.51,1.77,1.62,2.10,2.18,1.81,2.16,2.48,2.31,2.37,2.39,2.26,2.27,2.29,2.15,1.88,1.77,1.53
Asset Turnover Ratio (%),9.59,9.72,10.54,9.76,10.66,12.40,11.26,11.07,11.26,11.47,10.91,10.85,11.65,13.20,13.97,13.84,14.15,14.80,0.16,0.18
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),1.33,0.84,0.54,0.52,0.72,0.62,0.68,0.92,0.56,0.43,0.47,0.36,0.40,0.38,0.40,0.62,0.71,0.91,0.73,0.93
Quick Ratio (X),1.24,0.78,0.51,0.49,0.69,0.60,0.66,0.88,0.52,0.39,0.43,0.33,0.36,0.35,0.36,0.59,0.68,0.87,0.69,0.89
Inventory Turnover Ratio (X),11.50,13.64,17.45,19.50,18.59,22.11,20.67,21.99,23.08,23.13,21.38,23.93,25.26,28.35,28.65,27.82,25.84,27.64,0.00,0.00
Dividend Payout Ratio (NP) (%),16.70,23.42,30.00,30.00,34.86,29.87,30.93,30.04,30.01,30.06,30.01,21.01,20.05,6.95,15.55,45.42,28.84,57.15,51.00,45.49
Dividend Payout Ratio (CP) (%),9.13,12.80,17.17,17.85,20.92,18.12,15.69,16.54,16.76,16.78,15.89,10.39,9.89,3.44,7.39,22.41,14.24,28.84,29.41,24.67
