,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),36.27,53.88,65.10,85.73,134.21,97.29,49.64,62.00,61.21,64.82,68.05,70.25,84.66,96.90,53.08,55.48,48.42,49.66,59.24,65.34
Diluted EPS (Rs.),36.27,53.88,65.10,85.73,134.21,97.29,49.64,62.00,61.21,64.82,68.05,70.25,84.66,96.73,53.04,55.47,48.72,48.90,58.49,65.34
Cash EPS (Rs.),60.13,81.05,89.51,120.29,167.56,130.31,81.74,103.56,96.10,94.36,95.21,96.44,114.15,122.70,68.18,72.13,64.10,63.84,72.96,80.29
Book Value [ExclRevalReserve]/Share (Rs.),227.22,270.43,324.11,439.67,542.83,727.78,392.51,446.30,498.22,554.17,609.76,667.98,741.28,886.83,496.66,639.41,617.15,736.20,697.01,708.09
Book Value [InclRevalReserve]/Share (Rs.),246.80,290.03,357.49,458.70,548.83,802.68,419.43,463.00,507.78,557.43,609.76,667.98,741.28,886.83,496.66,639.41,617.15,736.20,697.01,708.09
Dividend / Share(Rs.),5.25,7.50,10.00,11.00,13.00,13.00,7.00,8.00,8.50,9.00,9.50,10.00,10.50,11.00,6.00,6.50,6.50,7.00,8.00,9.00
Revenue from Operations/Share (Rs.),371.43,473.18,580.53,801.74,920.65,902.17,587.37,758.23,1008.57,1115.82,1207.05,1016.92,719.62,743.74,457.99,586.24,531.56,381.17,626.32,780.84
PBDIT/Share (Rs.),78.73,102.41,107.59,147.37,166.57,163.69,101.01,125.81,121.71,120.11,123.18,124.61,147.29,159.84,94.65,106.76,104.74,74.97,97.83,113.62
PBIT/Share (Rs.),54.86,75.24,83.18,112.81,133.22,130.67,68.91,84.23,86.88,90.80,95.99,98.38,117.76,133.80,79.53,90.11,89.39,60.70,82.64,98.67
PBT/Share (Rs.),44.58,64.70,76.88,104.28,125.81,119.58,62.87,77.12,78.72,81.40,86.07,91.06,110.19,125.43,72.18,74.72,63.60,42.22,69.16,80.01
Net Profit/Share (Rs.),36.27,53.88,65.10,85.73,134.21,97.29,49.64,61.98,61.27,65.04,68.02,70.21,84.62,96.66,53.06,55.47,48.75,49.56,57.77,65.33
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),21.19,21.64,18.53,18.38,18.09,18.14,17.19,16.59,12.06,10.76,10.20,12.25,20.46,21.49,20.66,18.21,19.70,19.66,15.62,14.55
PBIT Margin (%),14.77,15.90,14.32,14.07,14.46,14.48,11.73,11.10,8.61,8.13,7.95,9.67,16.36,17.99,17.36,15.37,16.81,15.92,13.19,12.63
PBT Margin (%),12.00,13.67,13.24,13.00,13.66,13.25,10.70,10.17,7.80,7.29,7.13,8.95,15.31,16.86,15.75,12.74,11.96,11.07,11.04,10.24
Net Profit Margin (%),9.76,11.38,11.21,10.69,14.57,10.78,8.45,8.17,6.07,5.82,5.63,6.90,11.75,12.99,11.58,9.46,9.17,13.00,9.22,8.36
Return on Networth / Equity (%),15.96,19.92,20.08,19.49,24.72,13.36,12.64,13.88,12.29,11.73,11.15,10.51,11.41,10.89,10.68,8.67,7.89,6.73,8.28,9.22
Return on Capital Employed (%),9.37,12.43,12.69,13.13,16.58,7.50,7.92,9.46,8.85,8.92,8.08,7.41,8.24,11.04,11.80,9.95,8.84,5.82,8.24,10.21
Return on Assets (%),7.01,9.27,9.72,10.15,12.99,6.22,6.46,7.12,6.78,6.59,5.98,5.71,5.98,5.74,5.44,4.53,3.18,3.65,4.44,4.96
