,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),130.16,184.31,210.06,15.68,17.55,12.98,13.43,-7.67,0.97,16.23,22.87,35.49,56.29
Diluted EPS (Rs.),130.16,184.31,210.06,15.68,17.55,12.98,13.43,-7.67,0.97,16.23,22.87,35.49,56.29
Cash EPS (Rs.),131.67,189.47,222.86,16.37,19.04,15.01,16.02,-4.07,0.97,19.94,26.59,39.13,59.98
Book Value [Excl. Reval Reserve]/Share (Rs.),1023.40,1251.05,1445.60,158.43,172.04,185.85,196.53,217.69,247.53,233.34,258.05,287.64,335.98
Book Value [Incl. Reval Reserve]/Share (Rs.),1023.40,1251.05,1445.60,158.43,172.04,185.85,236.14,245.53,247.53,259.96,284.47,313.84,367.08
Dividend/Share (Rs.),30.00,35.00,41.50,3.00,3.50,2.60,2.60,0.00,0.00,0.00,4.00,7.10,11.30
Operating Revenue / Share (Rs.),1281.80,1587.40,1749.29,182.64,204.13,211.26,220.13,247.07,272.13,288.33,297.10,308.65,372.12
Net Profit/Share (Rs.),116.07,174.46,206.20,14.59,17.55,12.82,13.15,-7.34,0.97,16.23,22.87,35.49,56.29
Per Employee Ratios,,,,,,,,,,,,,
Interest Income/ Employee (Rs.),3651068.43,4943426.72,5241313.86,6119627.30,7146806.58,7894439.54,8375280.48,8350949.88,0.00,10315720.80,10793750.26,11277678.21,14080635.81
Net Profit/ Employee (Rs.),330608.20,543309.55,617837.58,488812.02,614410.75,478997.86,500274.50,-247971.10,0.00,580806.85,830869.25,1296867.16,2129775.27
Business/ Employee (Rs.),75836787.78,88695813.20,98484254.10,116882048.03,134911208.97,153770974.81,172538127.46,175776620.83,0.00,223169169.33,249571543.11,277809650.59,323204939.97
Per Branch Ratios,,,,,,,,,,,,,
Interest Income/ Branch (Rs.),59420618.92,74647129.22,79760764.56,85922744.91,93306235.35,97711092.41,102223785.91,98375709.65,0.00,116220402.06,119335088.80,123712067.91,148227208.30
Net Profit/ Branches (Rs.),5380601.33,8204126.56,9402069.66,6863174.55,8021534.32,5928654.49,6106058.59,-2921144.69,0.00,6543566.51,9186043.21,14226165.68,22420197.99
Business/ Branches (Rs.),1234232925.24,1339331641.49,1498704257.70,1641084645.54,1761354091.65,1903254798.38,2105899694.70,2070680589.85,0.00,2514299397.05,2759248782.89,3047471802.57,3402386553.49
Key Performance Ratios,,,,,,,,,,,,,
ROCE (%),2.26,2.51,2.11,1.89,2.06,1.96,1.99,1.81,0.00,1.79,1.64,1.42,1.59
CASA (%),49.41,44.80,44.81,42.91,41.34,42.61,44.57,44.48,0.00,44.22,45.39,44.51,42.66
Net Profit Margin (%),9.05,10.99,11.78,7.98,8.59,6.06,5.97,-2.96,0.35,5.63,7.69,11.49,15.12
Operating Profit Margin (%),-10.38,-2.48,-1.61,-5.61,-6.21,-10.91,-14.23,-23.19,-14.14,-11.94,-8.70,-3.22,4.10
Return on Assets (%),0.60,0.87,0.90,0.60,0.63,0.42,0.38,-0.18,0.02,0.36,0.45,0.63,0.91
Return on Equity / Networth (%),11.34,13.94,14.26,9.20,10.20,6.89,6.69,-3.37,0.39,6.95,8.86,12.33,16.75
Net Interest Margin (X),2.65,3.24,2.83,2.74,2.68,2.42,2.28,2.16,2.40,2.48,2.44,2.42,2.62
Cost to Income (%),41.23,38.00,34.09,36.76,36.85,39.14,41.15,47.52,44.68,42.57,43.34,41.00,53.86
Interest Income/Total Assets (%),6.65,7.97,7.63,7.60,7.44,6.95,6.48,6.38,6.59,6.51,5.84,5.52,6.01
Non-Interest Income/Total Assets (%),1.29,1.07,1.02,1.03,1.10,1.18,1.31,1.29,0.95,1.14,0.95,0.81,0.66
Operating Profit/Total Assets (%),-0.69,-0.19,-0.12,-0.42,-0.46,-0.75,-0.92,-1.48,-0.93,-0.77,-0.50,-0.17,0.24
Operating Expenses/Total Assets (%),1.88,1.95,1.86,1.99,1.85,1.77,1.71,1.73,1.89,1.90,1.82,1.87,1.77
Interest Expenses/Total Assets (%),3.99,4.73,4.80,4.85,4.75,4.53,4.20,4.21,4.19,4.02,3.40,3.10,3.39
Valuation Ratios,,,,,,,,,,,,,
Enterprise Value (Rs. Cr),1134867.64,1257160.88,1447875.02,2924734.90,1865394.71,2075268.45,2467752.16,3141292.12,3423771.88,3565310.84,4210541.48,4660058.65,5137207.29
EV Per Net Sales (X),13.94,11.80,12.10,21.45,12.24,12.65,14.06,14.25,14.10,13.86,15.88,16.92,15.47
Price To Book Value (X),2.70,1.67,1.43,12.11,1.55,1.05,1.49,1.15,1.30,0.84,1.41,1.72,1.56
Price To Sales (X),2.16,1.32,1.18,10.50,1.31,0.92,1.33,1.01,1.18,0.68,1.23,1.60,1.41
Retention Ratios (%),74.15,79.93,79.87,79.43,79.78,79.71,79.88,100.00,100.00,100.00,82.50,79.99,79.92
Earnings Yield (X),0.04,0.08,0.10,0.01,0.07,0.07,0.04,-0.03,0.00,0.08,0.06,0.07,0.11
