,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),8.79,7.55,9.40,10.34,19.19,30.09,38.71,54.49,55.59,59.98,55.72,54.56,51.93,55.42,108.45,113.01,107.44,100.97,101.74,159.69
Diluted EPS (Rs.),8.79,7.55,9.40,10.34,19.19,30.09,38.71,54.41,55.54,59.98,55.72,54.56,51.93,55.42,108.45,113.01,107.44,100.97,101.74,158.99
Cash EPS (Rs.),10.64,8.30,10.07,11.05,21.02,31.80,39.60,54.85,56.15,60.78,57.00,56.34,53.52,56.91,110.03,114.89,116.49,103.72,105.10,173.69
Book Value [ExclRevalReserve]/Share (Rs.),22.08,30.13,53.16,57.90,87.31,111.58,170.02,216.83,264.77,317.11,364.61,407.13,447.50,498.10,598.28,697.94,793.60,852.30,958.61,1156.60
Book Value [InclRevalReserve]/Share (Rs.),22.08,30.13,53.16,57.90,87.31,111.58,170.02,216.83,264.77,317.11,364.61,407.13,447.50,498.10,598.28,697.94,793.60,852.30,958.61,1156.60
Dividend / Share(Rs.),2.50,2.50,3.00,3.00,5.00,5.00,6.00,6.50,6.50,7.00,7.00,10.00,10.00,10.00,11.00,12.00,5.00,18.00,20.00,35.00
Revenue from Operations/Share (Rs.),59.58,52.74,60.03,76.53,120.69,181.41,195.21,237.52,260.21,289.05,347.28,380.64,451.36,477.23,586.09,684.41,729.70,688.39,711.78,795.13
PBDIT/Share (Rs.),42.55,35.65,41.40,52.81,93.63,140.86,156.37,183.49,192.45,216.18,255.16,276.45,303.02,314.90,443.66,499.45,522.30,492.75,496.04,567.66
PBIT/Share (Rs.),40.76,34.93,40.75,52.12,91.81,139.15,155.71,183.01,191.85,215.37,253.87,274.67,301.42,313.40,442.07,497.56,516.08,487.33,491.04,553.66
PBT/Share (Rs.),13.30,11.90,14.36,15.70,29.82,45.23,58.73,81.74,83.11,88.86,80.56,81.20,78.51,84.79,167.55,166.52,151.56,129.53,131.20,218.60
Net Profit/Share (Rs.),8.79,7.55,9.40,10.34,19.19,30.09,38.71,54.38,55.56,59.97,55.71,54.55,51.92,55.41,108.44,113.00,110.27,98.29,100.10,159.69
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),71.42,67.59,68.97,69.01,77.58,77.64,80.10,77.25,73.95,74.79,73.47,72.62,67.13,65.98,75.69,72.97,71.57,71.58,69.69,71.39
PBIT Margin (%),68.40,66.22,67.88,68.10,76.06,76.70,79.76,77.05,73.73,74.51,73.10,72.15,66.78,65.67,75.42,72.69,70.72,70.79,68.98,69.63
PBT Margin (%),22.32,22.56,23.91,20.51,24.70,24.93,30.08,34.41,31.93,30.74,23.19,21.33,17.39,17.76,28.58,24.33,20.77,18.81,18.43,27.49
