,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),26.56,16.83,24.84,32.52,48.96,61.65,43.39,13.40,16.40,5.00,-13.70,-6.10,-4.50,-0.10,1.30,3.40,13.40,8.92,-0.40,7.00
Diluted EPS (Rs.),26.56,16.83,24.84,32.52,48.96,61.65,43.39,13.40,16.40,5.00,-13.70,-6.10,-4.50,-0.10,1.30,3.40,13.40,8.92,-0.40,7.00
Cash EPS (Rs.),29.10,18.74,27.03,34.91,51.67,64.50,46.74,13.98,17.12,5.82,-13.16,-3.93,-2.53,1.66,3.30,5.71,15.72,11.36,5.21,13.72
Book Value [ExclRevalReserve]/Share (Rs.),91.00,59.51,78.80,126.58,203.15,248.72,276.07,64.51,76.07,75.21,35.77,109.78,89.27,87.58,93.04,95.21,101.68,104.36,102.48,98.98
Book Value [InclRevalReserve]/Share (Rs.),91.00,59.51,78.80,126.58,203.15,248.72,276.07,64.51,76.07,75.21,35.77,109.78,89.27,87.58,93.04,95.21,101.68,104.36,102.48,98.98
Dividend / Share(Rs.),3.25,3.75,5.50,6.75,10.50,13.75,13.75,3.50,4.25,5.00,1.50,3.00,1.00,3.50,2.00,2.75,4.00,7.50,10.00,11.50
Revenue from Operations/Share (Rs.),90.99,54.29,69.54,85.96,114.35,133.96,89.08,30.01,38.78,23.49,13.66,38.71,31.64,32.03,37.54,42.94,52.23,53.36,64.96,86.74
PBDIT/Share (Rs.),34.20,18.89,29.11,35.97,53.75,65.52,49.13,14.67,20.30,7.24,0.94,-1.68,-0.01,2.62,8.78,12.62,17.60,12.86,16.11,28.14
PBIT/Share (Rs.),31.66,17.12,26.91,33.57,51.05,62.68,45.77,14.05,19.57,6.41,0.45,-4.87,-1.94,0.86,6.75,10.31,15.26,10.42,10.48,21.47
PBT/Share (Rs.),31.66,17.12,26.31,33.12,50.80,62.54,45.75,14.04,16.67,6.40,-13.52,-7.53,-4.44,-0.07,1.17,3.00,13.56,8.97,1.28,7.26
