,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),16.28,22.93,33.25,51.93,50.59,25.51,63.30,2.92,4.89,4.18,7.23,4.58,8.93,4.37,8.47,6.51,5.68,6.72,9.61,10.27
Diluted EPS (Rs.),16.28,22.93,33.25,51.93,50.59,25.51,63.30,2.92,4.89,4.18,7.23,4.58,8.93,4.37,8.47,6.51,5.68,6.72,9.61,10.27
Cash EPS (Rs.),20.20,26.84,36.71,55.08,52.24,27.24,65.30,3.12,5.09,4.45,7.49,5.00,9.29,4.75,8.90,7.01,6.93,8.09,11.15,11.80
Book Value [ExclRevalReserve]/Share (Rs.),169.58,182.70,202.67,257.81,288.19,287.43,332.47,32.90,35.39,37.49,41.55,40.08,45.54,59.97,66.76,70.07,117.49,121.55,127.39,137.04
Book Value [InclRevalReserve]/Share (Rs.),173.47,186.58,206.56,261.52,291.73,290.96,336.00,33.25,35.74,37.49,41.61,40.43,45.89,59.97,66.76,70.41,117.73,121.79,127.62,137.28
Dividend / Share(Rs.),8.50,10.00,12.00,15.00,35.00,17.50,20.00,2.00,2.15,2.15,2.25,2.25,2.25,2.35,2.50,2.50,2.70,4.05,6.05,8.45
Revenue from Operations/Share (Rs.),137.23,157.88,172.67,178.89,183.49,220.17,274.66,29.29,32.91,37.61,43.39,46.65,48.87,48.55,50.98,54.34,61.74,77.63,86.07,91.91
PBDIT/Share (Rs.),27.53,35.06,41.21,45.22,47.34,50.44,51.80,4.20,5.27,5.68,7.58,7.63,7.11,7.27,10.28,9.84,10.00,11.41,14.65,15.95
PBIT/Share (Rs.),23.61,31.15,37.75,42.08,45.70,48.72,49.81,4.00,5.07,5.42,7.32,7.31,6.75,6.90,9.85,9.33,8.76,10.04,13.11,14.38
PBT/Share (Rs.),20.38,28.66,34.83,34.38,35.08,35.52,40.69,3.72,5.98,5.19,9.47,5.64,10.47,6.12,11.46,9.13,7.91,9.07,12.49,13.64
Net Profit/Share (Rs.),16.28,22.93,33.25,51.93,50.59,25.51,63.30,2.92,4.89,4.18,7.23,4.67,8.93,4.37,8.47,6.51,5.68,6.72,9.61,10.23
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),20.06,22.20,23.86,25.28,25.80,22.90,18.85,14.34,16.01,15.11,17.47,16.36,14.55,14.98,20.17,18.10,16.19,14.69,17.01,17.35
PBIT Margin (%),17.20,19.72,21.86,23.52,24.90,22.12,18.13,13.66,15.41,14.40,16.86,15.67,13.81,14.20,19.32,17.17,14.18,12.93,15.23,15.64
PBT Margin (%),14.85,18.15,20.16,19.22,19.11,16.13,14.81,12.71,18.17,13.79,21.82,12.10,21.43,12.60,22.48,16.79,12.81,11.68,14.51,14.84
Net Profit Margin (%),11.86,14.52,19.25,29.03,27.57,11.58,23.04,9.97,14.87,11.11,16.65,10.01,18.27,9.00,16.60,11.98,9.20,8.65,11.16,11.12
