,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),22.96,34.15,39.93,49.65,52.63,19.78,39.26,6.06,3.90,0.93,1.03,-14.72,-0.18,-7.15,-3.05,5.94,-21.06,-6.59,-3.63,7.11
Diluted EPS (Rs.),22.96,34.15,39.93,49.65,52.63,19.78,39.26,5.78,3.77,0.93,1.03,-14.72,-0.18,-7.15,-3.05,5.94,-21.06,-6.59,-3.63,7.11
Cash EPS (Rs.),35.26,48.44,55.47,67.06,71.21,37.78,59.90,49.75,8.98,6.64,7.47,-6.63,6.68,1.79,6.09,15.07,-10.88,-1.74,0.97,11.74
Book Value [ExclRevalReserve]/Share (Rs.),101.69,113.64,143.93,177.57,202.68,240.62,259.01,313.45,61.76,59.90,59.50,46.10,68.50,62.31,59.39,65.26,51.11,49.77,52.06,58.66
Book Value [InclRevalReserve]/Share (Rs.),101.69,113.64,144.62,178.25,203.34,241.11,259.44,313.83,61.84,59.98,59.58,46.17,68.50,62.31,59.39,65.26,51.11,49.77,52.06,58.66
Dividend / Share(Rs.),8.00,12.50,13.00,15.00,15.00,6.00,15.00,20.00,4.00,2.00,2.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,2.00
Revenue from Operations/Share (Rs.),369.07,475.39,524.69,691.84,746.17,499.19,619.93,738.40,171.11,140.32,106.52,112.76,126.17,130.49,173.23,203.77,122.10,78.81,123.42,171.69
PBDIT/Share (Rs.),53.29,64.14,74.91,92.11,94.79,49.84,89.55,79.79,14.97,11.90,9.08,2.00,12.81,7.63,14.33,22.07,2.03,4.90,5.64,13.97
PBIT/Share (Rs.),42.45,51.69,61.31,76.90,77.87,32.83,71.43,58.45,9.91,6.20,2.65,-6.09,5.95,-1.31,5.19,12.94,-7.35,0.38,1.04,9.36
PBT/Share (Rs.),36.71,45.67,53.64,66.78,66.83,19.72,49.59,34.44,4.23,0.55,-3.19,-12.35,0.46,-6.93,-2.79,7.06,-19.81,-5.94,-4.28,3.28
Net Profit/Share (Rs.),22.96,34.15,39.93,49.65,52.63,19.78,39.26,28.41,3.91,0.95,1.04,-14.72,-0.18,-7.15,-3.05,5.95,-20.26,-6.26,-3.63,7.12
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),14.43,13.49,14.27,13.31,12.70,9.98,14.44,10.80,8.74,8.48,8.52,1.77,10.15,5.84,8.27,10.82,1.66,6.21,4.56,8.13
PBIT Margin (%),11.50,10.87,11.68,11.11,10.43,6.57,11.52,7.91,5.79,4.42,2.48,-5.39,4.71,-1.00,2.99,6.35,-6.01,0.47,0.84,5.45
PBT Margin (%),9.94,9.60,10.22,9.65,8.95,3.95,7.99,4.66,2.46,0.39,-2.99,-10.95,0.36,-5.31,-1.60,3.46,-16.22,-7.53,-3.47,1.90
Net Profit Margin (%),6.21,7.18,7.61,7.17,7.05,3.96,6.33,3.84,2.28,0.67,0.97,-13.05,-0.14,-5.48,-1.75,2.91,-16.59,-7.93,-2.94,4.14
Return on Networth / Equity (%),22.57,30.04,27.74,27.95,25.96,8.21,15.15,9.06,6.33,1.57,1.74,-31.93,-0.26,-11.48,-5.13,9.11,-39.64,-12.57,-6.97,12.14
Return on Capital Employed (%),14.99,17.10,17.76,19.18,15.49,4.96,7.75,5.14,3.84,0.97,2.75,-16.02,5.31,-1.19,5.04,11.57,-7.18,0.37,1.07,9.96
