,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),47.30,62.75,63.33,72.71,64.14,71.18,56.87,75.63,67.84,50.28,64.21,64.49,48.67,31.74,38.57,90.41,57.11,145.00,270.33,12.68
Diluted EPS (Rs.),47.30,62.75,63.33,72.71,64.14,71.18,56.87,70.99,66.62,50.28,64.21,64.49,48.67,31.74,38.56,90.40,57.11,144.99,270.13,12.67
Cash EPS (Rs.),64.23,73.92,77.33,86.82,75.56,84.50,69.08,83.51,80.79,69.01,85.86,86.85,70.35,71.92,68.90,125.08,93.04,188.08,314.76,17.12
Book Value [ExclRevalReserve]/Share (Rs.),122.32,127.51,176.19,240.22,298.70,331.59,418.85,489.31,541.70,568.35,629.48,686.26,725.51,511.21,536.72,614.72,650.56,787.52,1026.15,110.27
Book Value [InclRevalReserve]/Share (Rs.),122.32,127.51,176.19,240.22,298.70,331.59,418.85,489.31,541.70,568.35,629.48,686.26,725.51,511.21,536.72,614.72,650.56,787.52,1026.15,110.27
Dividend / Share(Rs.),10.00,13.00,13.00,15.50,16.00,16.00,8.00,12.00,12.00,8.00,10.00,8.00,8.00,10.00,10.00,13.00,10.00,25.00,51.00,3.60
Revenue from Operations/Share (Rs.),289.81,261.70,273.31,300.56,268.95,333.18,281.05,306.40,349.32,393.24,429.39,430.15,393.35,494.06,520.16,616.08,527.30,701.82,1055.50,105.54
PBDIT/Share (Rs.),94.33,109.54,110.84,125.30,122.90,133.82,114.34,125.19,127.89,123.82,140.05,109.03,114.29,126.52,144.34,200.40,133.19,232.56,430.16,25.38
PBIT/Share (Rs.),77.40,98.36,96.84,111.19,111.47,120.50,102.13,113.24,116.04,106.94,120.19,88.47,94.39,90.06,111.81,167.22,98.99,186.94,385.47,20.94
PBT/Share (Rs.),71.15,94.23,93.80,106.87,98.76,100.12,81.31,101.90,101.47,80.67,99.99,87.59,63.07,55.15,57.92,141.58,57.68,155.24,360.70,17.20
Net Profit/Share (Rs.),47.30,62.75,63.33,72.71,64.14,71.18,56.87,71.56,68.94,52.12,66.01,66.29,50.45,35.46,36.38,91.90,58.84,142.46,270.06,12.68
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),32.54,41.85,40.55,41.68,45.69,40.16,40.68,40.85,36.61,31.48,32.61,25.34,29.05,25.60,27.74,32.52,25.25,33.13,40.75,24.05
PBIT Margin (%),26.70,37.58,35.43,36.99,41.44,36.16,36.34,36.95,33.21,27.19,27.99,20.56,23.99,18.22,21.49,27.14,18.77,26.63,36.51,19.83
PBT Margin (%),24.55,36.00,34.31,35.55,36.72,30.04,28.92,33.25,29.04,20.51,23.28,20.36,16.03,11.16,11.13,22.98,10.93,22.11,34.17,16.29
Net Profit Margin (%),16.32,23.97,23.17,24.19,23.84,21.36,20.23,23.35,19.73,13.25,15.37,15.41,12.82,7.17,6.99,14.91,11.15,20.29,25.58,12.01
Return on Networth / Equity (%),38.66,49.20,35.94,30.26,21.47,21.46,13.57,14.62,12.72,9.17,10.48,9.65,6.95,6.93,6.77,14.95,9.04,18.08,26.31,11.49
Return on Capital Employed (%),18.48,30.79,25.16,16.70,9.94,8.99,7.83,8.97,8.44,5.92,6.95,6.50,8.97,9.89,12.87,17.12,9.49,14.89,27.99,13.66
Return on Assets (%),11.53,20.80,18.27,13.18,8.50,7.58,6.78,7.66,6.96,4.96,5.77,5.56,3.97,3.09,3.33,7.66,4.48,9.46,14.87,6.62
Total Debt/Equity (X),0.75,0.39,0.26,0.69,0.83,1.11,0.68,0.53,0.41,0.43,0.39,0.36,0.41,0.56,0.41,0.38,0.53,0.34,0.26,0.28
Asset Turnover Ratio (%),70.66,86.78,78.87,54.50,35.68,35.51,33.51,32.82,35.27,37.49,37.56,36.12,31.01,43.05,47.64,51.35,40.18,0.51,0.64,0.57
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),0.72,0.77,0.81,2.03,4.64,0.96,1.23,1.38,0.76,0.70,0.61,0.71,0.68,0.87,1.35,0.67,0.65,0.97,0.58,0.73
Quick Ratio (X),0.50,0.42,0.39,1.68,4.31,0.63,0.92,1.08,0.47,0.38,0.29,0.23,0.35,0.43,0.92,0.23,0.30,0.55,0.21,0.28
