,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24
Key Financial Ratios of Tata Consultancy Services (in Rs. Cr.),Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24
Per Share Ratios,,,,,,,,,,,,,,,,,,,,,
Basic EPS (Rs.),4.17,38.15,55.53,38.39,46.07,47.99,28.71,38.61,55.95,65.22,94.15,98.31,117.11,120.04,131.15,79.34,88.64,82.78,103.24,106.88,119.44
Diluted EPS (Rs.),4.17,38.15,55.53,38.39,46.07,47.99,28.71,38.61,55.95,65.22,94.15,98.31,117.11,120.04,131.15,79.34,88.64,82.78,103.24,106.88,119.44
Cash EPS (Rs.),4.40,40.92,60.79,41.90,50.76,52.25,31.10,41.43,59.60,69.43,99.84,105.43,124.54,128.06,140.77,84.75,95.90,91.93,113.96,117.61,131.07
Book Value [ExclRevalReserve]/Share (Rs.),12.92,69.17,114.64,82.35,111.43,136.38,76.73,99.53,126.49,165.86,224.90,231.87,330.02,396.05,397.20,210.39,198.31,202.15,210.86,203.66,199.23
Book Value [InclRevalReserve]/Share (Rs.),12.92,69.17,114.64,82.35,111.43,136.38,76.73,99.53,126.49,165.86,224.90,231.87,330.02,396.05,397.20,210.39,198.31,202.15,210.86,203.66,199.23
Dividend / Share(Rs.),1.20,11.50,13.50,11.50,14.00,14.00,20.00,14.00,25.00,22.00,32.00,79.00,43.50,47.00,50.00,30.00,73.00,38.00,43.00,115.00,73.00
Revenue from Operations/Share (Rs.),0.00,167.70,229.52,152.67,189.39,228.92,117.74,149.58,198.54,247.43,330.18,375.65,435.86,470.52,509.72,328.45,350.15,367.47,438.09,520.09,559.00
PBDIT/Share (Rs.),4.86,51.08,68.18,46.16,55.86,56.86,35.00,47.30,71.89,84.49,125.84,130.16,156.40,160.70,175.96,113.58,121.16,123.54,146.81,153.89,174.36
PBIT/Share (Rs.),4.63,48.30,62.92,42.65,51.17,52.60,32.60,44.56,68.38,80.39,120.32,123.05,148.99,152.70,167.34,109.00,113.96,115.29,137.18,143.13,163.63
PBT/Share (Rs.),4.57,48.09,62.83,42.62,51.13,52.52,32.55,44.45,68.29,80.23,120.20,125.34,148.93,152.62,167.18,108.55,111.98,110.55,135.86,141.23,159.12
Net Profit/Share (Rs.),4.17,38.15,55.53,38.39,46.07,47.99,28.71,38.68,56.08,65.33,94.32,98.32,117.13,120.07,132.15,80.17,88.69,83.68,104.34,106.85,120.33
Profitability Ratios,,,,,,,,,,,,,,,,,,,,,
