,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),9.66,6.99,21.17,8.18,28.19,81.07,60.74,55.81,36.27,51.10,115.49,23.58,33.40,31.37,40.84,44.58,46.89,43.76,50.48,38.69
Diluted EPS (Rs.),9.66,6.99,21.17,8.18,28.19,81.07,60.74,53.36,34.86,48.99,112.41,22.96,32.71,30.94,40.53,43.93,46.56,43.41,50.11,38.54
Cash EPS (Rs.),11.85,10.09,24.76,12.00,34.25,89.89,71.36,66.27,47.93,63.19,133.30,28.41,38.91,37.69,47.53,51.24,53.86,50.62,57.35,47.12
Book Value [ExclRevalReserve]/Share (Rs.),42.95,47.46,57.49,72.43,101.19,154.55,234.38,268.57,270.05,326.50,367.82,117.15,140.03,173.46,199.50,209.94,230.61,258.32,265.96,254.79
Book Value [InclRevalReserve]/Share (Rs.),42.95,47.46,57.49,72.43,101.19,154.55,234.38,268.57,270.05,326.50,367.82,117.15,140.03,173.46,199.50,209.94,230.61,258.32,265.96,254.79
Dividend / Share(Rs.),3.70,2.20,8.80,2.30,5.50,4.00,3.50,4.00,4.00,5.00,20.00,6.00,12.00,9.00,14.00,14.00,15.00,45.00,45.00,50.00
Revenue from Operations/Share (Rs.),70.19,90.67,115.11,227.13,296.93,358.08,366.62,394.09,411.22,468.53,697.86,199.45,216.67,237.94,241.59,276.79,302.60,306.14,357.34,437.87
PBDIT/Share (Rs.),12.47,16.59,26.43,58.15,74.91,97.67,93.53,83.78,70.58,84.56,155.53,34.88,46.73,46.88,57.52,62.33,62.81,64.57,72.11,60.54
PBIT/Share (Rs.),10.29,13.49,22.84,54.33,68.85,88.84,82.91,72.80,58.78,72.30,137.24,29.95,41.09,40.49,50.82,55.63,55.90,57.73,65.32,52.20
PBT/Share (Rs.),10.29,13.49,22.84,53.76,68.02,88.64,70.22,63.97,45.41,63.79,138.66,30.50,40.54,39.84,50.10,55.19,55.21,57.08,64.67,50.34
Net Profit/Share (Rs.),9.66,6.99,21.17,8.18,28.19,81.07,60.74,55.29,36.13,50.94,115.01,23.48,33.27,31.30,40.83,44.54,46.95,43.78,50.56,38.78
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),17.76,18.29,22.96,25.60,25.22,27.27,25.51,21.25,17.16,18.04,22.28,17.48,21.56,19.70,23.80,22.51,20.75,21.09,20.18,13.82
PBIT Margin (%),14.65,14.87,19.83,23.92,23.18,24.81,22.61,18.47,14.29,15.43,19.66,15.01,18.96,17.01,21.03,20.09,18.47,18.85,18.28,11.92
PBT Margin (%),14.65,14.87,19.83,23.66,22.90,24.75,19.15,16.23,11.04,13.61,19.86,15.29,18.70,16.74,20.73,19.93,18.24,18.64,18.09,11.49
Net Profit Margin (%),13.76,7.70,18.38,3.60,9.49,22.63,16.56,14.03,8.78,10.87,16.48,11.77,15.35,13.15,16.90,16.09,15.51,14.30,14.14,8.85
Return on Networth / Equity (%),22.49,14.72,36.81,11.29,27.85,52.45,25.91,20.58,13.37,15.60,31.26,20.04,23.75,18.04,20.46,21.21,20.35,16.94,19.00,15.21
Return on Capital Employed (%),22.48,14.72,36.80,11.29,27.85,52.45,16.03,15.30,9.91,13.37,25.52,22.45,21.04,20.70,22.85,24.31,21.93,20.39,22.37,19.23
Return on Assets (%),17.44,10.84,22.10,6.32,15.44,35.85,12.72,11.45,7.25,8.98,18.22,13.25,15.59,12.84,14.92,14.43,14.95,12.70,14.03,10.48
Total Debt/Equity (X),0.00,0.00,0.00,0.06,0.08,0.00,0.48,0.35,0.33,0.26,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00
Asset Turnover Ratio (%),126.70,140.73,120.20,175.48,162.66,158.36,76.82,81.66,82.62,82.68,110.55,112.61,101.54,97.60,88.29,89.71,96.38,0.93,1.02,1.20
Liquidity Ratios,,,,,,,,,,,,,,,,,,,,
Current Ratio (X),2.66,2.11,1.32,1.42,1.51,1.88,1.48,1.20,1.16,0.91,2.15,2.26,2.29,2.80,2.85,2.28,3.16,3.36,2.56,1.81
Quick Ratio (X),2.66,2.11,1.32,1.42,1.51,1.88,1.48,1.20,1.16,0.91,2.15,2.26,2.29,2.80,2.85,2.28,3.16,3.36,2.56,1.81
Inventory Turnover Ratio (X),0.00,0.00,0.00,0.00,0.00,3352.15,3202.71,8275.83,26215.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividend Payout Ratio (NP) (%),38.25,31.39,47.21,26.83,19.52,4.94,5.76,7.32,11.15,9.82,17.38,25.67,36.09,45.24,25.90,31.42,60.69,45.61,88.79,123.63
Dividend Payout Ratio (CP) (%),31.19,21.74,40.36,18.29,16.06,4.46,4.90,6.10,8.41,7.91,15.00,21.22,30.86,37.57,22.25,27.32,52.90,39.44,78.27,101.74
Earnings Retention Ratio (%),61.75,68.61,52.79,73.17,80.48,95.06,94.24,92.68,88.85,90.18,82.62,74.33,63.91,54.76,74.10,68.58,39.31,54.39,11.21,-23.63
Cash Earnings Retention Ratio (%),68.81,78.26,59.64,81.71,83.94,95.54,95.10,93.90,91.59,92.09,85.00,78.78,69.14,62.43,77.75,72.68,47.10,60.56,21.73,-1.74
Valuation Ratios,,,,,,,,,,,,,,,,,,,,
Enterprise Value (Cr.),0.00,0.00,0.00,17332.31,8594.76,2730.78,11667.51,9504.61,10163.24,14401.11,39081.44,58658.06,42900.15,42836.96,60730.80,75127.31,52704.87,94922.73,144395.17,106138.43
EV/Net Operating Revenue (X),0.00,0.00,0.00,6.30,2.38,0.63,2.60,1.91,1.94,2.40,2.40,3.06,2.05,1.85,2.57,2.76,1.80,3.20,4.16,2.49
EV/EBITDA (X),0.00,0.00,0.00,24.59,9.45,2.30,10.20,9.00,11.29,13.29,10.76,17.50,9.49,9.38,10.78,12.26,8.69,15.18,20.60,18.00
MarketCap/Net Operating Revenue (X),0.00,0.00,0.00,6.29,2.38,0.74,2.33,1.71,1.75,2.26,2.57,3.16,2.19,1.93,2.64,2.80,1.87,3.24,4.20,2.52
Retention Ratios (%),61.74,68.60,52.78,73.16,80.47,95.05,94.23,92.67,88.84,90.17,82.61,74.32,63.90,54.75,74.09,68.57,39.30,54.38,11.20,-23.63
Price/BV (X),0.00,0.00,0.00,19.71,6.99,1.72,3.64,2.52,2.66,3.24,4.88,5.37,3.40,2.65,3.20,3.70,2.45,3.84,5.64,4.32
Price/Net Operating Revenue,0.00,0.00,0.00,6.29,2.38,0.74,2.33,1.71,1.75,2.26,2.57,3.16,2.19,1.93,2.64,2.80,1.87,3.24,4.20,2.52
Earnings Yield,0.00,0.00,0.00,0.01,0.04,0.31,0.07,0.08,0.05,0.05,0.06,0.04,0.07,0.07,0.06,0.06,0.08,0.04,0.03,0.04
