,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),2.64,5.90,17.41,21.20,33.85,35.81,56.39,4.85,6.76,8.17,8.35,9.27,7.95,8.58,13.10,15.48,17.09,9.88,24.56,37.54
Diluted EPS (Rs.),2.64,5.90,17.41,21.20,33.85,35.81,56.39,4.85,6.76,8.17,8.35,9.27,7.95,8.58,13.10,15.48,17.09,9.88,24.56,37.54
Cash EPS (Rs.),8.66,11.22,22.07,26.97,40.55,45.22,69.93,104.73,7.27,8.78,9.09,10.26,9.04,9.63,14.33,17.04,20.58,13.57,28.39,41.54
Book Value [ExclRevalReserve]/Share (Rs.),29.60,32.46,45.55,73.77,98.26,124.18,163.19,231.00,16.33,22.13,28.43,34.83,39.59,48.57,58.50,69.63,76.87,84.87,105.31,134.76
Book Value [InclRevalReserve]/Share (Rs.),29.60,32.46,45.55,73.77,98.26,124.18,163.19,231.00,16.33,22.13,28.43,34.83,39.59,48.57,58.50,69.63,76.87,84.87,105.31,134.76
Dividend / Share(Rs.),1.00,2.00,3.00,5.00,8.00,10.00,15.00,25.00,1.75,2.10,2.10,2.30,2.20,2.60,3.75,5.00,4.00,4.00,7.50,10.00
Revenue from Operations/Share (Rs.),212.29,259.29,347.41,481.08,687.29,874.48,1053.05,1469.02,99.56,113.91,122.96,134.08,126.88,145.26,175.96,214.80,225.38,231.48,305.73,430.00
PBDIT/Share (Rs.),19.06,21.12,32.20,41.05,54.42,67.98,91.65,150.49,10.44,12.52,13.16,13.79,11.37,14.19,20.50,24.56,28.88,21.15,39.61,56.96
PBIT/Share (Rs.),13.98,16.48,27.54,35.28,47.73,58.57,78.11,142.72,9.94,11.90,12.42,12.80,10.28,13.14,19.26,23.00,25.39,17.43,35.71,52.87
PBT/Share (Rs.),3.32,7.66,20.55,29.66,43.19,51.94,72.39,134.94,9.44,11.33,11.44,11.89,9.81,11.64,17.69,21.71,23.71,13.85,32.94,50.17
Net Profit/Share (Rs.),2.64,5.90,17.41,21.20,33.85,35.81,56.39,96.96,6.76,8.17,8.35,9.27,7.95,8.58,13.10,15.48,17.09,9.85,24.49,37.45
Profitability Ratios,,,,,,,,,,,,,,,,,,,,
PBDIT Margin (%),8.97,8.14,9.26,8.53,7.91,7.77,8.70,10.24,10.48,10.99,10.70,10.28,8.96,9.77,11.64,11.43,12.81,9.13,12.95,13.24
PBIT Margin (%),6.58,6.35,7.92,7.33,6.94,6.69,7.41,9.71,9.98,10.45,10.10,9.54,8.10,9.04,10.94,10.70,11.26,7.52,11.67,12.29
