,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23
Basic EPS (Rs.),3.12,0.23,18.47,62.84,80.94,78.48,87.82,62.74,89.26,96.87,78.21,73.44,86.37,95.74,81.27,84.33,189.15,185.20,245.00,170.53
Diluted EPS (Rs.),3.12,0.23,18.47,62.84,80.94,78.48,87.82,62.72,89.22,96.85,78.18,73.39,86.32,95.70,81.25,84.31,189.10,185.13,244.90,170.44
Cash EPS (Rs.),20.36,18.06,35.84,81.01,100.00,104.43,118.99,79.18,122.19,131.33,116.57,114.72,133.63,141.91,145.47,172.36,274.07,269.41,329.90,261.05
Book Value [ExclRevalReserve]/Share (Rs.),86.41,85.78,83.45,141.68,216.58,289.21,370.04,389.21,469.22,555.65,623.45,687.23,788.25,872.14,943.99,1016.20,1326.83,1501.91,1706.82,1833.69
Book Value [InclRevalReserve]/Share (Rs.),86.41,85.78,83.45,141.68,216.58,289.21,370.04,389.21,469.22,555.65,623.45,687.23,788.25,872.14,943.99,1016.20,1326.83,1501.91,1706.82,1833.69
Dividend / Share(Rs.),0.50,0.75,1.75,4.00,5.00,5.00,6.00,6.00,8.00,9.00,9.00,9.00,9.50,10.00,10.50,11.50,13.00,37.00,38.00,38.00
Revenue from Operations/Share (Rs.),182.00,215.52,265.23,394.33,442.80,512.93,565.73,485.79,668.19,736.01,739.49,835.87,863.93,870.33,1084.81,1456.40,1408.35,1496.22,1755.07,2124.30
PBDIT/Share (Rs.),28.72,23.67,46.53,118.83,146.19,144.89,167.82,102.96,164.90,181.65,151.22,166.43,186.10,205.05,235.90,275.85,324.94,407.19,400.05,367.89
PBIT/Share (Rs.),12.73,5.85,29.17,100.65,127.13,118.94,136.65,75.02,131.96,147.17,112.85,125.13,138.84,158.87,171.68,191.33,239.89,322.85,314.94,277.16
PBT/Share (Rs.),3.49,-2.75,21.96,93.68,121.05,109.36,127.57,65.07,123.80,139.52,101.21,105.18,120.20,137.55,120.24,127.16,180.85,273.55,287.29,251.01
