HCLTECH,Mar '04,Jun '04,Sep '04,Dec '04,Mar '05,Jun '05,Sep '05,Dec '05,Mar '06,Jun '06,Sep '06,Dec '06,Mar '07,Jun '07,Sep '07,Dec '07,Mar '08,Jun '08,Sep '08,Dec '08,Mar '09,Jun '09,Sep '09,Dec '09,Mar '10,Jun '10,Sep '10,Dec '10,Mar '11,Jun '11,Sep '11,Dec '11,Mar '12,Jun '12,Sep '12,Dec '12,Mar '13,Jun '13,Sep '13,Dec '13,Mar '14,Jun '14,Sep '14,Dec '14,Mar '15,Jun '15,Sep '15,Dec '15,Mar '16,Jun '16,Sep '16,Dec '16,Mar '17,Jun '17,Sep '17,Dec '17,Mar '18,Jun '18,Sep '18,Dec '18,Mar '19,Jun '19,Sep '19,Dec '19,Mar '20,Jun '20,Sep '20,Dec '20,Mar '21,Jun '21,Sep '21,Dec '21,Mar '22,Jun '22,Sep '22,Dec '22,Mar '23,Jun '23,Sep '23,Dec '23,Mar '24,Jun '24
Close,30.962499618530273,37.3125,44.525001525878906,42.994998931884766,46.5625,48.6875,56.907501220703125,67.38749694824219,81.7750015258789,63.08250045776367,68.7750015258789,80.1875,72.8499984741211,85.98750305175781,75.13749694824219,82.4124984741211,63.3125,63.13750076293945,48.61249923706055,28.825000762939453,25.512500762939453,46.48749923706055,85.19999694824219,92.82499694824219,89.5999984741211,91.0374984741211,105.1875,114.0625,119.48750305175781,123.6875,102.2874984741211,96.98750305175781,120.8125,119.11250305175781,144.3625030517578,154.6750030517578,198.75,194.0,271.79998779296875,315.63751220703125,347.67498779296875,375.0375061035156,428.6875,399.2250061035156,490.20001220703125,459.875,491.07501220703125,427.54998779296875,407.04998779296875,365.2250061035156,399.95001220703125,413.9750061035156,437.375,425.45001220703125,437.3999938964844,445.25,484.29998779296875,463.125,543.9000244140625,482.17498779296875,543.7249755859375,532.3250122070312,540.2999877929688,568.0999755859375,436.3999938964844,556.8499755859375,811.5999755859375,946.1500244140625,982.6500244140625,983.5,1279.550048828125,1319.0999755859375,1163.75,973.25,932.3499755859375,1039.300048828125,1085.25,1187.949951171875,1234.800048828125,1466.0999755859375,1543.550048828125,1459.5999755859375
Net Sales/Income from operations,287.4,306.51,336.54,352.0,355.87,402.6,443.89,1085.79,708.5,794.73,891.64,976.88,958.97,941.13,1102.86,1129.2,1275.58,1107.75,1175.8,1304.85,1048.9,1145.54,1247.32,1213.71,1287.11,1330.61,1498.32,1649.06,1697.73,1949.36,1979.22,2191.18,2164.72,2572.1,2696.72,2766.22,2943.69,4111.19,3843.81,3836.21,4045.91,4771.44,4054.4,4247.59,4385.95,4465.5,4350.15,4471.85,4612.64,4608.8,4705.77,4889.26,5114.48,5179.0,5460.0,5723.0,5711.0,6013.0,6485.0,6556.0,6958.0,6765.0,8130.0,8654.0,9057.0,8362.0,8658.0,9404.0,9249.0,9556.0,9786.0,10662.0,10634.0,10817.0,11424.0,12398.0,11637.0,11451.0,12059.0,12531.0,12077.0,11784.0
Employees Cost,91.07,95.26,114.43,118.09,126.24,132.27,157.84,429.42,288.35,296.29,334.13,363.7,380.68,370.08,416.85,437.9,430.5,441.13,488.71,509.12,459.66,472.73,496.72,478.92,592.13,619.88,766.82,830.23,830.92,831.12,931.22,991.59,989.06,1011.19,1113.4,1096.06,1143.56,1275.59,1286.78,1261.07,1269.09,1307.01,1368.13,1457.59,1535.66,1563.24,1635.14,1651.37,1580.41,1569.51,1639.67,1694.91,1939.29,1761.0,1890.0,1878.0,1836.0,1861.0,2008.0,2064.0,2146.0,2329.0,2444.0,2521.0,2622.0,2650.0,2835.0,2886.0,3378.0,3440.0,3751.0,4200.0,4481.0,4661.0,4899.0,5100.0,5139.0,5185.0,5305.0,5173.0,5302.0,5405.0
depreciat,13.89,14.73,15.35,16.44,17.47,18.3,18.96,50.84,34.29,34.7,38.04,44.04,46.37,49.76,50.04,52.73,55.73,59.37,62.42,60.65,62.4,66.42,68.45,67.4,64.73,73.43,73.43,72.15,69.54,76.25,82.08,86.26,89.84,94.89,100.56,103.84,102.84,134.66,124.31,120.11,119.04,127.24,69.35,72.28,74.52,83.77,88.38,95.71,92.8,93.36,102.27,123.42,159.84,131.0,184.0,294.0,284.0,318.0,312.0,328.0,318.0,393.0,393.0,566.0,600.0,651.0,659.0,719.0,784.0,660.0,644.0,728.0,583.0,586.0,560.0,686.0,599.0,506.0,583.0,678.0,604.0,571.0
Other Expenses,84.62,103.41,94.2,98.7,99.45,186.79,127.15,183.96,176.14,333.63,336.17,218.39,226.64,214.83,243.2,257.43,309.72,477.52,244.7,236.35,225.02,375.46,369.69,407.54,218.21,397.76,453.18,451.11,498.58,615.41,516.95,516.0,595.87,688.92,637.96,644.13,760.24,1195.82,934.01,1012.66,1065.65,1050.21,888.87,924.99,1101.37,1243.3,1115.68,1010.95,1131.49,904.06,1080.12,1153.58,1240.29,1234.0,1243.0,1271.0,1433.0,1626.0,1773.0,1825.0,2127.0,1891.0,2486.0,2580.0,2805.0,2212.0,2054.0,2250.0,2834.0,2358.0,2351.0,2510.0,2285.0,2363.0,2546.0,2666.0,2503.0,2547.0,2402.0,2506.0,2677.0,2636.0
Other Income,42.06,36.88,42.73,10.4,15.26,21.49,11.97,31.71,21.22,18.45,30.88,46.55,64.4,297.59,43.25,56.1,36.25,34.81,49.86,125.61,44.17,46.17,47.87,45.51,34.06,35.61,42.02,38.53,37.86,47.12,49.55,25.35,31.55,38.21,43.7,39.92,60.37,174.51,114.27,139.65,169.93,235.27,365.08,253.08,251.97,204.61,268.11,361.13,283.4,220.01,237.87,187.53,230.64,199.0,162.0,143.0,198.0,211.0,264.0,116.0,214.0,209.0,93.0,127.0,158.0,316.0,181.0,218.0,250.0,261.0,177.0,187.0,255.0,334.0,184.0,288.0,225.0,262.0,252.0,261.0,301.0,321.0
Net Profit/(Loss) For the Period,97.48,57.71,90.75,76.54,76.76,85.22,89.39,277.79,134.76,136.45,205.83,266.14,238.59,391.23,264.17,266.95,263.08,-13.54,253.79,398.01,152.57,192.94,300.75,255.44,262.57,237.82,194.88,285.97,331.81,385.59,397.55,493.97,400.15,658.75,699.84,724.72,832.96,1447.21,1290.97,1297.87,1412.54,1983.24,1682.56,1663.47,1564.74,1435.17,1399.29,1649.66,1671.51,1799.29,1690.72,1661.54,1721.14,1762.0,1790.0,1969.0,1841.0,1986.0,2154.0,2014.0,2031.0,1793.0,2232.0,2444.0,2500.0,2360.0,2530.0,3397.0,456.0,2672.0,2562.0,2637.0,3003.0,2678.0,2741.0,3196.0,2844.0,2596.0,2966.0,3349.0,2763.0,2479.0
Basic EPS (Rs.),11.0,11.0,11.0,11.0,10.32,10.32,10.32,10.32,19.74,19.74,19.74,19.74,16.6,16.6,16.6,16.6,11.72,11.72,11.72,11.72,14.88,14.88,14.88,14.88,15.56,15.56,15.56,15.56,17.53,17.53,17.53,17.53,28.23,28.23,28.23,28.23,53.32,53.32,53.32,53.32,85.66,85.66,85.66,85.66,45.17,45.17,45.17,45.17,33.52,33.52,33.52,33.52,48.18,48.18,48.18,48.18,52.54,52.54,52.54,52.54,59.69,59.69,59.69,59.69,33.06,33.06,33.06,33.06,32.22,32.22,32.22,32.22,40.1,40.1,40.1,40.1,42.32,42.32,42.32,42.32,43.11,43.11
Book Value /Share (Rs.),77.38,77.38,77.38,77.38,89.6,89.6,89.6,89.6,79.64,79.64,79.64,79.64,51.6,51.6,51.6,51.6,48.22,48.22,48.22,48.22,52.04,52.04,52.04,52.04,72.68,72.68,72.68,72.68,85.06,85.06,85.06,85.06,95.25,95.25,95.25,95.25,146.84,146.84,146.84,146.84,224.94,224.94,224.94,224.94,138.02,138.02,138.02,138.02,152.41,152.41,152.41,152.41,182.27,182.27,182.27,182.27,198.29,198.29,198.29,198.29,224.64,224.64,224.64,224.64,137.37,137.37,137.37,137.37,160.42,160.42,160.42,160.42,156.87,156.87,156.87,156.87,151.4,151.4,151.4,151.4,145.38,145.38
PBDIT/Share (Rs.),13.55,13.55,13.55,13.55,12.9,12.9,12.9,12.9,24.84,24.84,24.84,24.84,20.6,20.6,20.6,20.6,16.66,16.66,16.66,16.66,21.95,21.95,21.95,21.95,22.46,22.46,22.46,22.46,24.43,24.43,24.43,24.43,40.55,40.55,40.55,40.55,71.31,71.31,71.31,71.31,113.86,113.86,113.86,113.86,57.32,57.32,57.32,57.32,43.28,43.28,43.28,43.28,61.82,61.82,61.82,61.82,72.24,72.24,72.24,72.24,82.83,82.83,82.83,82.83,49.23,49.23,49.23,49.23,56.72,56.72,56.72,56.72,58.9,58.9,58.9,58.9,63.62,63.62,63.62,63.62,66.12,66.12
Net Profit/Share (Rs.),11.0,11.0,11.0,11.0,10.32,10.32,10.32,10.32,19.74,19.74,19.74,19.74,16.6,16.6,16.6,16.6,11.72,11.72,11.72,11.72,14.88,14.88,14.88,14.88,15.56,15.56,15.56,15.56,17.4,17.4,17.4,17.4,28.13,28.13,28.13,28.13,53.16,53.16,53.16,53.16,85.49,85.49,85.49,85.49,45.13,45.13,45.13,45.13,33.46,33.46,33.46,33.46,48.23,48.23,48.23,48.23,52.96,52.96,52.96,52.96,60.41,60.41,60.41,60.41,33.03,33.03,33.03,33.03,32.2,32.2,32.2,32.2,40.05,40.05,40.05,40.05,42.21,42.21,42.21,42.21,43.0,43.0
PBDIT Margin (%),35.57,35.57,35.57,35.57,28.44,28.44,28.44,28.44,26.49,26.49,26.49,26.49,36.27,36.27,36.27,36.27,24.05,24.05,24.05,24.05,31.46,31.46,31.46,31.46,30.01,30.01,30.01,30.01,24.76,24.76,24.76,24.76,31.55,31.55,31.55,31.55,39.69,39.69,39.69,39.69,48.31,48.31,48.31,48.31,46.98,46.98,46.98,46.98,45.43,45.43,45.43,45.43,45.59,45.59,45.59,45.59,45.48,45.48,45.48,45.48,43.14,43.14,43.14,43.14,40.99,40.99,40.99,40.99,43.16,43.16,43.16,43.16,39.35,39.35,39.35,39.35,37.32,37.32,37.32,37.32,37.3,37.3
Net Profit Margin (%),28.87,28.87,28.87,28.87,22.75,22.75,22.75,22.75,21.04,21.04,21.04,21.04,29.23,29.23,29.23,29.23,16.91,16.91,16.91,16.91,21.33,21.33,21.33,21.33,20.79,20.79,20.79,20.79,17.63,17.63,17.63,17.63,21.89,21.89,21.89,21.89,29.59,29.59,29.59,29.59,36.27,36.27,36.27,36.27,36.99,36.99,36.99,36.99,35.12,35.12,35.12,35.12,35.57,35.57,35.57,35.57,33.35,33.35,33.35,33.35,31.46,31.46,31.46,31.46,27.5,27.5,27.5,27.5,24.5,24.5,24.5,24.5,26.75,26.75,26.75,26.75,24.76,24.76,24.76,24.76,24.26,24.26
Return on Networth / Equity (%),14.21,14.21,14.21,14.21,11.51,11.51,11.51,11.51,24.78,24.78,24.78,24.78,32.16,32.16,32.16,32.16,24.29,24.29,24.29,24.29,28.59,28.59,28.59,28.59,21.4,21.4,21.4,21.4,20.45,20.45,20.45,20.45,29.53,29.53,29.53,29.53,36.2,36.2,36.2,36.2,38.0,38.0,38.0,38.0,32.7,32.7,32.7,32.7,21.95,21.95,21.95,21.95,26.46,26.46,26.46,26.46,26.7,26.7,26.7,26.7,26.88,26.88,26.88,26.88,24.04,24.04,24.04,24.04,20.07,20.07,20.07,20.07,25.53,25.53,25.53,25.53,27.87,27.87,27.87,27.87,29.57,29.57
